=== Run #141 — Mode: lean — Mon Apr 27 19:24:09 UTC 2026 ===
  [Bash] ls /apps/aplikacijos/prime-research/experiments/formalisations/
    E2_1_mps_bond_dim
    README.md
  [Bash] ls -la /apps/aplikacijos/prime-research/experiments/formalisations/E2_1_mps_bond_dim/
    total 60
    drwxr-xr-x 3 root root  4096 Apr 27 19:21 .
    drwxr-xr-x 3 root root  4096 Apr 26 16:11 ..
    drwxr-xr-x 5 root root  4096 Apr 27 19:18 MPSBondDim
    -rw-r--r-- 1 root root 47984 Apr 27 19:21 mps_bond_dim_notes.md
  [Bash] ls -la /apps/aplikacijos/prime-research/experiments/formalisations/E2_1_mps_bond_dim/MPSBondDim/
    total 48
    drwxr-xr-x 5 root root 4096 Apr 27 19:18 .
    drwxr-xr-x 3 root root 4096 Apr 27 19:21 ..
    drwxr-xr-x 3 root root 4096 Apr 26 16:12 .github
    -rw-r--r-- 1 root root    7 Apr 26 16:12 .gitignore
    drwxr-xr-x 5 root root 4096 Apr 26 16:15 .lake
    -rw-r--r-- 1 root root  929 Apr 27 19:18 CheckAxioms.lean
    drwxr-xr-x 2 root root 4096 Apr 27 19:16 MPSBondDim
    -rw-r--r-- 1 root root   24 Apr 26 16:12 MPSBondDim.lean
    -rw-r--r-- 1 root root  487 Apr 26 16:12 README.md
    -rw-r--r-- 1 root root 3172 Apr 26 16:13 lake-manifest.json
    -rw-r--r-- 1 root root  481 Apr 26 16:12 lakefile.lean
    -rw-r--r-- 1 root root   29 Apr 26 16:12 lean-toolchain
  [Bash] ls /apps/aplikacijos/prime-research/experiments/formalisations/E2_1_mps_bond_dim/MPSBondDim/MPSBondDim/
    Basic.lean
  [Read] /apps/aplikacijos/prime-research/experiments/formalisations/E2_1_mps_bond_dim/MPSBondDim/MPSBondDim/Basic.lean
    File content (100824 tokens) exceeds maximum allowed tokens (25000). Use offset and limit parameters to read specific portions of the file, or search for specific content instead of reading the whole file.
  [Bash] wc -l /apps/aplikacijos/prime-research/experiments/formalisations/E2_1_mps_bond_dim/MPSBondDim/MPSBondDim/Basic.lean
    3510 /apps/aplikacijos/prime-research/experiments/formalisations/E2_1_mps_bond_dim/MPSBondDim/MPSBondDim/Basic.lean
  [Read] /apps/aplikacijos/prime-research/experiments/formalisations/E2_1_mps_bond_dim/MPSBondDim/MPSBondDim/Basic.lean
    1	/-
    2	# E2.1: MPS bond dimension of the prime indicator (statement-only)
    3	
    4	Formalisation of the theorem in `novel/mps_bond_dimension.md`:
    5	
    6	  For chi_P : [1, W^d] -> {0,1} the prime indicator, viewed as a tensor of
    7	  shape (W, W, ..., W) (d copies) by base-W reshape, for every cut
    8	  1 <= j < d and every integer W >= 2:
    9	
    10	      rank M^(j) = min ( W^j ,  phi(W) * W^(d-j-1) + 1 )
    11	
    12	  where phi is Euler's totient and M^(j) is the (W^j x W^(d-j)) unfolding.
    13	
    14	Stage 1: theorem statement only. The proof is a `sorry`. The next stage
    15	splits the proof into upper and lower bounds, each via separate lemmas.
    16	-/
    17	
    18	import Mathlib
    19	
    20	open Matrix Nat
    21	
    22	namespace E2_1
    23	
    24	/--
    25	The prime indicator, embedded in `ℚ`. We use `ℚ` (a field) because matrix
    26	`rank` is most informative over a field.
    27	-/
    28	noncomputable def chiP (n : ℕ) : ℚ := if Nat.Prime n then 1 else 0
    29	
    30	/--
    ... (170 more lines)
  [Read] /apps/aplikacijos/prime-research/experiments/formalisations/E2_1_mps_bond_dim/MPSBondDim/MPSBondDim/Basic.lean
    3300	    simp [chiP, h_not_prime_339]
    3301	  -- (7,3): unfolding(16, 12) = chiP 333 = 0
    3302	  have hL73 : unfolding 20 (j + 1) j ⟨16, h_sixteen_lt_pow_j⟩ ⟨12, h_twelve_lt_pow_dj⟩ = 0 := by
    3303	    change chiP (16 * 20 ^ ((j + 1) - j) + 12 + 1) = 0
    3304	    rw [h_sub]
    3305	    have h_eq : (16 * 20 ^ 1 + 12 + 1 : ℕ) = 333 := by norm_num
    3306	    rw [h_eq]
    3307	    simp [chiP, h_not_prime_333]
    3308	  -- (7,4): unfolding(16, 2) = chiP 323 = 0
    3309	  have hL74 : unfolding 20 (j + 1) j ⟨16, h_sixteen_lt_pow_j⟩ ⟨2, h_two_lt_pow_dj⟩ = 0 := by
    3310	    change chiP (16 * 20 ^ ((j + 1) - j) + 2 + 1) = 0
    3311	    rw [h_sub]
    3312	    have h_eq : (16 * 20 ^ 1 + 2 + 1 : ℕ) = 323 := by norm_num
    3313	    rw [h_eq]
    3314	    simp [chiP, h_not_prime_323]
    3315	  -- (7,5): unfolding(16, 8) = chiP 329 = 0
    3316	  have hL75 : unfolding 20 (j + 1) j ⟨16, h_sixteen_lt_pow_j⟩ ⟨8, h_eight_lt_pow_dj⟩ = 0 := by
    3317	    change chiP (16 * 20 ^ ((j + 1) - j) + 8 + 1) = 0
    3318	    rw [h_sub]
    3319	    have h_eq : (16 * 20 ^ 1 + 8 + 1 : ℕ) = 329 := by norm_num
    3320	    rw [h_eq]
    3321	    simp [chiP, h_not_prime_329]
    3322	  -- (7,6): unfolding(16, 0) = chiP 321 = 0
    3323	  have hL76 : unfolding 20 (j + 1) j ⟨16, h_sixteen_lt_pow_j⟩ ⟨0, h_zero_lt_pow_dj⟩ = 0 := by
    3324	    change chiP (16 * 20 ^ ((j + 1) - j) + 0 + 1) = 0
    3325	    rw [h_sub]
    3326	    have h_eq : (16 * 20 ^ 1 + 0 + 1 : ℕ) = 321 := by norm_num
    3327	    rw [h_eq]
    3328	    simp [chiP, h_not_prime_321]
    3329	  -- (8,0): unfolding(10, 1) = chiP 202 = 0
    ... (180 more lines)
  [Read] /apps/aplikacijos/prime-research/experiments/formalisations/E2_1_mps_bond_dim/MPSBondDim/CheckAxioms.lean
    1	import MPSBondDim.Basic
    2	
    3	#print axioms E2_1.chiP_seventeen_eq_one
    4	#print axioms E2_1.chiP_thirty_seven_eq_one
    5	#print axioms E2_1.exists_invertible_submatrix_W_eq_8_d_eq_j_plus_1
    6	#print axioms E2_1.mps_bond_dim_W_eq_8_d_eq_j_plus_1
    7	#print axioms E2_1.chiP_fifty_nine_eq_one
    8	#print axioms E2_1.chiP_eighty_nine_eq_one
    9	#print axioms E2_1.chiP_one_hundred_nine_eq_one
    10	#print axioms E2_1.chiP_one_hundred_twenty_seven_eq_one
    11	#print axioms E2_1.exists_invertible_submatrix_W_eq_12_d_eq_j_plus_1
    12	#print axioms E2_1.mps_bond_dim_W_eq_12_d_eq_j_plus_1
    13	#print axioms E2_1.chiP_forty_seven_eq_one
    14	#print axioms E2_1.chiP_one_hundred_forty_nine_eq_one
    15	#print axioms E2_1.chiP_one_hundred_ninety_nine_eq_one
    16	#print axioms E2_1.chiP_two_hundred_forty_one_eq_one
    17	#print axioms E2_1.chiP_three_hundred_thirty_seven_eq_one
    18	#print axioms E2_1.exists_invertible_submatrix_W_eq_20_d_eq_j_plus_1
    19	#print axioms E2_1.mps_bond_dim_W_eq_20_d_eq_j_plus_1
    20	
  [Read] /apps/aplikacijos/prime-research/experiments/formalisations/E2_1_mps_bond_dim/mps_bond_dim_notes.md
    1	# L1 — E2.1 MPS bond-dim identity (Lean 4 formalisation, in progress)
    2	
    3	**Lean source:** `MPSBondDim/MPSBondDim/Basic.lean`
    4	**Toolchain:** `leanprover/lean4:v4.30.0-rc2` + mathlib `v4.30.0-rc2` (lake project under `MPSBondDim/`).
    5	**Build status (S143):** `lake build` succeeds. **1 `sorry` placeholder remains, isolated to a pure prime-density existential** (S83 reorganised the file: `lower_bound` is now closed by a structural reduction to `exists_invertible_submatrix`, which is the new home of the only `sorry`. S90 added the trivial floor `1 ≤ rank` as a separate lemma. **S98 closed the corner case `(W = 2, j = 1)` unconditionally via Bertrand** — `mps_bond_dim_W_eq_2_j_eq_1 : (unfolding 2 d 1).rank = 2` for every `d ≥ 2`, sorry-free. **S99 closed the orthogonal corner case `(W = 2, d = j + 1)` *without even needing Bertrand*** — `mps_bond_dim_W_eq_2_d_eq_j_plus_1 : (unfolding 2 (j+1) j).rank = 2` for every `j ≥ 1`, using only `Nat.prime_two` and `Nat.prime_three`. **S106 extended the orthogonal-corner argument to `W = 3`** — `mps_bond_dim_W_eq_3_d_eq_j_plus_1 : (unfolding 3 (j+1) j).rank = 3` for every `j ≥ 1`, using `Matrix.det_fin_three` and the explicit primes `2, 3, 5, 7`; the unit witness is `isUnit_one.neg : IsUnit (-1 : ℚ)`. **S107 extended the orthogonal-corner argument to `W = 4`** — `mps_bond_dim_W_eq_4_d_eq_j_plus_1 : (unfolding 4 (j+1) j).rank = 3` for every `j ≥ 1`, using `Matrix.det_fin_three`, the explicit primes `2, 3, 5, 7, 11`, and (for the upper bound) the general `upper_bound` lemma — the first orthogonal-corner instance where `rank_le_width` is not tight (it gives only `rank ≤ 4`, not the sharp `rank ≤ 3 = φ(4) · 4^0 + 1`). **S117 extended the orthogonal-corner argument to `W = 5`** — `mps_bond_dim_W_eq_5_d_eq_j_plus_1 : (unfolding 5 (j+1) j).rank = 5` for every `j ≥ 1`, using `Matrix.det_of_upperTriangular` (since mathlib has no `det_fin_four` or `det_fin_five`), `Fin.prod_univ_five`, the explicit primes `2, 3, 5, 7, 11, 19, 23`, and a row/column permutation that triangularises the `chiP 1..25` slab. **First instance with `R = W` (all `W` columns needed) and first instance not relying on `det_fin_three`.** **S122 extended the orthogonal-corner argument to `W = 6`** — `mps_bond_dim_W_eq_6_d_eq_j_plus_1 : (unfolding 6 (j+1) j).rank = 3` for every `j ≥ 1`, using `Matrix.det_fin_three`, the explicit primes `2, 3, 5, 7, 11, 31`, and (for the upper bound) the general `upper_bound` lemma. **First orthogonal-corner instance where the working row set is not `{0, 1, ..., R-1}`** — rows `{1, 2, 3}` of the `6 × 6` slab are linearly dependent (all three windows `chiP 7..12, 13..18, 19..24` have identical support pattern `(1, 0, 0, 0, 1, 0)`), forcing the choice `ρ ↦ (0, 1, 5)` with `chiP 31` providing the third linearly independent row. **S128 extended the orthogonal-corner argument to `W = 8`** — `mps_bond_dim_W_eq_8_d_eq_j_plus_1 : (unfolding 8 (j+1) j).rank = 5` for every `j ≥ 1`, using `Matrix.det_of_upperTriangular`, `Fin.prod_univ_five`, the explicit primes `2, 11, 17, 31, 37`, and (for the upper bound) the general `upper_bound` lemma (since `rank_le_width` gives only `rank ≤ 8`, not the sharp `rank ≤ 5 = φ(8) · 8^0 + 1`). The triangulation `ρ ↦ (2, 0, 1, 3, 4)` and `σ ↦ (0, 1, 2, 6, 4)` puts the diagonal at primes `{17, 2, 11, 31, 37}` and the lower triangle at composites `{1, 9, 10, 25, 26, 27, 33, 34, 35, 39}`. **Seventh unconditional instance; fifth instance over a wheel `W ≥ 3`; second instance using `det_of_upperTriangular`.** **S129 extended the orthogonal-corner argument to `W = 12`, skipping the structurally-obstructed `W ∈ {7, 9, 10, 11}` corners** — `mps_bond_dim_W_eq_12_d_eq_j_plus_1 : (unfolding 12 (j+1) j).rank = 5` for every `j ≥ 1`, using `Matrix.det_of_upperTriangular`, `Fin.prod_univ_five`, the explicit primes `2, 59, 89, 109, 127`, and (for the upper bound) the general `upper_bound` lemma. The triangulation `ρ ↦ (0, 9, 10, 4, 7)` and `σ ↦ (1, 0, 6, 10, 4)` puts the diagonal at primes `{2, 109, 127, 59, 89}` and the lower triangle at composites `{49, 50, 55, 85, 86, 91, 95, 110, 121, 122}`. **Eighth unconditional instance; sixth instance over a wheel `W ≥ 3`; third instance using `det_of_upperTriangular`.** **First instance using FOUR non-leading rows** (only row `0` is leading) — extends S122's W=6 single-non-leading-row trick to the maximally non-leading regime. **S137 extended the orthogonal-corner argument to `W = 18`** — `mps_bond_dim_W_eq_18_d_eq_j_plus_1 : (unfolding 18 (j+1) j).rank = 7` for every `j ≥ 1`, using `Matrix.det_of_upperTriangular`, `Fin.prod_univ_seven`, the explicit primes `2, 29, 43, 109, 179, 211, 293`, and (for the upper bound) the general `upper_bound` lemma (since `rank_le_width` gives only `rank ≤ 18`, not the sharp `rank ≤ 7 = φ(18) · 18^0 + 1`). The triangulation `ρ ↦ (0, 2, 9, 1, 11, 6, 16)` and `σ ↦ (1, 6, 16, 10, 12, 0, 4)` puts the diagonal at primes `{2, 43, 179, 29, 211, 109, 293}` and the lower triangle at composites `{20, 25, 35, 38, 110, 115, 119, 121, 125, 164, 169, 200, 205, 209, 215, 289, 290, 295, 299, 301, 305}`. **Ninth unconditional instance; seventh instance over a wheel `W ≥ 3`; fourth instance using `det_of_upperTriangular`.** **First instance with `R = 7`.** **W=14 (also `R = 7`) was tried and structurally obstructed**: the 14×14 j=1 slab admits no leading-row triangulation with `ρ < 14` (rows 2 and 5 of the W=14 slab have identical support pattern at the chosen 7 cols, and exhaustive search over rows in `[0, 14)` finds zero upper-triangulations). The general-case `sorry` is unchanged.)
    6	**No `axiom` introductions.** All new declarations have `#print axioms` returning only `[propext, Classical.choice, Quot.sound]`.
    7	
    8	## What this file formalises
    9	
    10	The identity from `novel/mps_bond_dimension.md`:
    11	
    12	> For `chiP : [1, W^d] → {0,1}` the prime indicator and `M^(j)` the
    13	> `(W^j × W^(d-j))` unfolding via base-`W` reshape, for every `W ≥ 2`
    14	> and every cut `1 ≤ j < d`:
    15	>
    16	>     rank M^(j)  =  min ( W^j ,  φ(W) · W^(d-j-1) + 1 ).
    17	
    18	EDGES.md edge: **E2.1**. Empirically saturated in `novel/mps_bond_dimension.md`
    19	for `W ∈ {2, 6, 30, 210}` and `d` up to 20.
    20	
    21	## Lean layout
    22	
    23	The proof is decomposed into 8 declarations:
    24	
    25	| name                            | role                                           | status   |
    26	|---------------------------------|------------------------------------------------|----------|
    27	| `chiP`                          | prime indicator `ℕ → ℚ`                        | def      |
    28	| `unfolding`                     | the `(W^j × W^(d-j))` matrix over `ℚ`          | def      |
    29	| `rank_le_min_dim`               | trivial ceiling `rank ≤ W^j`                   | **done** |
    30	| `row_support_coprime`           | nonzero entries imply `gcd(k+1, W) = 1`        | **done** |
    ... (170 more lines)
  [Read] /apps/aplikacijos/prime-research/experiments/formalisations/E2_1_mps_bond_dim/mps_bond_dim_notes.md
    200	  (the prime exhibit) and `mps_bond_dim_W_eq_2_j_eq_1 : (unfolding 2 d 1).rank = 2`
    201	  (the unconditional rank statement). Both are sorry-free. The
    202	  construction picks σ as `(column 1, column p − 2^(d−1) − 1)` for the
    203	  Bertrand prime `p ∈ (2^(d−1), 2 · 2^(d−1)]`; the resulting `2 × 2`
    204	  submatrix is upper-triangular `[[1, ?], [0, 1]]` with `det = 1`,
    205	  because `2^(d−1) + 2` is even and `> 2`, hence not prime. ~70 Lean
    206	  lines. The general case (the original `exists_invertible_submatrix`)
    207	  remains the only `sorry` in the file.
    208	
    209	* **Route A'' (orthogonal corner, even simpler than A'). DONE S99.**
    210	  Closed `exists_invertible_submatrix` for the orthogonal corner case
    211	  `(W = 2, d = j + 1)` (i.e. `d - j = 1`) via two new theorems:
    212	  `exists_invertible_submatrix_W_eq_2_d_eq_j_plus_1` (the prime
    213	  exhibit) and `mps_bond_dim_W_eq_2_d_eq_j_plus_1 : (unfolding 2 (j+1) j).rank = 2`
    214	  for every `j ≥ 1`. Both sorry-free. **No Bertrand required**: the
    215	  matrix has only `2^(d-j) = 2^1 = 2` columns, so we take *both*; rows
    216	  `{0, 1}` (available since `2^j ≥ 2` for `j ≥ 1`) plus the column-swap
    217	  `σ = (col 1, col 0)` give the `2 × 2` submatrix
    218	  ```
    219	     ⎡ unfolding(0, 1),  unfolding(0, 0) ⎤   ⎡ chiP 2, chiP 1 ⎤   ⎡ 1, 0 ⎤
    220	     ⎣ unfolding(1, 1),  unfolding(1, 0) ⎦ = ⎣ chiP 4, chiP 3 ⎦ = ⎣ 0, 1 ⎦
    221	  ```
    222	  of determinant `1`. Only `Nat.prime_two`, `Nat.prime_three`,
    223	  `Nat.not_prime_one`, and decidability of `¬ Nat.Prime 4` are used.
    224	  ~110 Lean lines (counting docstrings + the helper `chiP_three_eq_one`).
    225	  Together with Route A', the file now has unconditional Lean proofs of
    226	  `mps_bond_dim` whenever **either** `j = 1` **or** `d - j = 1` —
    227	  i.e. on the entire boundary of the `(j, d − j)` integer grid. The
    228	  case `(j = 1, d = 2)` is the unique overlap; `j ≥ 2` (with `d = j + 1`)
    229	  is genuinely new content.
    ... (370 more lines)
  [Read] /apps/aplikacijos/prime-research/experiments/formalisations/E2_1_mps_bond_dim/mps_bond_dim_notes.md
    600	  not the sharp `rank ≤ 9 = φ(20) + 1`. We cite the general
    601	  `upper_bound`, which evaluates to `φ(20) · 20^0 + 1 = 8 · 1 + 1 = 9`.
    602	
    603	  Uses `Nat.prime_two`, `chiP_twenty_three_eq_one` (existing from S117),
