   W   b   N |  rho_chi | AI_chi | AI_lam+ | AI_mu!=0 | AI_random_mean | AI_random_std
----------------------------------------------------------------------------------------------------
   1   0   6 |   0.2812 |      2 |       3 |        2 |           2.12 |          0.33  (0.0s)
   1   0   7 |   0.2422 |      2 |       3 |        2 |           2.50 |          0.50  (0.0s)
   1   0   8 |   0.2109 |      2 |       4 |        2 |           3.00 |          0.00  (0.1s)
   1   0   9 |   0.1895 |      2 |       4 |        2 |           3.00 |          0.00  (0.3s)
   1   0  10 |   0.1680 |      2 |       5 |        2 |           3.38 |          0.48  (1.3s)
   1   0  11 |   0.1509 |      2 |       5 |        2 |           4.00 |          0.00  (4.7s)
   2   1   6 |   0.4688 |      3 |       3 |        2 |           2.50 |          0.50  (0.0s)
   2   1   7 |   0.4141 |      3 |       3 |        2 |           3.00 |          0.00  (0.1s)
   2   1   8 |   0.3750 |      3 |       4 |        3 |           3.50 |          0.50  (0.2s)
   2   1   9 |   0.3340 |      4 |       4 |        3 |           4.00 |          0.00  (0.8s)
   2   1  10 |   0.3008 |      4 |       5 |        4 |           4.00 |          0.00  (2.6s)
   2   1  11 |   0.2749 |      4 |       5 |        4 |           4.50 |          0.50  (8.8s)
   6   1   6 |   0.5625 |      2 |       2 |        2 |           2.75 |          0.43  (0.0s)
   6   1   7 |   0.5078 |      3 |       3 |        2 |           3.00 |          0.00  (0.1s)
   6   1   8 |   0.4531 |      4 |       4 |        2 |           4.00 |          0.00  (0.4s)
   6   1   9 |   0.4160 |      4 |       4 |        2 |           4.00 |          0.00  (0.9s)
   6   1  10 |   0.3838 |      5 |       5 |        3 |           4.25 |          0.43  (3.0s)
   6   1  11 |   0.3535 |      5 |       5 |        3 |           5.00 |          0.00  (13.3s)
   6   5   6 |   0.5938 |      3 |       3 |        1 |           2.25 |          0.43  (0.0s)
   6   5   7 |   0.5312 |      3 |       3 |        1 |           3.00 |          0.00  (0.1s)
   6   5   8 |   0.4844 |      4 |       4 |        2 |           4.00 |          0.00  (0.3s)
   6   5   9 |   0.4375 |      4 |       4 |        2 |           4.00 |          0.00  (0.7s)
   6   5  10 |   0.3965 |      5 |       5 |        3 |           4.88 |          0.33  (4.1s)
   6   5  11 |   0.3628 |      5 |       5 |        3 |           5.00 |          0.00  (12.3s)
  30   1   6 |   0.5156 |      3 |       3 |        1 |           2.75 |          0.43  (0.0s)
  30   1   7 |   0.5000 |      3 |       3 |        2 |           3.00 |          0.00  (0.1s)
  30   1   8 |   0.4531 |      4 |       4 |        2 |           4.00 |          0.00  (0.3s)
  30   1   9 |   0.4238 |      4 |       4 |        2 |           4.00 |          0.00  (0.9s)
  30   1  10 |   0.4004 |      5 |       5 |        3 |           4.75 |          0.43  (4.1s)
  30   1  11 |   0.3721 |      5 |       5 |        3 |           5.00 |          0.00  (13.5s)
  30   7   6 |   0.5781 |      3 |       3 |        1 |           2.88 |          0.33  (0.0s)
  30   7   7 |   0.5234 |      3 |       3 |        1 |           3.00 |          0.00  (0.1s)
  30   7   8 |   0.4883 |      4 |       4 |        2 |           4.00 |          0.00  (0.3s)
  30   7   9 |   0.4414 |      4 |       4 |        2 |           4.00 |          0.00  (0.9s)
  30   7  10 |   0.4062 |      5 |       5 |        2 |           5.00 |          0.00  (4.2s)
  30   7  11 |   0.3823 |      5 |       5 |        3 |           5.00 |          0.00  (13.1s)
  30  11   6 |   0.5938 |      3 |       2 |        1 |           2.62 |          0.48  (0.0s)
  30  11   7 |   0.5156 |      3 |       3 |        1 |           3.00 |          0.00  (0.1s)
  30  11   8 |   0.4844 |      4 |       4 |        1 |           4.00 |          0.00  (0.3s)
  30  11   9 |   0.4355 |      4 |       4 |        2 |           4.00 |          0.00  (0.7s)
  30  11  10 |   0.4033 |      5 |       5 |        2 |           4.88 |          0.33  (3.9s)
  30  11  11 |   0.3789 |      5 |       5 |        3 |           5.00 |          0.00  (13.1s)

Saved: /apps/aplikacijos/prime-research/experiments/algebraic/algebraic_immunity_chi_p/wtrick_AI_data.json
