name,polylog,growth_alpha,rho_with_E_pi,R2_against_smooth,free_id_mod2,free_id_mod3,free_id_mod5,classification
"chi_P (prime indicator)",False,-0.0055,+0.174401,0.999997,0.5125,0.3417,0.2292,"C/E (control)"
"Lambda (von Mangoldt)",False,+0.3403,+0.375963,0.999997,nan,nan,nan,"C/E (control)"
"lambda (Liouville)",False,+0.3794,-0.330671,0.520697,1.0000,0.3167,0.1917,"I (smooth, info loss)"
"mu (Mobius)",False,+0.2668,-0.371124,0.113622,0.5208,0.3375,0.1667,"I (smooth, info loss)"
"Omega (factor count w/ mult.)",False,-0.7564,+0.226126,1.000000,0.5333,0.3750,0.2000,"I (smooth, info loss)"
"omega (distinct factor count)",False,-0.4578,+0.254145,1.000000,0.5375,0.2792,0.2042,"I (smooth, info loss)"
"sigma_0 (#divisors)",False,+0.1366,+0.014608,1.000000,0.5083,0.3125,0.1792,"I (smooth, info loss)"
"sigma_1 (sum of divisors)",False,+1.1207,-0.132099,1.000000,0.5083,0.3083,0.2333,"E? (prime-coupled, sub-sqrt)"
"phi (Euler totient)",False,+0.9724,+0.261918,1.000000,0.5375,0.3750,0.1750,"E? (prime-coupled, sub-sqrt)"
"J_2 (Jordan totient)",False,-0.2998,+0.377811,0.999475,0.5375,0.3042,0.1542,"I (smooth, info loss)"
"log n",True,-0.6317,+0.286456,1.000000,nan,nan,nan,"I (polylog, weak prime coupling)"
"1/n (harmonic)",True,-0.9638,+0.605863,0.999969,nan,nan,nan,"I (polylog, weak prime coupling)"
"20-smooth indicator",True,-0.5474,-0.228095,0.999858,0.4667,0.2875,0.2375,"I (polylog, weak prime coupling)"
"20-rough indicator",False,+0.1230,-0.071584,1.000000,0.4958,0.3667,0.2083,"I (smooth, info loss)"
"digit sum base 10",True,+0.0531,-0.080053,0.999973,0.4417,0.6417,0.1417,"I (polylog but pi-independent)"
"binary digit sum (popcount)",True,+1.1542,-0.071952,0.999902,0.5000,0.3042,0.2333,"I (polylog but pi-independent)"
"v_2 (2-adic valuation)",True,+0.3147,+0.011326,1.000000,0.4125,0.3708,0.1833,"I (polylog but pi-independent)"
"r_2 (#repr a^2+b^2)",False,+0.3544,+0.025851,1.000000,0.4625,0.3667,0.1875,"I (smooth, info loss)"
"LPF (largest prime factor)",False,-0.2188,-0.217748,0.999999,0.4583,0.3625,0.2750,"I (smooth, info loss)"
"lpf - 1",False,+0.1515,+0.038854,0.999996,0.5250,0.3250,0.2125,"I (smooth, info loss)"
"lambda(n)/n",False,-0.8071,-0.289110,0.516767,nan,nan,nan,"I (smooth, info loss)"
