# tag	x	H	h	exact_pi_h	HL	residual	residual_over_sqrt_x
plan	100000	132	2	1224	1248.7087	-24.7087	-0.0781
plan	100000	132	4	1216	1248.7087	-32.7087	-0.1034
plan	100000	132	6	2447	2497.4175	-50.4175	-0.1594
plan	100000	132	8	1260	1248.7087	11.2913	0.0357
plan	100000	132	10	1624	1664.9450	-40.9450	-0.1295
plan	100000	132	12	2421	2497.4175	-76.4175	-0.2417
plan	100000	132	30	3329	3329.8900	-0.8900	-0.0028
plan	100000	132	60	3272	3329.8900	-57.8900	-0.1831
plan	100000	132	90	3272	3329.8900	-57.8900	-0.1831
plan	100000	132	120	3269	3329.8900	-60.8900	-0.1926
plan	1000000	190	2	8169	8248.0297	-79.0297	-0.0790
plan	1000000	190	4	8144	8248.0297	-104.0297	-0.1040
plan	1000000	190	6	16386	16496.0594	-110.0594	-0.1101
plan	1000000	190	8	8242	8248.0297	-6.0297	-0.0060
plan	1000000	190	10	10934	10997.3729	-63.3729	-0.0634
plan	1000000	190	12	16378	16496.0594	-118.0594	-0.1181
plan	1000000	190	30	21990	21994.7458	-4.7458	-0.0047
plan	1000000	190	60	21830	21994.7458	-164.7458	-0.1647
plan	1000000	190	90	21909	21994.7458	-85.7458	-0.0857
plan	1000000	190	120	21959	21994.7458	-35.7458	-0.0357
plan	1000000	190	150	21885	21994.7458	-109.7458	-0.1097
plan	1000000	190	180	21986	21994.7458	-8.7458	-0.0087
plan	10000000	200	2	58980	58753.8165	226.1835	0.0715
plan	10000000	200	4	58622	58753.8165	-131.8165	-0.0417
plan	10000000	200	6	117207	117507.6330	-300.6330	-0.0951
plan	10000000	200	8	58595	58753.8165	-158.8165	-0.0502
plan	10000000	200	10	78211	78338.4220	-127.4220	-0.0403
plan	10000000	200	12	117486	117507.6330	-21.6330	-0.0068
plan	10000000	200	30	156517	156676.8440	-159.8440	-0.0505
plan	10000000	200	60	156209	156676.8440	-467.8440	-0.1479
plan	10000000	200	90	156706	156676.8440	29.1560	0.0092
plan	10000000	200	120	156582	156676.8440	-94.8440	-0.0300
plan	10000000	200	150	156744	156676.8440	67.1560	0.0212
plan	10000000	200	180	156507	156676.8440	-169.8440	-0.0537
plan	10000000	200	198	130505	130564.0367	-59.0367	-0.0187
Hsweep	1000000	20	2	8169	8248.0297	-79.0297	-0.0790
Hsweep	1000000	20	4	8144	8248.0297	-104.0297	-0.1040
Hsweep	1000000	20	6	16386	16496.0594	-110.0594	-0.1101
Hsweep	1000000	20	8	8242	8248.0297	-6.0297	-0.0060
Hsweep	1000000	20	10	10934	10997.3729	-63.3729	-0.0634
Hsweep	1000000	20	12	16378	16496.0594	-118.0594	-0.1181
Hsweep	1000000	50	2	8169	8248.0297	-79.0297	-0.0790
Hsweep	1000000	50	4	8144	8248.0297	-104.0297	-0.1040
Hsweep	1000000	50	6	16386	16496.0594	-110.0594	-0.1101
Hsweep	1000000	50	8	8242	8248.0297	-6.0297	-0.0060
Hsweep	1000000	50	10	10934	10997.3729	-63.3729	-0.0634
Hsweep	1000000	50	12	16378	16496.0594	-118.0594	-0.1181
Hsweep	1000000	50	30	21990	21994.7458	-4.7458	-0.0047
Hsweep	1000000	100	2	8169	8248.0297	-79.0297	-0.0790
Hsweep	1000000	100	4	8144	8248.0297	-104.0297	-0.1040
Hsweep	1000000	100	6	16386	16496.0594	-110.0594	-0.1101
Hsweep	1000000	100	8	8242	8248.0297	-6.0297	-0.0060
Hsweep	1000000	100	10	10934	10997.3729	-63.3729	-0.0634
Hsweep	1000000	100	12	16378	16496.0594	-118.0594	-0.1181
Hsweep	1000000	100	30	21990	21994.7458	-4.7458	-0.0047
Hsweep	1000000	100	60	21830	21994.7458	-164.7458	-0.1647
Hsweep	1000000	100	90	21909	21994.7458	-85.7458	-0.0857
Hsweep	1000000	200	2	8169	8248.0297	-79.0297	-0.0790
Hsweep	1000000	200	4	8144	8248.0297	-104.0297	-0.1040
Hsweep	1000000	200	6	16386	16496.0594	-110.0594	-0.1101
Hsweep	1000000	200	8	8242	8248.0297	-6.0297	-0.0060
Hsweep	1000000	200	10	10934	10997.3729	-63.3729	-0.0634
Hsweep	1000000	200	12	16378	16496.0594	-118.0594	-0.1181
Hsweep	1000000	200	30	21990	21994.7458	-4.7458	-0.0047
Hsweep	1000000	200	60	21830	21994.7458	-164.7458	-0.1647
Hsweep	1000000	200	90	21909	21994.7458	-85.7458	-0.0857
Hsweep	1000000	200	120	21959	21994.7458	-35.7458	-0.0357
Hsweep	1000000	200	150	21885	21994.7458	-109.7458	-0.1097
Hsweep	1000000	200	180	21986	21994.7458	-8.7458	-0.0087
Hsweep	1000000	200	198	18235	18328.9549	-93.9549	-0.0940
Hsweep	1000000	400	2	8169	8248.0297	-79.0297	-0.0790
Hsweep	1000000	400	4	8144	8248.0297	-104.0297	-0.1040
Hsweep	1000000	400	6	16386	16496.0594	-110.0594	-0.1101
Hsweep	1000000	400	8	8242	8248.0297	-6.0297	-0.0060
Hsweep	1000000	400	10	10934	10997.3729	-63.3729	-0.0634
Hsweep	1000000	400	12	16378	16496.0594	-118.0594	-0.1181
Hsweep	1000000	400	30	21990	21994.7458	-4.7458	-0.0047
Hsweep	1000000	400	60	21830	21994.7458	-164.7458	-0.1647
Hsweep	1000000	400	90	21909	21994.7458	-85.7458	-0.0857
Hsweep	1000000	400	120	21959	21994.7458	-35.7458	-0.0357
Hsweep	1000000	400	150	21885	21994.7458	-109.7458	-0.1097
Hsweep	1000000	400	180	21986	21994.7458	-8.7458	-0.0087
Hsweep	1000000	400	198	18235	18328.9549	-93.9549	-0.0940
