anchor_log10,x,N_h,sigma_normalized,mean_norm_abs,median_norm_abs,ks_D_h_pois,ks_p_h_pois,ks_D_h_eff,ks_p_h_eff
6,1000000,8,0.553246,0.450946,0.578167,0.384195,0.143458,0.203998,0.851586
6,1020048,8,0.476307,0.402250,0.429924,0.421861,0.083467,0.165691,0.967070
6,1040498,8,0.467393,0.403345,0.390096,0.458880,0.046646,0.222015,0.771245
6,1061358,8,0.486499,0.437927,0.389525,0.419701,0.086219,0.245472,0.655314
6,1082637,8,0.431365,0.379057,0.362573,0.466495,0.041134,0.222165,0.770533
6,1104342,8,0.457678,0.389049,0.436838,0.490312,0.027388,0.201660,0.861060
6,1126482,8,0.435856,0.374200,0.433377,0.505297,0.020985,0.264893,0.558326
6,1149066,8,0.474641,0.387855,0.383263,0.421819,0.083520,0.224543,0.759160
6,1172102,8,0.390156,0.312864,0.284853,0.478494,0.033597,0.122667,0.999300
6,1195601,8,0.391186,0.296864,0.195538,0.469972,0.038811,0.242174,0.671923
6,1219570,8,0.369003,0.323187,0.381665,0.539739,0.011039,0.228942,0.737806
6,1244021,8,0.423801,0.375901,0.421923,0.528202,0.013754,0.260808,0.578464
6,1268961,8,0.429773,0.347091,0.351699,0.441562,0.061614,0.177164,0.942112
6,1294401,8,0.479212,0.399715,0.503772,0.429400,0.074436,0.206857,0.839666
6,1320352,8,0.522952,0.438716,0.531676,0.350710,0.222348,0.190695,0.901725
6,1346822,8,0.524637,0.457877,0.478106,0.401483,0.112596,0.262568,0.569762
6,1373824,8,0.517400,0.427253,0.437139,0.400633,0.113974,0.156678,0.980811
6,1401366,8,0.487739,0.422627,0.493226,0.446015,0.057418,0.188104,0.910342
6,1429461,8,0.576613,0.468693,0.410655,0.361132,0.194861,0.205021,0.847361
6,1458119,8,0.528727,0.451323,0.574280,0.428167,0.075854,0.222590,0.768510
6,1487352,8,0.502513,0.427123,0.501960,0.430168,0.073563,0.182157,0.928559
6,1517171,8,0.461895,0.395343,0.515974,0.496095,0.024737,0.236040,0.702683
6,1547587,8,0.550557,0.467443,0.470266,0.338379,0.258555,0.310730,0.354924
6,1578614,8,0.573238,0.489103,0.533338,0.346205,0.235105,0.195952,0.883040
6,1610262,8,0.542751,0.453030,0.542710,0.363838,0.188174,0.182653,0.927126
6,1642545,8,0.545682,0.451731,0.508320,0.343148,0.244068,0.148421,0.989362
6,1675475,8,0.508102,0.436812,0.441780,0.380772,0.150314,0.233100,0.717315
6,1709065,8,0.544614,0.474319,0.451376,0.353240,0.215419,0.285041,0.463031
6,1743329,8,0.587516,0.515488,0.538083,0.313671,0.343664,0.228902,0.738003
6,1778279,8,0.627753,0.548414,0.653782,0.318783,0.324664,0.202339,0.858333
7,10000000,8,0.507888,0.397846,0.403826,0.419736,0.086174,0.247685,0.644164
7,10200482,8,0.590811,0.457706,0.450122,0.388542,0.135119,0.176570,0.943616
7,10404983,8,0.597840,0.478856,0.412671,0.389118,0.134044,0.203783,0.852468
7,10613584,8,0.662597,0.519290,0.424681,0.343878,0.241903,0.170965,0.956667
7,10826367,8,0.686152,0.538680,0.368541,0.337470,0.261386,0.216190,0.798443
7,11043416,8,0.663631,0.500353,0.350298,0.413379,0.094714,0.261911,0.573004
7,11264817,8,0.653746,0.499799,0.335571,0.362195,0.192213,0.232738,0.719105
7,11490656,8,0.672643,0.517292,0.403426,0.311635,0.351437,0.173664,0.950640
7,11721023,8,0.694985,0.519313,0.531651,0.312760,0.347128,0.233237,0.716636
7,11956008,8,0.674343,0.480865,0.447599,0.364185,0.187329,0.276325,0.503312
7,12195705,8,0.677536,0.474547,0.423363,0.380672,0.150518,0.227950,0.742652
7,12440206,8,0.691421,0.490454,0.390567,0.415538,0.091738,0.281836,0.477654
7,12689610,8,0.685285,0.493734,0.376530,0.397355,0.119417,0.225558,0.754269
7,12944014,8,0.725000,0.501802,0.436709,0.438477,0.064673,0.300564,0.395666
7,13203518,8,0.684139,0.469190,0.446055,0.499506,0.023282,0.349325,0.226213
7,13468224,8,0.711427,0.490409,0.372642,0.470688,0.038347,0.330764,0.282979
7,13738238,8,0.714848,0.485895,0.394910,0.489720,0.027673,0.356351,0.207126
7,14013665,8,0.722906,0.496386,0.405781,0.501813,0.022342,0.376209,0.159858
7,14294613,8,0.714395,0.533570,0.498807,0.356501,0.206732,0.199479,0.869656
7,14581195,8,0.696227,0.561721,0.588189,0.405025,0.107001,0.242079,0.672402
