anchor_log10,x_anchor,x,h,S_h,pi_h,HL,residual,abs_residual,sigma_pred_poisson,sqrt_x,li2_x
6,1000000,1000000,2,1.320324,8169,8248.029690,-79.029690,79.029690,90.818664,1000.000000,6246.975735
6,1000000,1020048,2,1.320324,8323,8386.511259,-63.511259,63.511259,91.577897,1009.974257,6351.860300
6,1000000,1040498,2,1.320324,8469,8527.364896,-58.364896,58.364896,92.343732,1020.048038,6458.541445
6,1000000,1061358,2,1.320324,8612,8670.631401,-58.631401,58.631401,93.116225,1030.222306,6567.050073
6,1000000,1082637,2,1.320324,8768,8816.358040,-48.358040,48.358040,93.895463,1040.498438,6677.421981
6,1000000,1104342,2,1.320324,8917,8964.577989,-47.577989,47.577989,94.681455,1050.876777,6789.682298
6,1000000,1126482,2,1.320324,9072,9115.337742,-43.337742,43.337742,95.474278,1061.358563,6903.866237
6,1000000,1149066,2,1.320324,9237,9268.683357,-31.683357,31.683357,96.274001,1071.944961,7020.008682
6,1000000,1172102,2,1.320324,9397,9424.653704,-27.653704,27.653704,97.080656,1082.636596,7138.139073
6,1000000,1195601,2,1.320324,9566,9583.307536,-17.307536,17.307536,97.894369,1093.435412,7258.301909
6,1000000,1219570,2,1.320324,9707,9744.676149,-37.676149,37.676149,98.715126,1104.341433,7380.520893
6,1000000,1244021,2,1.320324,9880,9908.824105,-28.824105,28.824105,99.543077,1115.356894,7504.844923
6,1000000,1268961,2,1.320324,10056,10075.781913,-19.781913,19.781913,100.378194,1126.481691,7631.297109
6,1000000,1294401,2,1.320324,10218,10245.606510,-27.606510,27.606510,101.220583,1137.717452,7759.920571
6,1000000,1320352,2,1.320324,10391,10418.354296,-27.354296,27.354296,102.070340,1149.065707,7890.758028
6,1000000,1346822,2,1.320324,10581,10594.061259,-13.061259,13.061259,102.927456,1160.526605,8023.836736
6,1000000,1373824,2,1.320324,10769,10772.796143,-3.796143,3.796143,103.792081,1172.102385,8159.208761
6,1000000,1401366,2,1.320324,10961,10954.594075,6.405925,6.405925,104.664197,1183.793056,8296.900708
6,1000000,1429461,2,1.320324,11140,11139.522766,0.477234,0.477234,105.543938,1195.600686,8436.963861
6,1000000,1458119,2,1.320324,11311,11327.629623,-16.629623,16.629623,106.431338,1207.525983,8579.434126
6,1000000,1487352,2,1.320324,11504,11518.974714,-14.974714,14.974714,107.326487,1219.570416,8724.356997
6,1000000,1517171,2,1.320324,11723,11713.611035,9.388965,9.388965,108.229437,1231.734955,8871.772613
6,1000000,1547587,2,1.320324,11918,11911.591117,6.408883,6.408883,109.140236,1244.020498,9021.720759
6,1000000,1578614,2,1.320324,12129,12112.986472,16.013528,16.013528,110.059014,1256.429067,9174.255600
6,1000000,1610262,2,1.320324,12334,12317.842089,16.157911,16.157911,110.985774,1268.960992,9329.411209
6,1000000,1642545,2,1.320324,12553,12526.228372,26.771628,26.771628,111.920634,1281.618118,9487.240909
6,1000000,1675475,2,1.320324,12768,12738.202213,29.797787,29.797787,112.863644,1294.401406,9647.787790
6,1000000,1709065,2,1.320324,12995,12953.826422,41.173578,41.173578,113.814878,1307.312128,9811.099424
6,1000000,1743329,2,1.320324,13218,13173.169640,44.830360,44.830360,114.774429,1320.351847,9977.227797
6,1000000,1778279,2,1.320324,13434,13396.287135,37.712865,37.712865,115.742331,1333.521278,10146.214771
6,1000000,1000000,6,2.640647,16386,16496.059380,-110.059380,110.059380,128.436986,1000.000000,6246.975735
6,1000000,1020048,6,2.640647,16669,16773.022518,-104.022518,104.022518,129.510704,1009.974257,6351.860300
6,1000000,1040498,6,2.640647,16958,17054.729792,-96.729792,96.729792,130.593759,1020.048038,6458.541445
6,1000000,1061358,6,2.640647,17235,17341.262803,-106.262803,106.262803,131.686229,1030.222306,6567.050073
6,1000000,1082637,6,2.640647,17533,17632.716080,-99.716080,99.716080,132.788238,1040.498438,6677.421981
6,1000000,1104342,6,2.640647,17811,17929.155979,-118.155979,118.155979,133.899798,1050.876777,6789.682298
6,1000000,1126482,6,2.640647,18119,18230.675485,-111.675485,111.675485,135.021019,1061.358563,6903.866237
6,1000000,1149066,6,2.640647,18428,18537.366715,-109.366715,109.366715,136.151999,1071.944961,7020.008682
6,1000000,1172102,6,2.640647,18778,18849.307409,-71.307409,71.307409,137.292780,1082.636596,7138.139073
6,1000000,1195601,6,2.640647,19106,19166.615073,-60.615073,60.615073,138.443545,1093.435412,7258.301909
6,1000000,1219570,6,2.640647,19414,19489.352299,-75.352299,75.352299,139.604270,1104.341433,7380.520893
6,1000000,1244021,6,2.640647,19737,19817.648209,-80.648209,80.648209,140.775169,1115.356894,7504.844923
6,1000000,1268961,6,2.640647,20073,20151.563826,-78.563826,78.563826,141.956204,1126.481691,7631.297109
6,1000000,1294401,6,2.640647,20405,20491.213020,-86.213020,86.213020,143.147522,1137.717452,7759.920571
6,1000000,1320352,6,2.640647,20702,20836.708592,-134.708592,134.708592,144.349259,1149.065707,7890.758028
6,1000000,1346822,6,2.640647,21066,21188.122519,-122.122519,122.122519,145.561405,1160.526605,8023.836736
6,1000000,1373824,6,2.640647,21427,21545.592286,-118.592286,118.592286,146.784169,1172.102385,8159.208761
6,1000000,1401366,6,2.640647,21807,21909.188149,-102.188149,102.188149,148.017526,1183.793056,8296.900708
6,1000000,1429461,6,2.640647,22148,22279.045532,-131.045532,131.045532,149.261668,1195.600686,8436.963861
6,1000000,1458119,6,2.640647,22536,22655.259247,-119.259247,119.259247,150.516641,1207.525983,8579.434126
6,1000000,1487352,6,2.640647,22947,23037.949428,-90.949428,90.949428,151.782573,1219.570416,8724.356997
6,1000000,1517171,6,2.640647,23331,23427.222071,-96.222071,96.222071,153.059538,1231.734955,8871.772613
6,1000000,1547587,6,2.640647,23710,23823.182233,-113.182233,113.182233,154.347602,1244.020498,9021.720759
6,1000000,1578614,6,2.640647,24139,24225.972943,-86.972943,86.972943,155.646950,1256.429067,9174.255600
6,1000000,1610262,6,2.640647,24544,24635.684179,-91.684179,91.684179,156.957587,1268.960992,9329.411209
6,1000000,1642545,6,2.640647,24972,25052.456743,-80.456743,80.456743,158.279679,1281.618118,9487.240909
6,1000000,1675475,6,2.640647,25394,25476.404426,-82.404426,82.404426,159.613297,1294.401406,9647.787790
6,1000000,1709065,6,2.640647,25835,25907.652845,-72.652845,72.652845,160.958544,1307.312128,9811.099424
6,1000000,1743329,6,2.640647,26259,26346.339279,-87.339279,87.339279,162.315555,1320.351847,9977.227797
6,1000000,1778279,6,2.640647,26660,26792.574269,-132.574269,132.574269,163.684374,1333.521278,10146.214771
6,1000000,1000000,14,1.584388,9878,9897.635628,-19.635628,19.635628,99.486862,1000.000000,6246.975735
6,1000000,1020048,14,1.584388,10050,10063.813511,-13.813511,13.813511,100.318560,1009.974257,6351.860300
6,1000000,1040498,14,1.584388,10203,10232.837875,-29.837875,29.837875,101.157490,1020.048038,6458.541445
6,1000000,1061358,14,1.584388,10372,10404.757682,-32.757682,32.757682,102.003714,1030.222306,6567.050073
6,1000000,1082637,14,1.584388,10560,10579.629648,-19.629648,19.629648,102.857327,1040.498438,6677.421981
6,1000000,1104342,14,1.584388,10729,10757.493587,-28.493587,28.493587,103.718338,1050.876777,6789.682298
6,1000000,1126482,14,1.584388,10905,10938.405291,-33.405291,33.405291,104.586831,1061.358563,6903.866237
6,1000000,1149066,14,1.584388,11082,11122.420029,-40.420029,40.420029,105.462885,1071.944961,7020.008682
6,1000000,1172102,14,1.584388,11284,11309.584445,-25.584445,25.584445,106.346530,1082.636596,7138.139073
6,1000000,1195601,14,1.584388,11479,11499.969044,-20.969044,20.969044,107.237909,1093.435412,7258.301909
6,1000000,1219570,14,1.584388,11682,11693.611379,-11.611379,11.611379,108.137003,1104.341433,7380.520893
6,1000000,1244021,14,1.584388,11873,11890.588926,-17.588926,17.588926,109.043977,1115.356894,7504.844923
6,1000000,1268961,14,1.584388,12080,12090.938296,-10.938296,10.938296,109.958803,1126.481691,7631.297109
6,1000000,1294401,14,1.584388,12278,12294.727812,-16.727812,16.727812,110.881594,1137.717452,7759.920571
6,1000000,1320352,14,1.584388,12472,12502.025155,-30.025155,30.025155,111.812455,1149.065707,7890.758028
6,1000000,1346822,14,1.584388,12659,12712.873511,-53.873511,53.873511,112.751379,1160.526605,8023.836736
6,1000000,1373824,14,1.584388,12888,12927.355372,-39.355372,39.355372,113.698528,1172.102385,8159.208761
6,1000000,1401366,14,1.584388,13104,13145.512889,-41.512889,41.512889,114.653883,1183.793056,8296.900708
6,1000000,1429461,14,1.584388,13324,13367.427319,-43.427319,43.427319,115.617591,1195.600686,8436.963861
6,1000000,1458119,14,1.584388,13553,13593.155548,-40.155548,40.155548,116.589689,1207.525983,8579.434126
6,1000000,1487352,14,1.584388,13791,13822.769657,-31.769657,31.769657,117.570275,1219.570416,8724.356997
6,1000000,1517171,14,1.584388,14026,14056.333242,-30.333242,30.333242,118.559408,1231.734955,8871.772613
6,1000000,1547587,14,1.584388,14243,14293.909340,-50.909340,50.909340,119.557138,1244.020498,9021.720759
6,1000000,1578614,14,1.584388,14484,14535.583766,-51.583766,51.583766,120.563609,1256.429067,9174.255600
6,1000000,1610262,14,1.584388,14756,14781.410507,-25.410507,25.410507,121.578824,1268.960992,9329.411209
6,1000000,1642545,14,1.584388,15000,15031.474046,-31.474046,31.474046,122.602912,1281.618118,9487.240909
6,1000000,1675475,14,1.584388,15252,15285.842656,-33.842656,33.842656,123.635928,1294.401406,9647.787790
6,1000000,1709065,14,1.584388,15508,15544.591707,-36.591707,36.591707,124.677952,1307.312128,9811.099424
6,1000000,1743329,14,1.584388,15762,15807.803567,-45.803567,45.803567,125.729088,1320.351847,9977.227797
6,1000000,1778279,14,1.584388,16023,16075.544562,-52.544562,52.544562,126.789371,1333.521278,10146.214771
6,1000000,1000000,22,1.467026,9171,9164.477433,6.522567,6.522567,95.731277,1000.000000,6246.975735
6,1000000,1020048,22,1.467026,9318,9318.345844,-0.345844,0.345844,96.531580,1009.974257,6351.860300
6,1000000,1040498,22,1.467026,9459,9474.849884,-15.849884,15.849884,97.338841,1020.048038,6458.541445
6,1000000,1061358,22,1.467026,9611,9634.034891,-23.034891,23.034891,98.153120,1030.222306,6567.050073
6,1000000,1082637,22,1.467026,9769,9795.953378,-26.953378,26.953378,98.974509,1040.498438,6677.421981
6,1000000,1104342,22,1.467026,9942,9960.642210,-18.642210,18.642210,99.803017,1050.876777,6789.682298
6,1000000,1126482,22,1.467026,10118,10128.153047,-10.153047,10.153047,100.638725,1061.358563,6903.866237
6,1000000,1149066,22,1.467026,10297,10298.537064,-1.537064,1.537064,101.481708,1071.944961,7020.008682
6,1000000,1172102,22,1.467026,10478,10471.837449,6.162551,6.162551,102.331996,1082.636596,7138.139073
6,1000000,1195601,22,1.467026,10645,10648.119485,-3.119485,3.119485,103.189726,1093.435412,7258.301909
6,1000000,1219570,22,1.467026,10812,10827.417944,-15.417944,15.417944,104.054879,1104.341433,7380.520893
6,1000000,1244021,22,1.467026,10995,11009.804561,-14.804561,14.804561,104.927616,1115.356894,7504.844923
6,1000000,1268961,22,1.467026,11190,11195.313237,-5.313237,5.313237,105.807907,1126.481691,7631.297109
6,1000000,1294401,22,1.467026,11378,11384.007234,-6.007234,6.007234,106.695863,1137.717452,7759.920571
6,1000000,1320352,22,1.467026,11558,11575.949218,-17.949218,17.949218,107.591585,1149.065707,7890.758028
6,1000000,1346822,22,1.467026,11748,11771.179177,-23.179177,23.179177,108.495065,1160.526605,8023.836736
6,1000000,1373824,22,1.467026,11943,11969.773492,-26.773492,26.773492,109.406460,1172.102385,8159.208761
6,1000000,1401366,22,1.467026,12147,12171.771194,-24.771194,24.771194,110.325750,1183.793056,8296.900708
6,1000000,1429461,22,1.467026,12339,12377.247518,-38.247518,38.247518,111.253079,1195.600686,8436.963861
6,1000000,1458119,22,1.467026,12563,12586.255137,-23.255137,23.255137,112.188480,1207.525983,8579.434126
6,1000000,1487352,22,1.467026,12766,12798.860793,-32.860793,32.860793,113.132050,1219.570416,8724.356997
6,1000000,1517171,22,1.467026,12973,13015.123373,-42.123373,42.123373,114.083844,1231.734955,8871.772613
6,1000000,1547587,22,1.467026,13181,13235.101241,-54.101241,54.101241,115.043910,1244.020498,9021.720759
6,1000000,1578614,22,1.467026,13397,13458.873857,-61.873857,61.873857,116.012387,1256.429067,9174.255600
6,1000000,1610262,22,1.467026,13623,13686.491210,-63.491210,63.491210,116.989278,1268.960992,9329.411209
