anchor_log10,h,S_h,N,sigma_eff,sigma_pred_poisson,sigma_eff_over_poisson,sigma_eff_over_sqrt_x,median_abs,mean_abs,median_over_sigma_eff,mean_over_sigma_eff,abs_range_over_sigma_eff,signed_range,ks_D_eff,ks_p_eff,ks_D_poisson,ks_p_poisson
6,2,1.320324,30,35.557298,102.927456,0.345460,0.030639,27.653704,30.009966,0.777722,0.843989,2.209180,123.860050,0.148499,0.489683,0.505146,0.000000
6,6,2.640647,30,100.909969,145.561405,0.693247,0.086952,99.716080,99.034778,0.988169,0.981417,0.734254,74.093520,0.486879,0.000001,0.354736,0.000711
6,14,1.584388,30,34.234748,112.751379,0.303630,0.029499,31.769657,32.000867,0.927994,0.934748,1.254141,42.935215,0.275393,0.016688,0.632787,0.000000
6,22,1.467026,30,37.581501,108.495065,0.346389,0.032383,23.255137,29.694625,0.618792,0.790139,2.113211,86.286050,0.106585,0.865970,0.491747,0.000000
6,30,3.520863,30,20.431386,168.079832,0.121558,0.017605,11.543619,16.821259,0.564994,0.823305,1.835964,77.422348,0.105411,0.874534,0.816651,0.000000
6,42,3.168777,30,75.411462,159.454530,0.472934,0.064980,71.189418,70.764934,0.944013,0.938384,1.328061,100.151036,0.316210,0.003636,0.443976,0.000008
6,90,3.520863,30,130.997770,168.079832,0.779378,0.112878,130.617361,125.090815,0.997096,0.954908,0.982072,128.649307,0.384559,0.000177,0.304571,0.005736
6,198,2.934053,30,95.757391,153.435193,0.624090,0.082512,83.246745,85.897901,0.869351,0.897037,1.509113,144.508745,0.226557,0.078384,0.332321,0.001880
7,2,1.320324,30,199.864685,275.761995,0.724772,0.054460,200.531245,196.778083,1.003335,0.984557,0.607649,121.447540,0.496860,0.000000,0.372520,0.000315
7,6,2.640647,30,639.069521,389.986353,1.638697,0.174138,672.623251,626.910501,1.052504,0.980974,0.752433,480.857048,0.456930,0.000004,0.691215,0.000000
7,14,1.584388,30,47.770276,302.082130,0.158137,0.013017,36.741811,38.967568,0.769135,0.815728,2.397539,165.372272,0.088701,0.965046,0.713198,0.000000
7,22,1.467026,30,86.723492,290.678665,0.298348,0.023631,55.742782,68.682608,0.642764,0.791972,2.158023,252.323068,0.120751,0.746997,0.571448,0.000000
7,30,3.520863,30,247.562489,450.317451,0.549751,0.067457,232.617324,240.614001,0.939631,0.971932,0.805760,199.476064,0.481508,0.000001,0.424913,0.000023
7,42,3.168777,30,132.156208,427.208645,0.309348,0.036011,127.408464,124.885934,0.964075,0.944987,1.386652,183.254699,0.333892,0.001760,0.617761,0.000000
7,90,3.520863,30,169.652317,450.317451,0.376739,0.046228,169.584211,153.285999,0.999599,0.903530,1.553438,263.544298,0.255071,0.032950,0.536823,0.000000
7,198,2.934053,30,124.358358,411.081710,0.302515,0.033886,109.566618,112.354047,0.881056,0.903470,1.756944,350.914617,0.247943,0.041316,0.570315,0.000000
8,2,1.320324,30,174.515249,757.011703,0.230532,0.015038,78.309901,115.531949,0.448728,0.662016,2.474900,543.854280,0.240890,0.051358,0.658983,0.000000
8,6,2.640647,30,775.550505,1070.576218,0.724423,0.066827,688.824096,751.555359,0.888174,0.969060,0.972691,754.370795,0.462172,0.000003,0.343212,0.001182
8,14,1.584388,30,230.418089,829.264772,0.277858,0.019855,197.440918,197.433430,0.856881,0.856849,1.895186,813.391924,0.172182,0.306828,0.625554,0.000000
8,22,1.467026,30,218.046937,797.960399,0.273255,0.018789,204.798758,203.830755,0.939242,0.934802,1.469980,320.524555,0.351210,0.000832,0.632472,0.000000
8,30,3.520863,30,541.467788,1236.194935,0.438012,0.046657,403.432128,438.738677,0.745071,0.810277,1.806147,1249.564534,0.128145,0.678022,0.422432,0.000026
8,42,3.168777,30,579.936476,1172.757488,0.494507,0.049972,619.062540,552.286431,1.067466,0.952322,1.356044,786.419171,0.320953,0.003004,0.488823,0.000001
8,90,3.520863,30,185.905049,1236.194935,0.150385,0.016019,172.014058,159.998830,0.925279,0.860648,2.146045,472.050287,0.183864,0.236464,0.757264,0.000000
8,198,2.934053,30,533.329894,1128.486419,0.472606,0.045956,470.807186,492.438490,0.882769,0.923328,1.443048,769.620843,0.277438,0.015539,0.412072,0.000044
