anchor_log10,x,Q,N_h,sigma_HL_Q,mean_abs,median_abs,sigma_norm_pois,ks_D_eff,ks_p_eff
7,10000000,30,26,637.671668,397.016470,204.183502,2.390648,0.368086,0.001172
7,10000000,50,26,446.127561,282.776770,160.159595,1.513227,0.316455,0.008168
7,10000000,100,26,356.549421,210.943623,156.324613,1.042726,0.302901,0.012953
7,10000000,200,26,174.232610,136.973740,124.810170,0.624809,0.080611,0.994097
7,10000000,500,26,167.903017,128.624762,120.059221,0.594708,0.112104,0.880400
7,10000000,1000,26,170.985274,136.920461,124.810170,0.609445,0.079689,0.994916
7,10000000,2000,26,172.435771,139.164515,125.816498,0.616355,0.104116,0.927136
7,10000000,5000,26,173.353476,140.293832,129.089585,0.620719,0.102002,0.937478
7,10000000,inf,26,173.353476,140.293832,129.089585,0.620719,0.102002,0.937478
7,11547820,30,26,744.672603,463.850630,225.106547,2.599946,0.391534,0.000441
7,11547820,50,26,525.733409,328.879289,184.888379,1.645617,0.354234,0.002031
7,11547820,100,26,427.856346,246.847673,166.106547,1.153203,0.354031,0.002047
7,11547820,200,26,198.952194,150.258877,123.278661,0.647397,0.108246,0.904430
7,11547820,500,26,189.635817,134.321479,93.344287,0.604084,0.179201,0.341028
7,11547820,1000,26,194.454487,143.717798,123.278661,0.626639,0.156344,0.513030
7,11547820,2000,26,195.730463,146.259579,130.979742,0.632574,0.156828,0.509005
7,11547820,5000,26,196.523037,147.538725,135.365636,0.636254,0.157125,0.506538
7,11547820,inf,26,196.523037,147.538725,135.365636,0.636254,0.157125,0.506538
7,13335214,30,26,836.058539,528.194284,238.941589,2.765618,0.356116,0.001887
7,13335214,50,26,585.644095,376.166639,201.741773,1.752521,0.327416,0.005543
7,13335214,100,26,471.384110,284.872717,176.598228,1.223375,0.324706,0.006108
7,13335214,200,26,228.448713,177.173470,121.401772,0.691378,0.133591,0.711078
7,13335214,500,26,212.061315,158.260570,115.598228,0.618540,0.182379,0.320451
7,13335214,1000,26,216.754038,164.951587,117.721954,0.639716,0.152341,0.546817
7,13335214,2000,26,218.144923,167.831145,121.401772,0.645951,0.116318,0.851358
7,13335214,5000,26,219.439367,169.280279,121.401772,0.651737,0.118563,0.834826
7,13335214,inf,26,219.439367,169.280279,121.401772,0.651737,0.118563,0.834826
7,15399265,30,26,953.481814,614.499930,297.438905,2.966966,0.357397,0.001795
7,15399265,50,26,661.018335,435.210415,237.540194,1.855806,0.313847,0.008940
7,15399265,100,26,535.155919,331.623625,201.438905,1.308502,0.305471,0.011887
7,15399265,200,26,266.149771,209.997773,179.146627,0.735542,0.095880,0.962346
7,15399265,500,26,251.060981,188.567514,178.438905,0.670805,0.099017,0.950547
7,15399265,1000,26,258.416521,199.903322,178.438905,0.702687,0.083381,0.991035
7,15399265,2000,26,260.177917,203.166158,179.146627,0.710248,0.086230,0.986807
7,15399265,5000,26,261.969833,204.808175,179.146627,0.717913,0.089128,0.981215
7,15399265,inf,26,261.969833,204.808175,179.146627,0.717913,0.089128,0.981215
7,17782794,30,26,1088.251069,682.051604,290.019959,3.161377,0.362525,0.001465
7,17782794,50,26,761.566698,478.084806,226.980041,1.985304,0.347534,0.002629
7,17782794,100,26,624.343082,361.608772,187.311156,1.418044,0.361698,0.001514
7,17782794,200,26,275.634548,216.068477,186.377687,0.739906,0.087656,0.984229
7,17782794,500,26,253.895149,191.781333,181.462111,0.654970,0.114513,0.864133
7,17782794,1000,26,263.015012,202.526578,181.462111,0.691081,0.130206,0.740368
7,17782794,2000,26,262.452763,199.453618,181.462111,0.688872,0.129262,0.748437
7,17782794,5000,26,263.578952,201.314534,183.363839,0.693297,0.131150,0.732253
7,17782794,inf,26,263.578952,201.314534,183.363839,0.693297,0.131150,0.732253
8,100000000,30,26,5163.302483,2969.931222,827.588455,7.022270,0.476673,0.000008
8,100000000,50,26,3615.057145,1969.853299,556.205773,4.403315,0.495228,0.000003
8,100000000,100,26,2996.443585,1422.349523,380.117939,3.203432,0.532575,0.000000
8,100000000,200,26,527.722986,412.508575,346.353073,0.729918,0.096089,0.961620
8,100000000,500,26,440.736116,355.870150,283.901717,0.584938,0.087301,0.984901
8,100000000,1000,26,419.174236,339.341124,283.901717,0.547852,0.111458,0.884603
8,100000000,2000,26,405.403654,322.521637,274.689190,0.523815,0.105731,0.918649
8,100000000,5000,26,409.016954,330.986017,283.868087,0.530153,0.084730,0.989179
8,100000000,inf,26,409.016954,330.986017,283.868087,0.530153,0.084730,0.989179
8,115478198,30,26,5874.273334,3380.527956,816.477811,7.481471,0.431969,0.000071
8,115478198,50,26,4121.669814,2247.649018,558.653253,4.691485,0.458356,0.000019
8,115478198,100,26,3445.608802,1644.776512,410.950691,3.457924,0.504994,0.000002
8,115478198,200,26,621.854358,460.697947,392.321139,0.830410,0.144014,0.619229
8,115478198,500,26,449.976265,356.087163,307.022758,0.567873,0.069911,0.999302
8,115478198,1000,26,395.417304,320.415006,301.211283,0.480040,0.101962,0.937663
8,115478198,2000,26,366.946136,301.313466,301.211283,0.432529,0.099614,0.948078
8,115478198,5000,26,367.979164,304.351069,301.211283,0.434279,0.098260,0.953578
8,115478198,inf,26,367.979164,304.351069,301.211283,0.434279,0.098260,0.953578
