anchor_log10,x,h,max_p_h,S_inf,pi_h,li2_x,sqrt_x,sigma_pred_pois,S_30,r_30,S_50,r_50,S_100,r_100,S_200,r_200,S_500,r_500,S_1000,r_1000,S_2000,r_2000,S_5000,r_5000,r_inf
7,10000000,2,0,1.320324,58980,44499.556842,3162.277660,242.391866,1.320324,226.183502,1.320324,226.183502,1.320324,226.183502,1.320324,226.183502,1.320324,226.183502,1.320324,226.183502,1.320324,226.183502,1.320324,226.183502,226.183502
7,10000000,6,3,2.640647,117207,44499.556842,3162.277660,342.793864,2.640647,-300.632996,2.640647,-300.632996,2.640647,-300.632996,2.640647,-300.632996,2.640647,-300.632996,2.640647,-300.632996,2.640647,-300.632996,2.640647,-300.632996,-300.632996
7,10000000,14,7,1.584388,70463,44499.556842,3162.277660,265.526985,1.584388,-41.579798,1.584388,-41.579798,1.584388,-41.579798,1.584388,-41.579798,1.584388,-41.579798,1.584388,-41.579798,1.584388,-41.579798,1.584388,-41.579798,-41.579798
7,10000000,22,11,1.467026,65320,44499.556842,3162.277660,255.503461,1.467026,37.981669,1.467026,37.981669,1.467026,37.981669,1.467026,37.981669,1.467026,37.981669,1.467026,37.981669,1.467026,37.981669,1.467026,37.981669,37.981669
7,10000000,30,5,3.520863,156517,44499.556842,3162.277660,395.824259,3.520863,-159.843994,3.520863,-159.843994,3.520863,-159.843994,3.520863,-159.843994,3.520863,-159.843994,3.520863,-159.843994,3.520863,-159.843994,3.520863,-159.843994,-159.843994
7,10000000,38,19,1.397990,62133,44499.556842,3162.277660,249.419172,1.397990,-76.923351,1.397990,-76.923351,1.397990,-76.923351,1.397990,-76.923351,1.397990,-76.923351,1.397990,-76.923351,1.397990,-76.923351,1.397990,-76.923351,-76.923351
7,10000000,42,7,3.168777,140849,44499.556842,3162.277660,375.511863,3.168777,-160.159595,3.168777,-160.159595,3.168777,-160.159595,3.168777,-160.159595,3.168777,-160.159595,3.168777,-160.159595,3.168777,-160.159595,3.168777,-160.159595,-160.159595
7,10000000,46,23,1.383196,61341,44499.556842,3162.277660,248.095984,1.383196,-210.617284,1.383196,-210.617284,1.383196,-210.617284,1.383196,-210.617284,1.383196,-210.617284,1.383196,-210.617284,1.383196,-210.617284,1.383196,-210.617284,-210.617284
7,10000000,58,29,1.369225,60654,44499.556842,3162.277660,246.839794,1.369225,-275.883776,1.369225,-275.883776,1.369225,-275.883776,1.369225,-275.883776,1.369225,-275.883776,1.369225,-275.883776,1.369225,-275.883776,1.369225,-275.883776,-275.883776
7,10000000,62,31,1.365852,60655,44499.556842,3162.277660,246.535616,1.320324,1901.183502,1.365852,-124.810170,1.365852,-124.810170,1.365852,-124.810170,1.365852,-124.810170,1.365852,-124.810170,1.365852,-124.810170,1.365852,-124.810170,-124.810170
7,10000000,78,13,2.880706,128087,44499.556842,3162.277660,358.036514,2.880706,-103.145086,2.880706,-103.145086,2.880706,-103.145086,2.880706,-103.145086,2.880706,-103.145086,2.880706,-103.145086,2.880706,-103.145086,2.880706,-103.145086,-103.145086
7,10000000,82,41,1.354178,60104,44499.556842,3162.277660,245.479785,1.320324,1350.183502,1.354178,-156.324613,1.354178,-156.324613,1.354178,-156.324613,1.354178,-156.324613,1.354178,-156.324613,1.354178,-156.324613,1.354178,-156.324613,-156.324613
7,10000000,106,53,1.346212,59901,44499.556842,3162.277660,244.756720,1.320324,1147.183502,1.320324,1147.183502,1.346212,-4.852116,1.346212,-4.852116,1.346212,-4.852116,1.346212,-4.852116,1.346212,-4.852116,1.346212,-4.852116,-4.852116
7,10000000,158,79,1.337471,59498,44499.556842,3162.277660,243.960761,1.320324,744.183502,1.320324,744.183502,1.337471,-18.853076,1.337471,-18.853076,1.337471,-18.853076,1.337471,-18.853076,1.337471,-18.853076,1.337471,-18.853076,-18.853076
7,10000000,198,11,2.934053,130505,44499.556842,3162.277660,361.336459,2.934053,-59.036662,2.934053,-59.036662,2.934053,-59.036662,2.934053,-59.036662,2.934053,-59.036662,2.934053,-59.036662,2.934053,-59.036662,2.934053,-59.036662,-59.036662
7,10000000,218,109,1.332663,58958,44499.556842,3162.277660,243.521904,1.320324,204.183502,1.320324,204.183502,1.320324,204.183502,1.332663,-344.917587,1.332663,-344.917587,1.332663,-344.917587,1.332663,-344.917587,1.332663,-344.917587,-344.917587
7,10000000,302,151,1.329185,59177,44499.556842,3162.277660,243.203901,1.320324,423.183502,1.320324,423.183502,1.320324,423.183502,1.329185,28.862586,1.329185,28.862586,1.329185,28.862586,1.329185,28.862586,1.329185,28.862586,28.862586
7,10000000,398,199,1.327026,58932,44499.556842,3162.277660,243.006295,1.320324,178.183502,1.320324,178.183502,1.320324,178.183502,1.327026,-120.059221,1.327026,-120.059221,1.327026,-120.059221,1.327026,-120.059221,1.327026,-120.059221,-120.059221
7,10000000,502,251,1.325626,58997,44499.556842,3162.277660,242.878109,1.320324,243.183502,1.320324,243.183502,1.320324,243.183502,1.320324,243.183502,1.325626,7.224400,1.325626,7.224400,1.325626,7.224400,1.325626,7.224400,7.224400
7,10000000,606,101,2.667320,118294,44499.556842,3162.277660,344.520796,2.640647,786.367004,2.640647,786.367004,2.640647,786.367004,2.667320,-400.578784,2.667320,-400.578784,2.667320,-400.578784,2.667320,-400.578784,2.667320,-400.578784,-400.578784
7,10000000,802,401,1.323633,58818,44499.556842,3162.277660,242.695425,1.320324,64.183502,1.320324,64.183502,1.320324,64.183502,1.320324,64.183502,1.323633,-83.069171,1.323633,-83.069171,1.323633,-83.069171,1.323633,-83.069171,-83.069171
7,10000000,1006,503,1.322959,58742,44499.556842,3162.277660,242.633653,1.320324,-11.816498,1.320324,-11.816498,1.320324,-11.816498,1.320324,-11.816498,1.320324,-11.816498,1.322959,-129.089585,1.322959,-129.089585,1.322959,-129.089585,-129.089585
7,10000000,1198,599,1.322535,58749,44499.556842,3162.277660,242.594789,1.320324,-4.816498,1.320324,-4.816498,1.320324,-4.816498,1.320324,-4.816498,1.320324,-4.816498,1.322535,-103.231601,1.322535,-103.231601,1.322535,-103.231601,-103.231601
