anchor_log10,x,sigma_inf,knee_Q,knee_max_p,sigma_Q_30,sigma_Q_50,sigma_Q_100,sigma_Q_200,sigma_Q_500,sigma_Q_1000,sigma_Q_2000,sigma_Q_5000,sigma_Q_inf
7,10000000,173.353476,200,199,637.671668,446.127561,356.549421,174.232610,167.903017,170.985274,172.435771,173.353476,173.353476
7,11547820,196.523037,200,199,744.672603,525.733409,427.856346,198.952194,189.635817,194.454487,195.730463,196.523037,196.523037
7,13335214,219.439367,200,199,836.058539,585.644095,471.384110,228.448713,212.061315,216.754038,218.144923,219.439367,219.439367
7,15399265,261.969833,200,199,953.481814,661.018335,535.155919,266.149771,251.060981,258.416521,260.177917,261.969833,261.969833
7,17782794,263.578952,200,199,1088.251069,761.566698,624.343082,275.634548,253.895149,263.015012,262.452763,263.578952,263.578952
8,100000000,409.016954,1000,599,5163.302483,3615.057145,2996.443585,527.722986,440.736116,419.174236,405.403654,409.016954,409.016954
8,115478198,367.979164,2000,1009,5874.273334,4121.669814,3445.608802,621.854358,449.976265,395.417304,366.946136,367.979164,367.979164
8,133352143,510.719771,2000,1009,6672.642343,4663.644694,3896.675619,777.135549,582.943677,537.055615,509.224669,510.719771,510.719771
8,153992653,562.412466,1000,599,7538.021534,5290.468054,4405.448505,788.711749,616.339745,589.917158,557.181931,562.412466,562.412466
8,177827941,595.599972,2000,1009,8603.123146,6044.861428,5014.184284,885.386774,662.782128,628.079886,592.973550,595.599972,595.599972
