h,max_p,S_inf,S_30,abs_eps_30,rel_eps_30,S_50,abs_eps_50,rel_eps_50,S_100,abs_eps_100,rel_eps_100,S_200,abs_eps_200,rel_eps_200,S_500,abs_eps_500,rel_eps_500,S_1000,abs_eps_1000,rel_eps_1000,S_2000,abs_eps_2000,rel_eps_2000,S_5000,abs_eps_5000,rel_eps_5000
2,0,1.320324,1.320324,0.000000,0.000000e+00,1.320324,0.000000,0.000000e+00,1.320324,0.000000,0.000000e+00,1.320324,0.000000,0.000000e+00,1.320324,0.000000,0.000000e+00,1.320324,0.000000,0.000000e+00,1.320324,0.000000,0.000000e+00,1.320324,0.000000,0.000000e+00
6,3,2.640647,2.640647,0.000000,0.000000e+00,2.640647,0.000000,0.000000e+00,2.640647,0.000000,0.000000e+00,2.640647,0.000000,0.000000e+00,2.640647,0.000000,0.000000e+00,2.640647,0.000000,0.000000e+00,2.640647,0.000000,0.000000e+00,2.640647,0.000000,0.000000e+00
14,7,1.584388,1.584388,0.000000,0.000000e+00,1.584388,0.000000,0.000000e+00,1.584388,0.000000,0.000000e+00,1.584388,0.000000,0.000000e+00,1.584388,0.000000,0.000000e+00,1.584388,0.000000,0.000000e+00,1.584388,0.000000,0.000000e+00,1.584388,0.000000,0.000000e+00
22,11,1.467026,1.467026,0.000000,0.000000e+00,1.467026,0.000000,0.000000e+00,1.467026,0.000000,0.000000e+00,1.467026,0.000000,0.000000e+00,1.467026,0.000000,0.000000e+00,1.467026,0.000000,0.000000e+00,1.467026,0.000000,0.000000e+00,1.467026,0.000000,0.000000e+00
30,5,3.520863,3.520863,0.000000,0.000000e+00,3.520863,0.000000,0.000000e+00,3.520863,0.000000,0.000000e+00,3.520863,0.000000,0.000000e+00,3.520863,0.000000,0.000000e+00,3.520863,0.000000,0.000000e+00,3.520863,0.000000,0.000000e+00,3.520863,0.000000,0.000000e+00
38,19,1.397990,1.397990,0.000000,0.000000e+00,1.397990,0.000000,0.000000e+00,1.397990,0.000000,0.000000e+00,1.397990,0.000000,0.000000e+00,1.397990,0.000000,0.000000e+00,1.397990,0.000000,0.000000e+00,1.397990,0.000000,0.000000e+00,1.397990,0.000000,0.000000e+00
42,7,3.168777,3.168777,0.000000,0.000000e+00,3.168777,0.000000,0.000000e+00,3.168777,0.000000,0.000000e+00,3.168777,0.000000,0.000000e+00,3.168777,0.000000,0.000000e+00,3.168777,0.000000,0.000000e+00,3.168777,0.000000,0.000000e+00,3.168777,0.000000,0.000000e+00
46,23,1.383196,1.383196,0.000000,0.000000e+00,1.383196,0.000000,0.000000e+00,1.383196,0.000000,0.000000e+00,1.383196,0.000000,0.000000e+00,1.383196,0.000000,0.000000e+00,1.383196,0.000000,0.000000e+00,1.383196,0.000000,0.000000e+00,1.383196,0.000000,0.000000e+00
58,29,1.369225,1.369225,0.000000,0.000000e+00,1.369225,0.000000,0.000000e+00,1.369225,0.000000,0.000000e+00,1.369225,0.000000,0.000000e+00,1.369225,0.000000,0.000000e+00,1.369225,0.000000,0.000000e+00,1.369225,0.000000,0.000000e+00,1.369225,0.000000,0.000000e+00
62,31,1.365852,1.320324,0.045528,3.333333e-02,1.365852,0.000000,0.000000e+00,1.365852,0.000000,0.000000e+00,1.365852,0.000000,0.000000e+00,1.365852,0.000000,0.000000e+00,1.365852,0.000000,0.000000e+00,1.365852,0.000000,0.000000e+00,1.365852,0.000000,0.000000e+00
78,13,2.880706,2.880706,0.000000,0.000000e+00,2.880706,0.000000,0.000000e+00,2.880706,0.000000,0.000000e+00,2.880706,0.000000,0.000000e+00,2.880706,0.000000,0.000000e+00,2.880706,0.000000,0.000000e+00,2.880706,0.000000,0.000000e+00,2.880706,0.000000,0.000000e+00
82,41,1.354178,1.320324,0.033854,2.500000e-02,1.354178,0.000000,0.000000e+00,1.354178,0.000000,0.000000e+00,1.354178,0.000000,0.000000e+00,1.354178,0.000000,0.000000e+00,1.354178,0.000000,0.000000e+00,1.354178,0.000000,0.000000e+00,1.354178,0.000000,0.000000e+00
106,53,1.346212,1.320324,0.025889,1.923077e-02,1.320324,0.025889,1.923077e-02,1.346212,0.000000,0.000000e+00,1.346212,0.000000,0.000000e+00,1.346212,0.000000,0.000000e+00,1.346212,0.000000,0.000000e+00,1.346212,0.000000,0.000000e+00,1.346212,0.000000,0.000000e+00
158,79,1.337471,1.320324,0.017147,1.282051e-02,1.320324,0.017147,1.282051e-02,1.337471,0.000000,0.000000e+00,1.337471,0.000000,0.000000e+00,1.337471,0.000000,0.000000e+00,1.337471,0.000000,0.000000e+00,1.337471,0.000000,0.000000e+00,1.337471,0.000000,0.000000e+00
198,11,2.934053,2.934053,0.000000,0.000000e+00,2.934053,0.000000,0.000000e+00,2.934053,0.000000,0.000000e+00,2.934053,0.000000,0.000000e+00,2.934053,0.000000,0.000000e+00,2.934053,0.000000,0.000000e+00,2.934053,0.000000,0.000000e+00,2.934053,0.000000,0.000000e+00
218,109,1.332663,1.320324,0.012339,9.259259e-03,1.320324,0.012339,9.259259e-03,1.320324,0.012339,9.259259e-03,1.332663,0.000000,0.000000e+00,1.332663,0.000000,0.000000e+00,1.332663,0.000000,0.000000e+00,1.332663,0.000000,0.000000e+00,1.332663,0.000000,0.000000e+00
302,151,1.329185,1.320324,0.008861,6.666667e-03,1.320324,0.008861,6.666667e-03,1.320324,0.008861,6.666667e-03,1.329185,0.000000,0.000000e+00,1.329185,0.000000,0.000000e+00,1.329185,0.000000,0.000000e+00,1.329185,0.000000,0.000000e+00,1.329185,0.000000,0.000000e+00
398,199,1.327026,1.320324,0.006702,5.050505e-03,1.320324,0.006702,5.050505e-03,1.320324,0.006702,5.050505e-03,1.327026,0.000000,0.000000e+00,1.327026,0.000000,0.000000e+00,1.327026,0.000000,0.000000e+00,1.327026,0.000000,0.000000e+00,1.327026,0.000000,0.000000e+00
502,251,1.325626,1.320324,0.005303,4.000000e-03,1.320324,0.005303,4.000000e-03,1.320324,0.005303,4.000000e-03,1.320324,0.005303,4.000000e-03,1.325626,0.000000,0.000000e+00,1.325626,0.000000,0.000000e+00,1.325626,0.000000,0.000000e+00,1.325626,0.000000,0.000000e+00
606,101,2.667320,2.640647,0.026673,1.000000e-02,2.640647,0.026673,1.000000e-02,2.640647,0.026673,1.000000e-02,2.667320,0.000000,0.000000e+00,2.667320,0.000000,0.000000e+00,2.667320,0.000000,0.000000e+00,2.667320,0.000000,0.000000e+00,2.667320,0.000000,0.000000e+00
802,401,1.323633,1.320324,0.003309,2.500000e-03,1.320324,0.003309,2.500000e-03,1.320324,0.003309,2.500000e-03,1.320324,0.003309,2.500000e-03,1.323633,0.000000,0.000000e+00,1.323633,0.000000,0.000000e+00,1.323633,0.000000,0.000000e+00,1.323633,0.000000,0.000000e+00
1006,503,1.322959,1.320324,0.002635,1.992032e-03,1.320324,0.002635,1.992032e-03,1.320324,0.002635,1.992032e-03,1.320324,0.002635,1.992032e-03,1.320324,0.002635,1.992032e-03,1.322959,0.000000,0.000000e+00,1.322959,0.000000,0.000000e+00,1.322959,0.000000,0.000000e+00
1198,599,1.322535,1.320324,0.002212,1.672241e-03,1.320324,0.002212,1.672241e-03,1.320324,0.002212,1.672241e-03,1.320324,0.002212,1.672241e-03,1.320324,0.002212,1.672241e-03,1.322535,0.000000,0.000000e+00,1.322535,0.000000,0.000000e+00,1.322535,0.000000,0.000000e+00
