anchor_log10,x,Q,N_h,sigma_HL_Q,mean_abs,median_abs,ks_D_eff,ks_p_eff
9,1000000000,30,26,40893.115303,22882.478205,2654.844257,0.486698,0.000004
9,1000000000,50,26,29034.977928,15079.323265,1595.786892,0.542531,0.000000
9,1000000000,100,26,24356.079945,10805.166649,1569.311486,0.605509,0.000000
9,1000000000,200,26,3663.256097,1970.163406,1205.901652,0.470805,0.000010
9,1000000000,500,26,1802.579175,1157.039792,802.155743,0.260621,0.047943
9,1000000000,1000,26,1195.037429,910.536087,599.887963,0.154141,0.531519
9,1000000000,2000,26,1206.900882,918.913362,599.887963,0.157617,0.502471
9,1000000000,5000,26,1178.307424,879.071426,582.618502,0.187598,0.288529
9,1000000000,inf,26,1178.307424,879.071426,582.618502,0.187598,0.288529
9,1154781985,30,26,46556.086177,26079.894510,3826.378392,0.472958,0.000009
9,1154781985,50,26,33148.478820,17207.074143,2846.243216,0.523488,0.000001
9,1154781985,100,26,27854.506738,12324.657244,1984.378392,0.583046,0.000000
9,1154781985,200,26,4172.768923,2226.187601,970.621608,0.372397,0.000984
9,1154781985,500,26,2107.733658,1332.200282,670.205934,0.288966,0.020376
9,1154781985,1000,26,1368.285132,994.875458,668.555428,0.213360,0.164006
9,1154781985,2000,26,1362.941263,991.104758,668.555428,0.212699,0.166558
9,1154781985,5000,26,1323.370657,936.534607,575.508426,0.246104,0.071811
9,1154781985,inf,26,1323.370657,936.534607,575.508426,0.246104,0.071811
9,1333521432,30,26,52562.319698,29433.439329,4524.498971,0.469865,0.000011
9,1333521432,50,26,37327.180255,19383.545373,2858.002058,0.518908,0.000001
9,1333521432,100,26,31318.177536,13906.243462,2616.663922,0.579093,0.000000
9,1333521432,200,26,4648.493439,2568.700629,1278.501029,0.373449,0.000942
9,1333521432,500,26,2255.937847,1568.760819,848.817756,0.245186,0.073613
9,1333521432,1000,26,1549.393536,1255.095808,848.817756,0.122264,0.806207
9,1333521432,2000,26,1466.712723,1198.486060,848.817756,0.128804,0.752330
9,1333521432,5000,26,1406.466849,1120.404670,821.667745,0.124011,0.792179
9,1333521432,inf,26,1406.466849,1120.404670,821.667745,0.124011,0.792179
9,1539926526,30,26,59740.625642,33627.069046,6373.702129,0.464996,0.000014
9,1539926526,50,26,42333.515878,22162.777839,3604.702129,0.503283,0.000002
9,1539926526,100,26,35465.221985,15949.944624,3132.595742,0.565998,0.000000
9,1539926526,200,26,5458.593152,3146.096385,1750.338065,0.319653,0.007305
9,1539926526,500,26,2841.932170,1981.543915,1392.613428,0.185946,0.298378
9,1539926526,1000,26,1894.236447,1509.632003,1326.411399,0.083682,0.990643
9,1539926526,2000,26,1745.266239,1401.496994,1195.013536,0.076740,0.996966
9,1539926526,5000,26,1609.712183,1304.449532,1114.854492,0.100820,0.942868
9,1539926526,inf,26,1609.712183,1304.449532,1114.854492,0.100820,0.942868
9,1778279410,30,26,68140.670214,38370.913274,8133.235691,0.451932,0.000027
9,1778279410,50,26,48239.124714,25255.520787,4205.235691,0.506248,0.000002
9,1778279410,100,26,40557.286747,18273.140712,2639.235691,0.569830,0.000000
9,1778279410,200,26,6260.839539,3581.390162,1775.758492,0.439357,0.000050
9,1778279410,500,26,3240.995946,2166.245290,1609.998139,0.256728,0.053551
9,1778279410,1000,26,1859.204777,1510.851238,1536.280729,0.116743,0.848280
9,1778279410,2000,26,1692.120850,1406.885731,1502.132496,0.161105,0.474043
9,1778279410,5000,26,1611.662014,1314.337746,1493.765589,0.145995,0.601820
9,1778279410,inf,26,1611.662014,1314.337746,1493.765589,0.145995,0.601820
