anchor_log10,x,h,max_p_h,S_inf,pi_h,li2_x,sqrt_x,sigma_pred_pois,S_30,r_30,S_50,r_50,S_100,r_100,S_200,r_200,S_500,r_500,S_1000,r_1000,S_2000,r_2000,S_5000,r_5000,r_inf
9,1000000000,2,0,1.320324,3424506,2594294.363534,31622.776602,1850.758805,1.320324,-802.155743,1.320324,-802.155743,1.320324,-802.155743,1.320324,-802.155743,1.320324,-802.155743,1.320324,-802.155743,1.320324,-802.155743,1.320324,-802.155743,-802.155743
9,1000000000,6,3,2.640647,6849047,2594294.363534,31622.776602,2617.368203,2.640647,-1569.311486,2.640647,-1569.311486,2.640647,-1569.311486,2.640647,-1569.311486,2.640647,-1569.311486,2.640647,-1569.311486,2.640647,-1569.311486,2.640647,-1569.311486,-1569.311486
9,1000000000,14,7,1.584388,4108774,2594294.363534,31622.776602,2027.404692,1.584388,-1595.786892,1.584388,-1595.786892,1.584388,-1595.786892,1.584388,-1595.786892,1.584388,-1595.786892,1.584388,-1595.786892,1.584388,-1595.786892,1.584388,-1595.786892,-1595.786892
9,1000000000,22,11,1.467026,3805634,2594294.363534,31622.776602,1950.871075,1.467026,-263.950826,1.467026,-263.950826,1.467026,-263.950826,1.467026,-263.950826,1.467026,-263.950826,1.467026,-263.950826,1.467026,-263.950826,1.467026,-263.950826,-263.950826
9,1000000000,30,5,3.520863,9136632,2594294.363534,31622.776602,3022.276473,3.520863,2476.918018,3.520863,2476.918018,3.520863,2476.918018,3.520863,2476.918018,3.520863,2476.918018,3.520863,2476.918018,3.520863,2476.918018,3.520863,2476.918018,2476.918018
9,1000000000,38,19,1.397990,3626799,2594294.363534,31622.776602,1904.415099,1.397990,2.129213,1.397990,2.129213,1.397990,2.129213,1.397990,2.129213,1.397990,2.129213,1.397990,2.129213,1.397990,2.129213,1.397990,2.129213,2.129213
9,1000000000,42,7,3.168777,8219545,2594294.363534,31622.776602,2867.183212,3.168777,-1194.573784,3.168777,-1194.573784,3.168777,-1194.573784,3.168777,-1194.573784,3.168777,-1194.573784,3.168777,-1194.573784,3.168777,-1194.573784,3.168777,-1194.573784,-1194.573784
9,1000000000,46,23,1.383196,3588496,2594294.363534,31622.776602,1894.312030,1.383196,77.932079,1.383196,77.932079,1.383196,77.932079,1.383196,77.932079,1.383196,77.932079,1.383196,77.932079,1.383196,77.932079,1.383196,77.932079,77.932079
9,1000000000,58,29,1.369225,3552455,2594294.363534,31622.776602,1884.720515,1.369225,283.579229,1.369225,283.579229,1.369225,283.579229,1.369225,283.579229,1.369225,283.579229,1.369225,283.579229,1.369225,283.579229,1.369225,283.579229,283.579229
9,1000000000,62,31,1.365852,3541892,2594294.363534,31622.776602,1882.398000,1.320324,116583.844257,1.365852,-1530.230079,1.365852,-1530.230079,1.365852,-1530.230079,1.365852,-1530.230079,1.365852,-1530.230079,1.365852,-1530.230079,1.365852,-1530.230079,-1530.230079
9,1000000000,78,13,2.880706,7472910,2594294.363534,31622.776602,2733.751930,2.880706,-489.612531,2.880706,-489.612531,2.880706,-489.612531,2.880706,-489.612531,2.880706,-489.612531,2.880706,-489.612531,2.880706,-489.612531,2.880706,-489.612531,-489.612531
