q,phi_q,K,x,t_setup_q_seconds,t_setup_per_chi,t_per_chi_eval,t_orthogonality,t_full_per_x,t_total_one_query,setup_per_chi_per_K,eval_per_K
101,100,50,1000000.0,0.01307225227355957,0.0001307225227355957,1.8835067749023438e-05,3.814697265625e-06,0.0018873214721679688,0.014959573745727539,2.614450454711914e-06,3.7670135498046877e-07
101,100,50,100000000.0,0.01307225227355957,0.0001307225227355957,1.8835067749023438e-05,3.814697265625e-06,0.0018873214721679688,0.014959573745727539,2.614450454711914e-06,3.7670135498046877e-07
101,100,200,1000000.0,0.016073942184448242,0.00016073942184448243,2.2530555725097656e-05,3.814697265625e-06,0.0022568702697753906,0.018330812454223633,8.036971092224121e-07,1.1265277862548828e-07
101,100,200,100000000.0,0.016073942184448242,0.00016073942184448243,2.2530555725097656e-05,3.814697265625e-06,0.0022568702697753906,0.018330812454223633,8.036971092224121e-07,1.1265277862548828e-07
101,100,800,1000000.0,0.025889873504638672,0.00025889873504638674,4.4465065002441406e-05,3.337860107421875e-06,0.0044498443603515625,0.030339717864990234,3.236234188079834e-07,5.558133125305176e-08
101,100,800,100000000.0,0.025889873504638672,0.00025889873504638674,4.4465065002441406e-05,3.337860107421875e-06,0.0044498443603515625,0.030339717864990234,3.236234188079834e-07,5.558133125305176e-08
1009,1008,50,1000000.0,0.13727951049804688,0.0001361899905734592,1.6808509826660156e-05,8.106231689453125e-06,0.01695108413696289,0.15423059463500977,2.723799811469184e-06,3.361701965332031e-07
1009,1008,50,100000000.0,0.13727951049804688,0.0001361899905734592,1.6808509826660156e-05,8.106231689453125e-06,0.01695108413696289,0.15423059463500977,2.723799811469184e-06,3.361701965332031e-07
1009,1008,200,1000000.0,0.14701008796691895,0.00014584334123702276,4.1961669921875e-05,8.58306884765625e-06,0.042305946350097656,0.1893160343170166,7.292167061851138e-07,2.09808349609375e-07
1009,1008,200,100000000.0,0.14701008796691895,0.00014584334123702276,4.1961669921875e-05,8.58306884765625e-06,0.042305946350097656,0.1893160343170166,7.292167061851138e-07,2.09808349609375e-07
1009,1008,800,1000000.0,0.2811295986175537,0.0002788984113269382,4.470348358154297e-05,9.059906005859375e-06,0.04507017135620117,0.3261997699737549,3.4862301415867276e-07,5.587935447692871e-08
1009,1008,800,100000000.0,0.2811295986175537,0.0002788984113269382,4.470348358154297e-05,9.059906005859375e-06,0.04507017135620117,0.3261997699737549,3.4862301415867276e-07,5.587935447692871e-08
10007,10006,50,1000000.0,1.3804724216461182,0.0001379644634865199,2.205371856689453e-05,0.0003211498260498047,0.22099065780639648,1.6014630794525146,2.759289269730398e-06,4.4107437133789065e-07
10007,10006,50,100000000.0,1.3804724216461182,0.0001379644634865199,2.205371856689453e-05,0.0003211498260498047,0.22099065780639648,1.6014630794525146,2.759289269730398e-06,4.4107437133789065e-07
10007,10006,200,1000000.0,1.637458086013794,0.00016364762002936178,2.6702880859375e-05,0.0003361701965332031,0.26752519607543945,1.9049832820892334,8.182381001468089e-07,1.33514404296875e-07
10007,10006,200,100000000.0,1.637458086013794,0.00016364762002936178,2.6702880859375e-05,0.0003361701965332031,0.26752519607543945,1.9049832820892334,8.182381001468089e-07,1.33514404296875e-07
10007,10006,800,1000000.0,2.1588327884674072,0.00021575382655081022,3.7670135498046875e-05,0.0006878376007080078,0.37761521339416504,2.5364480018615723,2.696922831885128e-07,4.7087669372558596e-08
10007,10006,800,100000000.0,2.1588327884674072,0.00021575382655081022,3.7670135498046875e-05,0.0006878376007080078,0.37761521339416504,2.5364480018615723,2.696922831885128e-07,4.7087669372558596e-08
