q,a,x,pi_q_a,expected,ratio
7,1,10000,203,204.83333333333334,0.9910496338486574
7,1,100000,1593,1598.6666666666667,0.9964553794829024
7,2,10000,203,204.83333333333334,0.9910496338486574
7,2,100000,1584,1598.6666666666667,0.9908256880733944
7,3,10000,209,204.83333333333334,1.020341741253051
7,3,100000,1613,1598.6666666666667,1.0089658048373644
11,1,10000,125,122.9,1.017087062652563
11,1,100000,945,959.2,0.9851959966638866
11,2,10000,120,122.9,0.9764035801464604
11,2,100000,957,959.2,0.9977064220183486
11,3,10000,122,122.9,0.9926769731489015
11,3,100000,963,959.2,1.0039616346955795
31,1,10000,38,40.96666666666667,0.9275834011391375
31,1,100000,320,319.73333333333335,1.0008340283569641
31,2,10000,45,40.96666666666667,1.098454027664768
31,2,100000,322,319.73333333333335,1.0070892410341952
31,3,10000,42,40.96666666666667,1.0252237591537836
31,3,100000,317,319.73333333333335,0.9914512093411175
