h,K_star_p20,K_star_p50,K_star_p80,K_tail_pred,pred_bias_sigma,emp_bias_rms,pred_tail_sigma,emp_total_rms,pred_total_sigma
0.0,34,1783,-1,-1,0.0,0.0,1.3345352169914206,1.0398005138254476,1.3345352169914206
1e-06,34,1783,-1,-1,1.7057111508383615e-06,0.0,1.3345352169914206,1.039801054625263,1.3345352169925107
0.0001,34,1782,-1,-1,0.016892748851265946,0.0,1.3345352169914206,1.045276494061124,1.334642128195454
0.0003,34,1782,-1,-1,0.14104777763201093,0.0,1.3345352169914206,1.0925713595941677,1.3419682265110704
0.0005,34,-1,-1,-1,0.3413984324730394,0.0,1.3345352169914206,1.1918275104955074,1.3775112105116918
0.001,11,377,-1,-1,0.8460702533185793,0.7189995759750644,1.3345352169914206,1.515897303791606,1.5801326270098037
0.002,34,-1,-1,-1,1.447870708064997,1.3458094434137045,1.3345352169914206,1.89530665154002,1.9690895948795661
0.005,-1,-1,-1,-1,2.3564383950168315,2.3315888710526345,1.3345352169914206,2.6865016115771896,2.7080964079773526
0.01,-1,-1,-1,-1,3.1954489040655742,3.053218937141577,1.3345352169914206,3.3321359701414166,3.4629290988820745
0.03,-1,-1,-1,-1,4.838610309924962,4.180703161781241,1.3345352169914206,4.388537703189755,5.019276240326136
0.1,-1,-1,-1,-1,6.8036197103746305,6.006286980855559,1.3345352169914206,6.152760969011012,6.93326946027547
