n,query_idx,midpoint,pi_at_mid,ops_small,ops_large,ops_total,time_s
100,0,563,103,35,89,124,0.000029
100,1,538,99,35,87,122,0.000021
100,2,551,101,35,89,124,0.000019
100,3,545,100,35,88,123,0.000017
100,4,542,100,35,88,123,0.000016
100,5,540,99,35,88,123,0.000016
100,6,541,100,35,88,123,0.000016
1000,0,8340,1045,281,593,874,0.000104
1000,1,8090,1017,273,578,851,0.000093
1000,2,7965,1006,273,577,850,0.000092
1000,3,7902,998,269,569,838,0.000089
1000,4,7934,1002,273,574,847,0.000094
1000,5,7918,999,269,569,838,0.000088
1000,6,7926,1000,273,574,847,0.000115
1000,7,7922,1000,273,574,847,0.000091
1000,8,7920,1000,269,569,838,0.000091
1000,9,7919,1000,269,569,838,0.000091
10000,0,109306,10391,1651,3660,5311,0.000667
10000,1,106806,10181,1623,3604,5227,0.000597
10000,2,105556,10071,1609,3573,5182,0.000600
10000,3,104931,10017,1602,3560,5162,0.000586
10000,4,104618,9986,1602,3556,5158,0.000596
10000,5,104775,10004,1602,3559,5161,0.000593
10000,6,104697,9994,1602,3557,5159,0.000583
10000,7,104736,10000,1602,3557,5159,0.000597
10000,8,104717,9998,1602,3557,5159,0.000584
10000,9,104727,9999,1602,3557,5159,0.000598
10000,10,104732,10000,1602,3557,5159,0.000595
10000,11,104730,10000,1602,3557,5159,0.000584
10000,12,104729,10000,1602,3557,5159,0.000593
10000,13,104728,9999,1602,3557,5159,0.000609
100000,0,1345639,103256,9413,20868,30281,0.003949
100000,1,1320639,101474,9292,20599,29891,0.003907
100000,2,1308139,100595,9226,20455,29681,0.003809
100000,3,1301889,100158,9204,20389,29593,0.003878
100000,4,1298764,99931,9182,20351,29533,0.003730
100000,5,1300327,100046,9193,20370,29563,0.003747
100000,6,1299546,99990,9182,20355,29537,0.003734
100000,7,1299937,100017,9193,20368,29561,0.003839
100000,8,1299742,100001,9193,20367,29560,0.003746
100000,9,1299644,99995,9193,20366,29559,0.003838
100000,10,1299693,99999,9193,20367,29560,0.003768
100000,11,1299718,100000,9193,20367,29560,0.003837
100000,12,1299706,99999,9193,20367,29560,0.003750
100000,13,1299712,100000,9193,20367,29560,0.003797
100000,14,1299709,100000,9193,20367,29560,0.003724
100000,15,1299708,99999,9193,20367,29560,0.003753
1000000,0,15941302,1027597,51397,118457,169854,0.023387
1000000,1,15691302,1012495,50839,117160,167999,0.028077
1000000,2,15566302,1004930,50551,116506,167057,0.025384
1000000,3,15503802,1001104,50407,116176,166583,0.022220
1000000,4,15472552,999194,50335,116007,166342,0.022161
1000000,5,15488177,1000144,50371,116093,166464,0.022111
1000000,6,15480365,999679,50353,116054,166407,0.022257
1000000,7,15484271,999900,50371,116081,166452,0.024073
1000000,8,15486224,1000021,50371,116089,166460,0.022281
1000000,9,15485248,999949,50371,116085,166456,0.022365
1000000,10,15485736,999988,50371,116087,166458,0.022312
1000000,11,15485980,1000006,50371,116088,166459,0.022250
1000000,12,15485858,999999,50371,116087,166458,0.022127
1000000,13,15485919,1000002,50371,116087,166458,0.022407
1000000,14,15485889,1000001,50371,116087,166458,0.023241
1000000,15,15485874,1000001,50371,116087,166458,0.022716
1000000,16,15485866,1000000,50371,116087,166458,0.022098
1000000,17,15485862,999999,50371,116087,166458,0.022297
1000000,18,15485864,1000000,50371,116087,166458,0.022942
1000000,19,15485863,1000000,50371,116087,166458,0.022313
