x,K,M,M_policy,T_setup_cached_s,Hiary_K_pow_17_13_ops,T_per_x_eval_s,T_per_x_amortised_cached_s,T_per_x_amortised_hiary_s,amortisation_savings_pct
1000000.0,191,1,M=1,0.00020122528076171875,961.3682784510391,0.23667597770690918,0.2368772029876709,0.23667693907518764,0.08494919655572808
1000000.0,191,14,M=logx,0.00020122528076171875,961.3682784510391,0.21729697499956405,0.21731134823390416,0.2172970436687268,0.006614120457548722
1000000.0,191,191,M=log2x,0.00020122528076171875,961.3682784510391,0.20555107006851916,0.20555212360402053,0.20555107510186094,0.0005125393417904078
1000000.0,191,32,M=x_1_4,0.00020122528076171875,961.3682784510391,0.209389328956604,0.2093956172466278,0.2093893589993627,0.003003066686158018
1000000.0,200,1,M=1,0.0003540515899658203,1021.0316982362509,0.24496030807495117,0.245314359664917,0.24496132910664942,0.1443256686846306
1000000.0,200,14,M=logx,0.0003540515899658203,1021.0316982362509,0.19848477840423584,0.19851006780351912,0.19848485133507143,0.012739605382794394
1000000.0,200,191,M=log2x,0.0003540515899658203,1021.0316982362509,0.21219770072018287,0.21219955439342877,0.21219770606589858,0.0008735519031577432
1000000.0,200,32,M=x_1_4,0.0003540515899658203,1021.0316982362509,0.23311378806829453,0.23312485218048096,0.2331138199755351,0.004746002874833621
1000000.0,200,1,M=1,0.0003540515899658203,1021.0316982362509,0.243621826171875,0.24397587776184082,0.24362284720357325,0.14511745719034685
1000000.0,200,14,M=logx,0.0003540515899658203,1021.0316982362509,0.2239793028150286,0.22400459221431188,0.22397937574586418,0.011289678945103354
1000000.0,200,191,M=log2x,0.0003540515899658203,1021.0316982362509,0.19791626930236816,0.19791812297561406,0.19791627464808387,0.0009365859063525939
1000000.0,200,32,M=x_1_4,0.0003540515899658203,1021.0316982362509,0.20850685238838196,0.2085179165005684,0.20850688429562253,0.005306072673327833
1000000.0,32,1,M=1,0.00010347366333007812,92.9550627913168,0.09000158309936523,0.09010505676269531,0.09000167605442802,0.11483668846976602
1000000.0,32,14,M=logx,0.00010347366333007812,92.9550627913168,0.07677185535430908,0.07677924633026123,0.07677186199395643,0.0096262679114556
1000000.0,32,191,M=log2x,0.00010347366333007812,92.9550627913168,0.08252765870219125,0.08252820044911968,0.08252765918886698,0.0006564385573448739
1000000.0,32,32,M=x_1_4,0.00010347366333007812,92.9550627913168,0.09227412194013596,0.09227735549211502,0.09227412484498167,0.003504166284151733
1000000.0,200,1,M=1,0.00018906593322753906,1021.0316982362509,0.24496030807495117,0.2451493740081787,0.24496132910664942,0.07712274770941274
1000000.0,200,14,M=logx,0.00018906593322753906,1021.0316982362509,0.19848477840423584,0.1984982831137521,0.19848485133507143,0.006803438953928431
1000000.0,200,191,M=log2x,0.00018906593322753906,1021.0316982362509,0.21219770072018287,0.21219869059417884,0.21219770606589858,0.0004664844977075866
1000000.0,200,32,M=x_1_4,0.00018906593322753906,1021.0316982362509,0.23311378806829453,0.23311969637870789,0.2331138199755351,0.0025344535468874163
1000000.0,200,1,M=1,0.00018906593322753906,1021.0316982362509,0.243621826171875,0.24381089210510254,0.24362284720357325,0.07754613897480445
1000000.0,200,14,M=logx,0.00018906593322753906,1021.0316982362509,0.2239793028150286,0.22399280752454484,0.22397937574586418,0.006029081766278921
1000000.0,200,191,M=log2x,0.00018906593322753906,1021.0316982362509,0.19791626930236816,0.19791725917636413,0.19791627464808387,0.0005001453638131537
1000000.0,200,32,M=x_1_4,0.00018906593322753906,1021.0316982362509,0.20850685238838196,0.20851276069879532,0.20850688429562253,0.0028335486008446154
