x,K,K_policy,M,M_policy,cluster_mode,T_total_s,T_per_x_s,T_per_zero_x_s
1000000.0,191,log2x,1,M=1,integer,0.23667597770690918,0.23667597770690918,0.0012391412445387916
1000000.0,191,log2x,14,M=logx,integer,3.0421576499938965,0.21729697499956405,0.0011376804973799164
1000000.0,191,log2x,191,M=log2x,integer,39.26025438308716,0.20555107006851916,0.0010761836129241842
1000000.0,191,log2x,32,M=x_1_4,integer,6.700458526611328,0.209389328956604,0.0010962792091968796
1000000.0,200,log3x,1,M=1,integer,0.24496030807495117,0.24496030807495117,0.0012248015403747558
1000000.0,200,log3x,14,M=logx,integer,2.7787868976593018,0.19848477840423584,0.0009924238920211792
1000000.0,200,log3x,191,M=log2x,integer,40.52976083755493,0.21219770072018287,0.0010609885036009143
1000000.0,200,log3x,32,M=x_1_4,integer,7.459641218185425,0.23311378806829453,0.0011655689403414727
1000000.0,32,x_1_4,1,M=1,integer,0.09000158309936523,0.09000158309936523,0.0028125494718551636
1000000.0,32,x_1_4,14,M=logx,integer,1.0748059749603271,0.07677185535430908,0.002399120479822159
1000000.0,32,x_1_4,191,M=log2x,integer,15.76278281211853,0.08252765870219125,0.0025789893344434767
1000000.0,32,x_1_4,32,M=x_1_4,integer,2.9527719020843506,0.09227412194013596,0.0028835663106292486
1000000.0,200,x_1_2,1,M=1,integer,0.243621826171875,0.243621826171875,0.001218109130859375
1000000.0,200,x_1_2,14,M=logx,integer,3.1357102394104004,0.2239793028150286,0.001119896514075143
1000000.0,200,x_1_2,191,M=log2x,integer,37.80200743675232,0.19791626930236816,0.0009895813465118407
1000000.0,200,x_1_2,32,M=x_1_4,integer,6.672219276428223,0.20850685238838196,0.0010425342619419097
