distribution,M,x_max,T_setup_s,T_per_x_total_s,T_amortised_s,T_amortised_ms
uncorrelated,1,1000000,0.000165,0.002184,0.002349,2.3486
uncorrelated,4,1000000,0.000165,0.008036,0.002050,2.0501
uncorrelated,16,1000000,0.000165,0.032558,0.002045,2.0452
uncorrelated,64,1000000,0.000165,0.129226,0.002022,2.0217
correlated_w=M,1,1000000,0.000165,0.002535,0.002700,2.6995
correlated_w=M,4,1000000,0.000165,0.002608,0.000693,0.6933
correlated_w=M,16,1000000,0.000165,0.002740,0.000182,0.1815
correlated_w=M,64,1000000,0.000165,0.004349,0.000071,0.0705
correlated_w=log2x,4,1000000,0.000165,0.003014,0.000795,0.7946
correlated_w=log2x,16,1000000,0.000165,0.003811,0.000248,0.2485
correlated_w=log2x,64,1000000,0.000165,0.008443,0.000134,0.1345
