x_anchor,M,cluster_width_w,T_anchor_s,T_sieve_s,T_total_s,T_amort_per_x_s
1000000,4,190,0.0025,0.0006,0.0031,0.000786
1000000,16,190,0.0025,0.0011,0.0036,0.000227
1000000,64,190,0.0025,0.0052,0.0077,0.000121
1000000,4,2636,0.0026,0.0038,0.0065,0.001620
1000000,16,2636,0.0025,0.0144,0.0170,0.001061
1000000,64,2636,0.0026,0.0731,0.0757,0.001183
1000000,4,31,0.0026,0.0001,0.0027,0.000664
1000000,16,31,0.0026,0.0002,0.0029,0.000179
1000000,32,31,0.0025,0.0005,0.0030,0.000094
1000000,4,99,0.0026,0.0003,0.0029,0.000720
1000000,16,99,0.0025,0.0006,0.0031,0.000193
1000000,64,99,0.0026,0.0029,0.0055,0.000085
