log10_x_anchor,x,eps,K_emp,K_typ,K_pred_half_gauss,K_galway_c1,c_emp,sigma_at_K_emp
4.00,10000.0,1.0,1500,2,2483,8483,0.176823,0.461448
4.00,10000.0,3.0,20,1,93,8483,0.00235765,1.637
4.00,10000.0,10.0,1,1,2,8483,0.000117882,inf
4.00,10000.0,30.0,1,1,2,8483,0.000117882,inf
4.00,10000.0,100.0,1,1,2,8483,0.000117882,inf
4.50,31622.776601683792,1.0,4000,10,8256,19092,0.209509,0.506575
4.50,31622.776601683792,3.0,50,1,408,19092,0.00261887,2.13709
4.50,31622.776601683792,10.0,1,1,2,19092,5.23774e-05,inf
4.50,31622.776601683792,30.0,1,1,2,19092,5.23774e-05,inf
4.50,31622.776601683792,100.0,1,1,2,19092,5.23774e-05,inf
5.00,100000.0,1.0,8001,1000,27086,41915,nan,nan
5.00,100000.0,3.0,700,1,1563,41915,0.0167004,1.53078
5.00,100000.0,10.0,1,1,31,41915,2.38577e-05,inf
5.00,100000.0,30.0,1,1,2,41915,2.38577e-05,inf
5.00,100000.0,100.0,1,1,2,41915,2.38577e-05,inf
