log10_x_anchor,x,pi_x,K,abs_err
4.0,10331,1267,1,2.869598
4.0,10331,1267,2,2.341835
4.0,10331,1267,5,0.761452
4.0,10331,1267,10,1.435214
4.0,10331,1267,20,1.774229
4.0,10331,1267,50,0.804392
4.0,10331,1267,100,0.189318
4.0,10331,1267,200,0.303986
4.0,10331,1267,300,0.358269
4.0,10331,1267,500,0.093047
4.0,10331,1267,700,0.237045
4.0,10331,1267,1000,0.272671
4.0,10331,1267,1500,0.215993
4.0,10331,1267,2000,0.011212
4.0,10331,1267,3000,0.104228
4.0,10331,1267,4000,0.290131
4.0,10331,1267,5000,0.220342
4.0,10331,1267,6000,0.464164
4.0,10331,1267,7000,0.432105
4.0,10331,1267,8000,0.414864
4.0,10604,1293,1,0.189451
4.0,10604,1293,2,0.126973
4.0,10604,1293,5,1.667791
4.0,10604,1293,10,1.544465
4.0,10604,1293,20,1.686270
4.0,10604,1293,50,0.659543
4.0,10604,1293,100,0.745194
4.0,10604,1293,200,0.012489
4.0,10604,1293,300,0.101566
4.0,10604,1293,500,0.290829
4.0,10604,1293,700,0.007965
4.0,10604,1293,1000,0.137231
4.0,10604,1293,1500,0.106308
4.0,10604,1293,2000,0.135619
4.0,10604,1293,3000,0.143890
4.0,10604,1293,4000,0.105358
4.0,10604,1293,5000,0.068999
4.0,10604,1293,6000,0.076380
4.0,10604,1293,7000,0.056270
4.0,10604,1293,8000,0.019465
4.0,10776,1312,1,0.629925
4.0,10776,1312,2,1.059373
4.0,10776,1312,5,0.056856
4.0,10776,1312,10,0.331379
4.0,10776,1312,20,0.286765
4.0,10776,1312,50,0.439544
4.0,10776,1312,100,0.093004
4.0,10776,1312,200,0.059605
4.0,10776,1312,300,0.382121
4.0,10776,1312,500,0.551213
4.0,10776,1312,700,0.302575
4.0,10776,1312,1000,0.010905
4.0,10776,1312,1500,0.013198
4.0,10776,1312,2000,0.063923
4.0,10776,1312,3000,0.054487
4.0,10776,1312,4000,0.091368
4.0,10776,1312,5000,0.090808
4.0,10776,1312,6000,0.079010
4.0,10776,1312,7000,0.022553
4.0,10776,1312,8000,0.030853
4.0,10809,1315,1,0.151509
4.0,10809,1315,2,0.646621
4.0,10809,1315,5,0.357752
4.0,10809,1315,10,0.694278
4.0,10809,1315,20,0.581395
4.0,10809,1315,50,0.229364
4.0,10809,1315,100,0.407377
4.0,10809,1315,200,0.367842
4.0,10809,1315,300,0.397869
4.0,10809,1315,500,0.397965
4.0,10809,1315,700,0.214734
4.0,10809,1315,1000,0.002519
4.0,10809,1315,1500,0.031427
4.0,10809,1315,2000,0.216822
4.0,10809,1315,3000,0.096137
4.0,10809,1315,4000,0.090731
4.0,10809,1315,5000,0.055980
4.0,10809,1315,6000,0.031811
4.0,10809,1315,7000,0.037035
4.0,10809,1315,8000,0.061111
4.0,10824,1315,1,1.428638
4.0,10824,1315,2,0.904373
4.0,10824,1315,5,1.855147
4.0,10824,1315,10,2.217664
4.0,10824,1315,20,2.073602
4.0,10824,1315,50,1.889118
4.0,10824,1315,100,1.888032
4.0,10824,1315,200,0.998777
4.0,10824,1315,300,0.740899
4.0,10824,1315,500,0.516788
4.0,10824,1315,700,0.440647
4.0,10824,1315,1000,0.175201
4.0,10824,1315,1500,0.212116
4.0,10824,1315,2000,0.036544
4.0,10824,1315,3000,0.044613
4.0,10824,1315,4000,0.002050
4.0,10824,1315,5000,0.012734
4.0,10824,1315,6000,0.011868
4.0,10824,1315,7000,0.056981
4.0,10824,1315,8000,0.022216
4.0,11140,1349,1,0.600175
4.0,11140,1349,2,0.400635
4.0,11140,1349,5,0.819935
4.0,11140,1349,10,0.282778
4.0,11140,1349,20,0.368321
4.0,11140,1349,50,0.790839
4.0,11140,1349,100,0.028084
4.0,11140,1349,200,0.428712
4.0,11140,1349,300,0.614141
4.0,11140,1349,500,0.046784
4.0,11140,1349,700,0.115370
4.0,11140,1349,1000,0.079179
4.0,11140,1349,1500,0.212895
4.0,11140,1349,2000,0.023699
4.0,11140,1349,3000,0.077234
4.0,11140,1349,4000,0.113385
4.0,11140,1349,5000,0.032921
4.0,11140,1349,6000,0.081118
4.0,11140,1349,7000,0.058070
4.0,11140,1349,8000,0.054048
4.0,11144,1349,1,1.018882
4.0,11144,1349,2,0.014058
4.0,11144,1349,5,0.423529
4.0,11144,1349,10,0.111452
4.0,11144,1349,20,0.038836
4.0,11144,1349,50,0.385977
4.0,11144,1349,100,0.447147
4.0,11144,1349,200,0.871169
4.0,11144,1349,300,1.124306
4.0,11144,1349,500,0.421081
4.0,11144,1349,700,0.312114
4.0,11144,1349,1000,0.221170
4.0,11144,1349,1500,0.247339
4.0,11144,1349,2000,0.128567
4.0,11144,1349,3000,0.133190
4.0,11144,1349,4000,0.140080
4.0,11144,1349,5000,0.060977
4.0,11144,1349,6000,0.102086
4.0,11144,1349,7000,0.020421
4.0,11144,1349,8000,0.022793
4.0,11203,1356,1,0.192170
4.0,11203,1356,2,0.865182
4.0,11203,1356,5,1.568356
4.0,11203,1356,10,1.075360
4.0,11203,1356,20,0.933079
4.0,11203,1356,50,1.188743
4.0,11203,1356,100,0.441986
4.0,11203,1356,200,0.482600
4.0,11203,1356,300,0.492024
4.0,11203,1356,500,0.004677
4.0,11203,1356,700,0.102689
4.0,11203,1356,1000,0.097704
4.0,11203,1356,1500,0.043147
4.0,11203,1356,2000,0.190416
4.0,11203,1356,3000,0.025492
4.0,11203,1356,4000,0.034813
4.0,11203,1356,5000,0.153365
4.0,11203,1356,6000,0.132068
4.0,11203,1356,7000,0.237045
4.0,11203,1356,8000,0.105488
4.0,11789,1413,1,4.370633
4.0,11789,1413,2,3.479817
4.0,11789,1413,5,1.523274
4.0,11789,1413,10,1.334339
4.0,11789,1413,20,1.202394
4.0,11789,1413,50,0.022613
4.0,11789,1413,100,0.485176
4.0,11789,1413,200,0.297069
4.0,11789,1413,300,0.411767
4.0,11789,1413,500,1.268318
4.0,11789,1413,700,1.309007
4.0,11789,1413,1000,1.036366
4.0,11789,1413,1500,0.637760
4.0,11789,1413,2000,0.694338
4.0,11789,1413,3000,0.351980
4.0,11789,1413,4000,0.282568
4.0,11789,1413,5000,0.307296
4.0,11789,1413,6000,0.439931
4.0,11789,1413,7000,0.428065
4.0,11789,1413,8000,0.466236
4.0,12052,1444,1,0.842704
4.0,12052,1444,2,0.354730
4.0,12052,1444,5,0.996303
4.0,12052,1444,10,1.335578
4.0,12052,1444,20,2.323090
4.0,12052,1444,50,0.637518
4.0,12052,1444,100,0.677316
4.0,12052,1444,200,0.773959
4.0,12052,1444,300,1.278654
4.0,12052,1444,500,1.057611
4.0,12052,1444,700,0.876425
4.0,12052,1444,1000,0.486249
4.0,12052,1444,1500,0.695024
4.0,12052,1444,2000,0.201029
4.0,12052,1444,3000,0.049567
4.0,12052,1444,4000,0.008243
4.0,12052,1444,5000,0.141434
4.0,12052,1444,6000,0.079380
4.0,12052,1444,7000,0.015897
4.0,12052,1444,8000,0.030694
4.0,12121,1452,1,0.059527
4.0,12121,1452,2,0.304550
4.0,12121,1452,5,1.397171
4.0,12121,1452,10,1.762319
4.0,12121,1452,20,2.676158
4.0,12121,1452,50,1.446002
4.0,12121,1452,100,1.730871
4.0,12121,1452,200,1.576552
4.0,12121,1452,300,1.216201
4.0,12121,1452,500,1.389637
4.0,12121,1452,700,1.312580
4.0,12121,1452,1000,0.871789
4.0,12121,1452,1500,0.284043
4.0,12121,1452,2000,0.039312
4.0,12121,1452,3000,0.117297
4.0,12121,1452,4000,0.203673
4.0,12121,1452,5000,0.159087
4.0,12121,1452,6000,0.182475
4.0,12121,1452,7000,0.099515
4.0,12121,1452,8000,0.032265
4.0,12308,1471,1,0.643596
4.0,12308,1471,2,0.629934
4.0,12308,1471,5,0.357650
4.0,12308,1471,10,0.058675
4.0,12308,1471,20,0.258540
4.0,12308,1471,50,1.063112
4.0,12308,1471,100,0.613486
4.0,12308,1471,200,0.573893
4.0,12308,1471,300,0.260105
4.0,12308,1471,500,0.114364
4.0,12308,1471,700,0.143926
4.0,12308,1471,1000,0.194714
4.0,12308,1471,1500,0.169810
4.0,12308,1471,2000,0.116808
4.0,12308,1471,3000,0.043946
4.0,12308,1471,4000,0.186908
4.0,12308,1471,5000,0.068984
4.0,12308,1471,6000,0.213724
4.0,12308,1471,7000,0.085710
4.0,12308,1471,8000,0.009862
4.0,12484,1489,1,1.113792
4.0,12484,1489,2,1.423539
4.0,12484,1489,5,1.965365
4.0,12484,1489,10,1.540672
