log10_x_anchor,x,pi_x,K,abs_err
5.0,102653,9829,250,1.406304
5.0,102653,9829,500,1.675436
5.0,102653,9829,750,1.878740
5.0,102653,9829,1000,0.822970
5.0,102653,9829,1500,0.394548
5.0,102653,9829,2000,0.084094
5.0,102653,9829,2500,0.200282
5.0,102653,9829,3000,0.108438
5.0,102653,9829,3500,0.179266
5.0,102653,9829,4000,0.193851
5.0,102653,9829,4500,0.278934
5.0,102653,9829,5000,0.487620
5.0,102653,9829,6000,0.559326
5.0,102653,9829,7000,0.785330
5.0,102653,9829,8000,1.004813
5.0,102653,9829,9000,0.965923
5.0,102653,9829,10000,1.033230
5.0,102653,9829,11000,1.140727
5.0,102653,9829,12000,1.186263
5.0,102653,9829,13000,1.225279
5.0,102653,9829,14000,1.273501
5.0,102653,9829,15000,1.225479
5.0,102653,9829,16000,1.069505
5.0,102653,9829,17000,1.223282
5.0,102653,9829,18000,1.090386
5.0,102653,9829,19000,0.955921
5.0,102653,9829,20000,0.981306
5.0,104832,10010,250,2.746887
5.0,104832,10010,500,2.025565
5.0,104832,10010,750,1.121019
5.0,104832,10010,1000,0.826492
5.0,104832,10010,1500,0.845806
5.0,104832,10010,2000,0.676937
5.0,104832,10010,2500,0.497953
5.0,104832,10010,3000,0.208013
5.0,104832,10010,3500,0.706603
5.0,104832,10010,4000,0.839827
5.0,104832,10010,4500,0.529508
5.0,104832,10010,5000,0.720017
5.0,104832,10010,6000,0.501545
5.0,104832,10010,7000,0.639738
5.0,104832,10010,8000,0.525248
5.0,104832,10010,9000,0.890236
5.0,104832,10010,10000,0.733534
5.0,104832,10010,11000,0.751030
5.0,104832,10010,12000,0.820479
5.0,104832,10010,13000,0.788396
5.0,104832,10010,14000,0.811723
5.0,104832,10010,15000,0.802461
5.0,104832,10010,16000,0.749043
5.0,104832,10010,17000,0.807308
5.0,104832,10010,18000,0.889032
5.0,104832,10010,19000,0.862414
5.0,104832,10010,20000,0.993864
5.0,106214,10122,250,1.765728
5.0,106214,10122,500,0.791859
5.0,106214,10122,750,1.061843
5.0,106214,10122,1000,0.498900
5.0,106214,10122,1500,0.622371
5.0,106214,10122,2000,0.888838
5.0,106214,10122,2500,0.578170
5.0,106214,10122,3000,0.628546
5.0,106214,10122,3500,0.456053
5.0,106214,10122,4000,0.407110
5.0,106214,10122,4500,0.570072
5.0,106214,10122,5000,0.624423
5.0,106214,10122,6000,0.308826
5.0,106214,10122,7000,0.324918
5.0,106214,10122,8000,0.168402
5.0,106214,10122,9000,0.230304
5.0,106214,10122,10000,0.230406
5.0,106214,10122,11000,0.086223
5.0,106214,10122,12000,0.172880
5.0,106214,10122,13000,0.255720
5.0,106214,10122,14000,0.026281
5.0,106214,10122,15000,0.030908
5.0,106214,10122,16000,0.047312
5.0,106214,10122,17000,0.124286
5.0,106214,10122,18000,0.022174
5.0,106214,10122,19000,0.071971
5.0,106214,10122,20000,0.000169
5.0,106472,10150,250,2.034423
5.0,106472,10150,500,2.455635
5.0,106472,10150,750,2.134791
5.0,106472,10150,1000,1.608653
5.0,106472,10150,1500,0.491273
5.0,106472,10150,2000,0.503964
5.0,106472,10150,2500,0.010935
5.0,106472,10150,3000,0.191004
5.0,106472,10150,3500,0.383001
5.0,106472,10150,4000,0.226133
5.0,106472,10150,4500,0.353583
5.0,106472,10150,5000,0.329330
5.0,106472,10150,6000,0.135177
5.0,106472,10150,7000,0.142440
5.0,106472,10150,8000,0.253419
5.0,106472,10150,9000,0.290051
5.0,106472,10150,10000,0.323372
5.0,106472,10150,11000,0.214117
5.0,106472,10150,12000,0.071977
