log10_x_anchor,x,eps,K_emp,K_typ,K_pred_half_gauss,K_galway_c1,c_emp,c_emp_T7_pred,sigma_at_K_emp
4.00,10000.0,1.0,1250,50,2483,8483,0.147353,0.178548,0.492889
4.00,10000.0,3.0,50,50,93,8483,0.00589412,0.00668746,1.352
4.10,12589.254117941662,1.0,1250,50,3162,10000,0.125,0.192882,0.539541
4.10,12589.254117941662,3.0,50,50,127,10000,0.00500001,0.00774702,1.47997
4.20,15848.93192461114,1.0,1250,50,4023,11774,0.106165,0.208425,0.590962
4.20,15848.93192461114,3.0,50,50,172,11774,0.00424659,0.00891104,1.62101
4.30,19952.62314968879,1.0,1750,50,5116,13847,0.126378,0.225368,0.573191
4.30,19952.62314968879,3.0,100,50,231,13847,0.00722157,0.0101759,1.47876
4.40,25118.864315095823,1.0,2250,50,6501,16268,0.138308,0.243766,0.572953
4.40,25118.864315095823,3.0,300,50,308,16268,0.018441,0.011549,1.1595
4.50,31622.776601683792,1.0,4750,150,8256,19092,0.248792,0.263781,0.474497
4.50,31622.776601683792,3.0,150,50,408,19092,0.0078566,0.0130357,1.58035
4.60,39810.71705534969,1.0,3750,100,10480,22384,0.167527,0.285591,0.569797
4.60,39810.71705534969,3.0,150,50,537,22384,0.00670107,0.0146338,1.73464
4.70,50118.72336272725,1.0,8001,50,13296,26220,nan,0.309331,nan
4.70,50118.72336272725,3.0,200,50,705,26220,0.00762786,0.0164018,1.74439
4.80,63095.7344480193,1.0,8001,200,16862,30684,nan,0.335216,nan
4.80,63095.7344480193,3.0,250,50,922,30684,0.00814753,0.0183293,1.78633
4.90,79432.82347242821,1.0,8001,600,21375,35878,nan,0.363423,nan
4.90,79432.82347242821,3.0,350,50,1202,35878,0.00975539,0.0204367,1.76049
