log10_x_anchor,x,pi_x,K,abs_err
4.0,10331,1267,50,0.804392
4.0,10331,1267,100,0.189318
4.0,10331,1267,150,0.436324
4.0,10331,1267,200,0.303986
4.0,10331,1267,250,0.477501
4.0,10331,1267,300,0.358269
4.0,10331,1267,350,0.441293
4.0,10331,1267,400,0.326887
4.0,10331,1267,450,0.172191
4.0,10331,1267,500,0.093047
4.0,10331,1267,600,0.154639
4.0,10331,1267,700,0.237045
4.0,10331,1267,800,0.381234
4.0,10331,1267,900,0.376506
4.0,10331,1267,1000,0.272671
4.0,10331,1267,1250,0.125490
4.0,10331,1267,1500,0.215993
4.0,10331,1267,1750,0.061118
4.0,10331,1267,2000,0.011212
4.0,10331,1267,2250,0.020128
4.0,10331,1267,2500,0.123663
4.0,10331,1267,2750,0.116165
4.0,10331,1267,3000,0.104228
4.0,10331,1267,3250,0.210449
4.0,10331,1267,3500,0.208150
4.0,10331,1267,3750,0.318280
4.0,10331,1267,4000,0.290131
4.0,10331,1267,4250,0.252260
4.0,10331,1267,4500,0.187922
4.0,10331,1267,4750,0.216079
4.0,10331,1267,5000,0.220342
4.0,10331,1267,5250,0.287052
4.0,10331,1267,5500,0.351121
4.0,10331,1267,5750,0.421134
4.0,10331,1267,6000,0.464164
4.0,10331,1267,6250,0.440181
4.0,10331,1267,6500,0.436098
4.0,10331,1267,6750,0.474574
4.0,10331,1267,7000,0.432105
4.0,10331,1267,7250,0.447078
4.0,10331,1267,7500,0.425457
4.0,10331,1267,7750,0.434647
4.0,10331,1267,8000,0.414864
4.0,10604,1293,50,0.659543
4.0,10604,1293,100,0.745194
4.0,10604,1293,150,0.502057
4.0,10604,1293,200,0.012489
4.0,10604,1293,250,0.121412
4.0,10604,1293,300,0.101566
4.0,10604,1293,350,0.129965
4.0,10604,1293,400,0.241785
4.0,10604,1293,450,0.348520
4.0,10604,1293,500,0.290829
4.0,10604,1293,600,0.325950
4.0,10604,1293,700,0.007965
4.0,10604,1293,800,0.097627
4.0,10604,1293,900,0.265916
4.0,10604,1293,1000,0.137231
4.0,10604,1293,1250,0.215536
4.0,10604,1293,1500,0.106308
4.0,10604,1293,1750,0.106519
4.0,10604,1293,2000,0.135619
4.0,10604,1293,2250,0.063320
4.0,10604,1293,2500,0.006193
4.0,10604,1293,2750,0.036495
4.0,10604,1293,3000,0.143890
4.0,10604,1293,3250,0.140533
4.0,10604,1293,3500,0.064059
4.0,10604,1293,3750,0.096122
4.0,10604,1293,4000,0.105358
4.0,10604,1293,4250,0.084040
4.0,10604,1293,4500,0.022505
4.0,10604,1293,4750,0.017084
4.0,10604,1293,5000,0.068999
4.0,10604,1293,5250,0.063622
4.0,10604,1293,5500,0.077109
4.0,10604,1293,5750,0.082048
4.0,10604,1293,6000,0.076380
4.0,10604,1293,6250,0.086029
4.0,10604,1293,6500,0.090049
4.0,10604,1293,6750,0.041630
4.0,10604,1293,7000,0.056270
4.0,10604,1293,7250,0.059994
4.0,10604,1293,7500,0.071035
4.0,10604,1293,7750,0.039720
4.0,10604,1293,8000,0.019465
4.0,10776,1312,50,0.439544
4.0,10776,1312,100,0.093004
4.0,10776,1312,150,0.065556
4.0,10776,1312,200,0.059605
4.0,10776,1312,250,0.008752
4.0,10776,1312,300,0.382121
4.0,10776,1312,350,0.418646
4.0,10776,1312,400,0.815530
4.0,10776,1312,450,0.554524
4.0,10776,1312,500,0.551213
4.0,10776,1312,600,0.540130
4.0,10776,1312,700,0.302575
4.0,10776,1312,800,0.165526
4.0,10776,1312,900,0.022120
4.0,10776,1312,1000,0.010905
4.0,10776,1312,1250,0.051588
4.0,10776,1312,1500,0.013198
4.0,10776,1312,1750,0.048533
4.0,10776,1312,2000,0.063923
4.0,10776,1312,2250,0.051961
4.0,10776,1312,2500,0.019654
4.0,10776,1312,2750,0.028321
4.0,10776,1312,3000,0.054487
4.0,10776,1312,3250,0.046106
4.0,10776,1312,3500,0.004209
4.0,10776,1312,3750,0.093025
4.0,10776,1312,4000,0.091368
4.0,10776,1312,4250,0.131466
4.0,10776,1312,4500,0.073171
4.0,10776,1312,4750,0.091575
4.0,10776,1312,5000,0.090808
4.0,10776,1312,5250,0.115750
4.0,10776,1312,5500,0.112927
4.0,10776,1312,5750,0.032971
4.0,10776,1312,6000,0.079010
4.0,10776,1312,6250,0.117330
4.0,10776,1312,6500,0.035771
4.0,10776,1312,6750,0.033687
4.0,10776,1312,7000,0.022553
4.0,10776,1312,7250,0.004775
4.0,10776,1312,7500,0.028237
4.0,10776,1312,7750,0.026238
4.0,10776,1312,8000,0.030853
4.0,10809,1315,50,0.229364
4.0,10809,1315,100,0.407377
4.0,10809,1315,150,0.001839
4.0,10809,1315,200,0.367842
4.0,10809,1315,250,0.253169
4.0,10809,1315,300,0.397869
4.0,10809,1315,350,0.574589
4.0,10809,1315,400,0.669339
4.0,10809,1315,450,0.425824
4.0,10809,1315,500,0.397965
4.0,10809,1315,600,0.390513
4.0,10809,1315,700,0.214734
4.0,10809,1315,800,0.089337
4.0,10809,1315,900,0.095298
4.0,10809,1315,1000,0.002519
4.0,10809,1315,1250,0.044070
4.0,10809,1315,1500,0.031427
4.0,10809,1315,1750,0.008124
4.0,10809,1315,2000,0.216822
4.0,10809,1315,2250,0.185011
4.0,10809,1315,2500,0.120899
4.0,10809,1315,2750,0.115021
4.0,10809,1315,3000,0.096137
4.0,10809,1315,3250,0.113918
4.0,10809,1315,3500,0.069824
4.0,10809,1315,3750,0.166304
4.0,10809,1315,4000,0.090731
4.0,10809,1315,4250,0.069066
4.0,10809,1315,4500,0.100847
4.0,10809,1315,4750,0.076141
4.0,10809,1315,5000,0.055980
4.0,10809,1315,5250,0.068888
4.0,10809,1315,5500,0.073155
4.0,10809,1315,5750,0.012389
4.0,10809,1315,6000,0.031811
4.0,10809,1315,6250,0.053290
4.0,10809,1315,6500,0.007337
4.0,10809,1315,6750,0.049490
4.0,10809,1315,7000,0.037035
4.0,10809,1315,7250,0.005590
4.0,10809,1315,7500,0.002797
