        n        p(n)     p-li_inv      p-R_inv  |p-R_inv|/sqrt(p)
     1000        7919        156.0         -3.6              0.040
     1269       10337        126.2        -53.5              0.526
     1610       13619        212.0          9.8              0.084
     2043       17807        223.9         -3.7              0.027
     2593       23251        214.5        -41.5              0.272
     3290       30469        333.9         46.0              0.263
     4175       39719        333.3          9.4              0.047
     5298       51787        362.9         -1.3              0.006
     6723       67489        409.7          0.2              0.001
     8532       87877        443.8        -16.7              0.056
    10826      114467        616.2         98.3              0.291
    13738      148783        630.0         47.5              0.123
    17433      193201        550.7       -104.6              0.238
    22122      251071        723.1        -14.1              0.028
    28072      325777        658.4       -171.1              0.300
    35622      423067       1100.5        167.0              0.257
    45204      548501       1125.4         74.6              0.101
    57362      710779       1119.5        -63.5              0.075
    72790      920783       1190.2       -141.9              0.148
    92367     1191991        939.9       -560.4              0.513
   117210     1543559       1610.2        -79.8              0.064
   148735     1997173       1813.0        -91.1              0.064
   188739     2583169       2144.3         -1.4              0.001
   239503     3339221       1949.3       -469.0              0.257
   303920     4316717       3265.2        539.2              0.260
   385662     5575957       2822.6       -250.7              0.106
   489390     7201031       2841.2       -624.4              0.233
   621017     9297473       3491.3       -417.2              0.137
   788046    11999777       3671.5       -737.1              0.213
  1000000    15485863       6796.6       1823.2              0.463

li-guess:  p(n) > li^-1(n) in 30/30 cases (biased guess -> predictable comparison bit)
R-guess:   p(n) > R^-1(n)  in 10/30 cases, below in 20/30 (centered guess -> coin-flip comparison bit)
R-guess normalised gap |p - R^-1|/sqrt(p): median 0.130, max 0.526 (hard-zone width ~ sqrt(p(n)) confirmed)
