k_label,x_max,w,H,distribution,M,T_naive_s,T_batched_s,T_amort_naive_ms,T_amort_batched_ms,ratio_batched_naive,counts_match
k2_twin,1000000,190,"(0,2)",uncorrelated,1,8.987798355519772e-05,8.500809781253338e-05,0.08987798355519772,0.08500809781253338,0.9458167000411892,1
k2_twin,1000000,190,"(0,2)",uncorrelated,4,0.0003708528820425272,0.03673072508536279,0.0927132205106318,9.182681271340698,99.04392513565725,1
k2_twin,1000000,190,"(0,2)",uncorrelated,16,0.0014474550262093544,0.04934640787541866,0.09046593913808465,3.0841504922136664,34.091841875494225,1
k2_twin,1000000,190,"(0,2)",uncorrelated,64,0.005709047894924879,0.051980070071294904,0.08920387335820124,0.8121885948639829,9.104857942688335,1
k2_twin,1000000,190,"(0,2)",corr_w=M,1,0.0001001269556581974,9.640003554522991e-05,0.1001269556581974,0.09640003554522991,0.9627780542365629,1
k2_twin,1000000,190,"(0,2)",corr_w=M,4,0.00037556118331849575,0.00014396896585822105,0.09389029582962394,0.035992241464555264,0.38334357290627596,1
k2_twin,1000000,190,"(0,2)",corr_w=M,16,0.0015304498374462128,0.00033807195723056793,0.0956531148403883,0.021129497326910496,0.22089711727807568,1
k2_twin,1000000,190,"(0,2)",corr_w=M,64,0.0061398830730468035,0.0011542770080268383,0.0959356730163563,0.01803557825041935,0.18799657815862114,1
k2_twin,1000000,190,"(0,2)",corr_w=polylog,1,9.623984806239605e-05,9.651994332671165e-05,0.09623984806239605,0.09651994332671165,1.0029103876404086,1
k2_twin,1000000,190,"(0,2)",corr_w=polylog,4,0.00038237497210502625,0.00016693188808858395,0.09559374302625656,0.04173297202214599,0.4365659372777491,1
k2_twin,1000000,190,"(0,2)",corr_w=polylog,16,0.0015277338679879904,0.0003696409985423088,0.0954833667492494,0.0231025624088943,0.24195378939207662,1
k2_twin,1000000,190,"(0,2)",corr_w=polylog,64,0.006156513933092356,0.0013106991536915302,0.09619553020456806,0.02047967427643016,0.2128963189129305,1
k3_admiss,1000000,190,"(0,2,6)",uncorrelated,1,8.828495629131794e-05,8.685211651027203e-05,0.08828495629131794,0.08685211651027203,0.9837702838486105,1
k3_admiss,1000000,190,"(0,2,6)",uncorrelated,4,0.0003417988773435354,0.015638713026419282,0.08544971933588386,3.9096782566048205,45.75413807079628,1
k3_admiss,1000000,190,"(0,2,6)",uncorrelated,16,0.0014650369994342327,0.05195497302338481,0.09156481246463954,3.2471858139615506,35.46324976328158,1
k3_admiss,1000000,190,"(0,2,6)",uncorrelated,64,0.006054543890058994,0.05443249293603003,0.09460224828217179,0.8505077021254692,8.990354009226557,1
k3_admiss,1000000,190,"(0,2,6)",corr_w=M,1,0.00010217097587883472,9.862496517598629e-05,0.10217097587883472,0.09862496517598629,0.9652933656320003,1
k3_admiss,1000000,190,"(0,2,6)",corr_w=M,4,0.0003874239046126604,0.00014793616719543934,0.0968559761531651,0.036984041798859835,0.3818457390835068,1
k3_admiss,1000000,190,"(0,2,6)",corr_w=M,16,0.0015592840500175953,0.0003680780064314604,0.0974552531260997,0.023004875401966274,0.236055776000086,1
k3_admiss,1000000,190,"(0,2,6)",corr_w=M,64,0.006252001971006393,0.00117474514991045,0.0976875307969749,0.01835539296735078,0.18789903703778738,1
k3_admiss,1000000,190,"(0,2,6)",corr_w=polylog,1,9.737210348248482e-05,9.574904106557369e-05,0.09737210348248482,0.09574904106557369,0.9833313407139954,1
k3_admiss,1000000,190,"(0,2,6)",corr_w=polylog,4,0.0003931440878659487,0.00015238486230373383,0.09828602196648717,0.038096215575933456,0.3876056311336236,1
k3_admiss,1000000,190,"(0,2,6)",corr_w=polylog,16,0.001566306920722127,0.0003808308392763138,0.09789418254513294,0.02380192745476961,0.24313934532111772,1
k3_admiss,1000000,190,"(0,2,6)",corr_w=polylog,64,0.00638341810554266,0.0012261311057955027,0.09974090789910406,0.01915829852805473,0.1920806510748317,1
k4_admiss,1000000,190,"(0,2,6,8)",uncorrelated,1,8.834502659738064e-05,8.761393837630749e-05,0.08834502659738064,0.08761393837630749,0.9917246250385438,1
k4_admiss,1000000,190,"(0,2,6,8)",uncorrelated,4,0.00035470305010676384,0.03209625510498881,0.08867576252669096,8.024063776247203,90.48767721430082,1
k4_admiss,1000000,190,"(0,2,6,8)",uncorrelated,16,0.00143311801366508,0.05078858393244445,0.0895698758540675,3.1742864957777783,35.4392195535641,1
k4_admiss,1000000,190,"(0,2,6,8)",uncorrelated,64,0.0056907739490270615,0.055306345922872424,0.08891834295354784,0.8641616550448816,9.718598281755336,1
k4_admiss,1000000,190,"(0,2,6,8)",corr_w=M,1,9.923498146235943e-05,9.87849198281765e-05,0.09923498146235943,0.0987849198281765,0.9954646876781688,1
k4_admiss,1000000,190,"(0,2,6,8)",corr_w=M,4,0.0003920220769941807,0.00014721602201461792,0.09800551924854517,0.03680400550365448,0.3755299271494938,1
k4_admiss,1000000,190,"(0,2,6,8)",corr_w=M,16,0.0015647339168936014,0.0003581398632377386,0.09779586980585009,0.022383741452358663,0.22888227792028576,1
k4_admiss,1000000,190,"(0,2,6,8)",corr_w=M,64,0.006244798889383674,0.0011586649343371391,0.0975749826466199,0.0181041395990178,0.18554079240356333,1
k4_admiss,1000000,190,"(0,2,6,8)",corr_w=polylog,1,9.878398850560188e-05,9.75518487393856e-05,0.09878398850560188,0.0975518487393856,0.987526928352904,1
k4_admiss,1000000,190,"(0,2,6,8)",corr_w=polylog,4,0.0003833670634776354,0.000165269011631608,0.09584176586940885,0.041317252907902,0.4310986189903853,1
k4_admiss,1000000,190,"(0,2,6,8)",corr_w=polylog,16,0.001571686938405037,0.00037809601053595543,0.09823043365031481,0.023631000658497214,0.24056699925218625,1
k4_admiss,1000000,190,"(0,2,6,8)",corr_w=polylog,64,0.006313256919384003,0.001233074115589261,0.09864463936537504,0.019266783056082204,0.1953150539150836,1
k2_twin,10000000,259,"(0,2)",uncorrelated,1,0.00020511308684945107,0.00020719785243272781,0.20511308684945107,0.2071978524327278,1.0101639813202505,1
k2_twin,10000000,259,"(0,2)",uncorrelated,4,0.0008021090179681778,0.3737528051715344,0.20052725449204445,93.4382012928836,465.9626020890372,1
k2_twin,10000000,259,"(0,2)",uncorrelated,16,0.0030494381207972765,0.5534315679688007,0.19058988254982978,34.58947299805004,181.4864070185185,1
k2_twin,10000000,259,"(0,2)",uncorrelated,64,0.012025912059471011,0.5865999250672758,0.18790487592923455,9.165623829176184,48.77799888826717,1
k2_twin,10000000,259,"(0,2)",corr_w=M,1,0.0002041321713477373,0.00021035410463809967,0.2041321713477373,0.21035410463809967,1.0304799250862,1
k2_twin,10000000,259,"(0,2)",corr_w=M,4,0.0008377349004149437,0.0002811858430504799,0.20943372510373592,0.07029646076261997,0.33565014769135676,1
k2_twin,10000000,259,"(0,2)",corr_w=M,16,0.0033789039589464664,0.0005517208483070135,0.21118149743415415,0.034482553019188344,0.16328396871008985,1
k2_twin,10000000,259,"(0,2)",corr_w=M,64,0.013348764041438699,0.001675581093877554,0.20857443814747967,0.02618095459183678,0.12552331351996568,1
k2_twin,10000000,259,"(0,2)",corr_w=polylog,1,0.0002064660657197237,0.00021136482246220112,0.2064660657197237,0.21136482246220112,1.0237266919646129,1
k2_twin,10000000,259,"(0,2)",corr_w=polylog,4,0.0008407710120081902,0.00029757595621049404,0.21019275300204754,0.07439398905262351,0.35393222644502315,1
k2_twin,10000000,259,"(0,2)",corr_w=polylog,16,0.003335552988573909,0.0006054609548300505,0.2084720617858693,0.037841309676878154,0.18151741462482682,1
k2_twin,10000000,259,"(0,2)",corr_w=polylog,64,0.013544618850573897,0.00182349793612957,0.21163466954021715,0.02849215525202453,0.13462895901661395,1
k3_admiss,10000000,259,"(0,2,6)",uncorrelated,1,0.00017960602417588234,0.00018150894902646542,0.17960602417588234,0.18150894902646542,1.0105949945683315,1
k3_admiss,10000000,259,"(0,2,6)",uncorrelated,4,0.0007507628761231899,0.3840368220116943,0.18769071903079748,96.00920550292358,511.5287852201673,1
k3_admiss,10000000,259,"(0,2,6)",uncorrelated,16,0.0030745449475944042,0.6213680899236351,0.19215905922465026,38.835505620227195,202.1008313473537,1
k3_admiss,10000000,259,"(0,2,6)",uncorrelated,64,0.012099378975108266,0.5377819179557264,0.18905279648606665,8.402842468058225,44.4470678257199,1
k3_admiss,10000000,259,"(0,2,6)",corr_w=M,1,0.00019890093244612217,0.0001984010450541973,0.19890093244612217,0.1984010450541973,0.9974867518931302,1
k3_admiss,10000000,259,"(0,2,6)",corr_w=M,4,0.0008031311444938183,0.0002613491378724575,0.20078278612345457,0.06533728446811438,0.3254127793004161,1
k3_admiss,10000000,259,"(0,2,6)",corr_w=M,16,0.0031574289314448833,0.0005125878378748894,0.1973393082153052,0.032036739867180586,0.16234342846802322,1
k3_admiss,10000000,259,"(0,2,6)",corr_w=M,64,0.012881529983133078,0.0015284970868378878,0.20127390598645434,0.023882766981841996,0.11865803897823346,1
k3_admiss,10000000,259,"(0,2,6)",corr_w=polylog,1,0.00019555608741939068,0.00019245012663304806,0.19555608741939068,0.19245012663304806,0.9841172891760636,1
k3_admiss,10000000,259,"(0,2,6)",corr_w=polylog,4,0.0007853880524635315,0.000277739018201828,0.19634701311588287,0.069434754550457,0.3536328536328536,1
k3_admiss,10000000,259,"(0,2,6)",corr_w=polylog,16,0.0031527711544185877,0.00055346405133605,0.19704819715116173,0.03459150320850313,0.17554843793859692,1
k3_admiss,10000000,259,"(0,2,6)",corr_w=polylog,64,0.012301246169954538,0.001639793859794736,0.19220697140553966,0.02562177905929275,0.13330306841593725,1
k4_admiss,10000000,259,"(0,2,6,8)",uncorrelated,1,0.00018897303380072117,0.00018506590276956558,0.18897303380072117,0.18506590276956558,0.979324399081851,1
k4_admiss,10000000,259,"(0,2,6,8)",uncorrelated,4,0.0007053781300783157,0.27481302502565086,0.17634453251957893,68.70325625641271,389.5967472015886,1
k4_admiss,10000000,259,"(0,2,6,8)",uncorrelated,16,0.0025087478570640087,0.46466770907863975,0.15679674106650054,29.041731817414984,185.21897598048815,1
k4_admiss,10000000,259,"(0,2,6,8)",uncorrelated,64,0.00969944498501718,0.45126242586411536,0.15155382789089344,7.0509754041268025,46.524561617822926,1
k4_admiss,10000000,259,"(0,2,6,8)",corr_w=M,1,0.00016442686319351196,0.0001646280288696289,0.16442686319351196,0.1646280288696289,1.0012234355883818,1
k4_admiss,10000000,259,"(0,2,6,8)",corr_w=M,4,0.000669840956106782,0.00021613412536680698,0.1674602390266955,0.054033531341701746,0.322664840655626,1
k4_admiss,10000000,259,"(0,2,6,8)",corr_w=M,16,0.002702740952372551,0.00043639587238430977,0.16892130952328444,0.02727474202401936,0.1614641876800023,1
k4_admiss,10000000,259,"(0,2,6,8)",corr_w=M,64,0.01053687883540988,0.0013049079570919275,0.16463873180327937,0.020389186829561368,0.12384198181217553,1
k4_admiss,10000000,259,"(0,2,6,8)",corr_w=polylog,1,0.0001699579879641533,0.0001712399534881115,0.1699579879641533,0.1712399534881115,1.007542837728984,1
k4_admiss,10000000,259,"(0,2,6,8)",corr_w=polylog,4,0.0006604338996112347,0.0002534037921577692,0.16510847490280867,0.0633509480394423,0.38369289085090225,1
k4_admiss,10000000,259,"(0,2,6,8)",corr_w=polylog,16,0.002694974886253476,0.00048230099491775036,0.16843593039084226,0.030143812182359397,0.1789630758260014,1
k4_admiss,10000000,259,"(0,2,6,8)",corr_w=polylog,64,0.01061166892759502,0.001424069982022047,0.16580732699367218,0.022251093469094485,0.13419849335092213,1
