anchor_log10,x_anchor,k_label,H,k,C_H,w_label,w,x,pi_H,HL,residual,abs_residual,log_x,sqrt_HL
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1001287,2,1.314067,0.685933,0.685933,13.816797,1.146328
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1006416,1,1.313096,-0.313096,0.313096,13.821906,1.145904
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1010336,0,1.312358,-1.312358,1.312358,13.825794,1.145582
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1013796,2,1.311709,0.688291,0.688291,13.829212,1.145299
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1017031,1,1.311105,-0.311105,0.311105,13.832398,1.145035
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1022645,0,1.310062,-1.310062,1.310062,13.837903,1.144579
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1026916,2,1.309273,0.690727,0.690727,13.842071,1.144235
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1028652,2,1.308954,0.691046,0.691046,13.843760,1.144095
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1032738,2,1.308205,0.691795,0.691795,13.847724,1.143768
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1038539,3,1.307147,1.692853,1.692853,13.853325,1.143305
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1042000,1,1.306519,-0.306519,0.306519,13.856653,1.143031
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1044937,1,1.305989,-0.305989,0.305989,13.859467,1.142799
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1049003,3,1.305257,1.694743,1.694743,13.863351,1.142479
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1053452,2,1.304461,0.695539,0.695539,13.867583,1.142130
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1057431,2,1.303752,0.696248,0.696248,13.871353,1.141820
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1059645,1,1.303359,-0.303359,0.303359,13.873445,1.141647
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1065031,2,1.302407,0.697593,0.697593,13.878514,1.141230
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1066906,1,1.302077,-0.302077,0.302077,13.880273,1.141086
