anchor_log10,k_label,k,C_H,w_label,w,N,mean_HL,mean_count,max_count,n_zero,sigma_eff,sigma_pois,sigma_eff_over_pois,median_abs,mean_abs,median_over_sigma_eff,mean_over_sigma_eff,ks_D_eff,ks_p_eff,ks_D_pois,ks_p_pois
6,k2_twin,2,1.320337,narrow,190,200,1.256843,1.280000,6,41,0.963213,1.121090,0.859175,0.714501,0.751884,0.741789,0.780600,0.174967,0.000008,0.201889,0.000000
6,k2_twin,2,1.320337,wide,2290,200,15.148382,15.585000,24,0,3.197422,3.892092,0.821517,2.255530,2.589186,0.705422,0.809773,0.052711,0.623501,0.117813,0.007016
6,k3_admiss,3,2.858333,narrow,190,200,0.192631,0.215000,3,162,0.489276,0.438897,1.114784,0.195463,0.334460,0.399494,0.683581,0.483924,0.000000,0.449022,0.000000
6,k3_admiss,3,2.858333,wide,2290,200,2.321673,2.370000,7,16,1.553708,1.523704,1.019692,1.202677,1.225119,0.774069,0.788513,0.102214,0.028389,0.104215,0.023992
6,k4_admiss,4,4.151425,narrow,190,200,0.019810,0.010000,1,198,0.099924,0.140748,0.709951,0.019713,0.029401,0.197279,0.294238,0.818509,0.000000,0.867779,0.000000
6,k4_admiss,4,4.151425,wide,2290,200,0.238760,0.300000,3,152,0.585293,0.488631,1.197822,0.243641,0.423638,0.416272,0.723805,0.417016,0.000000,0.354811,0.000000
7,k2_twin,2,1.320337,narrow,259,200,1.266669,1.170000,4,59,0.975510,1.125464,0.866762,0.738525,0.832414,0.757066,0.853312,0.184326,0.000002,0.160125,0.000058
7,k2_twin,2,1.320337,wide,3117,200,15.244033,15.140000,27,0,3.425662,3.904361,0.877394,2.328858,2.727718,0.679827,0.796260,0.034717,0.966808,0.087968,0.085568
7,k3_admiss,3,2.858333,narrow,259,200,0.166914,0.140000,2,174,0.375214,0.408551,0.918403,0.167424,0.263197,0.446208,0.701458,0.507597,0.000000,0.535288,0.000000
7,k3_admiss,3,2.858333,wide,3117,200,2.008769,2.040000,7,24,1.441563,1.417310,1.017112,0.994802,1.120496,0.690086,0.777278,0.206138,0.000000,0.213009,0.000000
7,k4_admiss,4,4.151425,narrow,259,200,0.014758,0.010000,1,198,0.099576,0.121483,0.819666,0.014699,0.024455,0.147618,0.245595,0.862982,0.000000,0.885742,0.000000
7,k4_admiss,4,4.151425,wide,3117,200,0.177607,0.170000,2,169,0.413334,0.421434,0.980780,0.179029,0.292286,0.433133,0.707143,0.488025,0.000000,0.494422,0.000000
8,k2_twin,2,1.320337,narrow,339,200,1.275351,1.155000,4,56,1.021617,1.129314,0.904635,0.710798,0.829613,0.695758,0.812059,0.186161,0.000001,0.207814,0.000000
8,k2_twin,2,1.320337,wide,4071,200,15.315448,14.705000,24,0,3.566395,3.913496,0.911307,2.044266,2.723945,0.573202,0.763781,0.091906,0.064125,0.130312,0.001984
8,k3_admiss,3,2.858333,narrow,339,200,0.147396,0.170000,2,170,0.425613,0.383922,1.108592,0.147959,0.272743,0.347638,0.640825,0.565838,0.000000,0.536539,0.000000
8,k3_admiss,3,2.858333,wide,4071,200,1.770062,1.950000,7,27,1.386830,1.330437,1.042387,0.791532,1.055575,0.570749,0.761142,0.162845,0.000041,0.155669,0.000103
8,k4_admiss,4,4.151425,narrow,339,200,0.011429,0.020000,1,196,0.140226,0.106909,1.311643,0.011402,0.030962,0.081308,0.220801,0.910590,0.000000,0.889042,0.000000
8,k4_admiss,4,4.151425,wide,4071,200,0.137254,0.140000,2,175,0.387313,0.370478,1.045441,0.137643,0.242542,0.355380,0.626218,0.579938,0.000000,0.567200,0.000000
