p,case,f4,f2sq,ratio,expected
2,m even,8.0000000000,4.0000000000,2.0000000000,2.0000000000
3,m == 0 mod 3,1.6875000000,0.5625000000,3.0000000000,3.0000000000
5,avg over m mod p,0.8789062500,0.8789062500,1.0000000000,1.0000000000
7,avg over m mod p,0.9452160494,0.9452160494,1.0000000000,1.0000000000
11,avg over m mod p,0.9801000000,0.9801000000,1.0000000000,1.0000000000
13,avg over m mod p,0.9861593364,0.9861593364,1.0000000000,1.0000000000
17,avg over m mod p,0.9922027588,0.9922027588,1.0000000000,1.0000000000
19,avg over m mod p,0.9938366865,0.9938366865,1.0000000000,1.0000000000
23,avg over m mod p,0.9958720374,0.9958720374,1.0000000000,1.0000000000
29,avg over m mod p,0.9974506065,0.9974506065,1.0000000000,1.0000000000
31,avg over m mod p,0.9977790123,0.9977790123,1.0000000000,1.0000000000
37,avg over m mod p,0.9984573855,0.9984573855,1.0000000000,1.0000000000
41,avg over m mod p,0.9987503906,0.9987503906,1.0000000000,1.0000000000
43,avg over m mod p,0.9988665345,0.9988665345,1.0000000000,1.0000000000
47,avg over m mod p,0.9990550438,0.9990550438,1.0000000000,1.0000000000
53,avg over m mod p,0.9992604918,0.9992604918,1.0000000000,1.0000000000
59,avg over m mod p,0.9994055580,0.9994055580,1.0000000000,1.0000000000
61,avg over m mod p,0.9994445216,0.9994445216,1.0000000000,1.0000000000
67,avg over m mod p,0.9995409159,0.9995409159,1.0000000000,1.0000000000
71,avg over m mod p,0.9995918784,0.9995918784,1.0000000000,1.0000000000
73,avg over m mod p,0.9996142347,0.9996142347,1.0000000000,1.0000000000
79,avg over m mod p,0.9996712959,0.9996712959,1.0000000000,1.0000000000
83,avg over m mod p,0.9997025801,0.9997025801,1.0000000000,1.0000000000
89,avg over m mod p,0.9997417522,0.9997417522,1.0000000000,1.0000000000
97,avg over m mod p,0.9997829979,0.9997829979,1.0000000000,1.0000000000
101,avg over m mod p,0.9998000100,0.9998000100,1.0000000000,1.0000000000
103,avg over m mod p,0.9998077755,0.9998077755,1.0000000000,1.0000000000
107,avg over m mod p,0.9998220086,0.9998220086,1.0000000000,1.0000000000
109,avg over m mod p,0.9998285396,0.9998285396,1.0000000000,1.0000000000
113,avg over m mod p,0.9998405676,0.9998405676,1.0000000000,1.0000000000
127,avg over m mod p,0.9998740277,0.9998740277,1.0000000000,1.0000000000
131,avg over m mod p,0.9998816603,0.9998816603,1.0000000000,1.0000000000
137,avg over m mod p,0.9998918714,0.9998918714,1.0000000000,1.0000000000
139,avg over m mod p,0.9998949828,0.9998949828,1.0000000000,1.0000000000
149,avg over m mod p,0.9999086946,0.9999086946,1.0000000000,1.0000000000
151,avg over m mod p,0.9999111131,0.9999111131,1.0000000000,1.0000000000
157,avg over m mod p,0.9999178189,0.9999178189,1.0000000000,1.0000000000
163,avg over m mod p,0.9999237936,0.9999237936,1.0000000000,1.0000000000
167,avg over m mod p,0.9999274218,0.9999274218,1.0000000000,1.0000000000
173,avg over m mod p,0.9999323970,0.9999323970,1.0000000000,1.0000000000
179,avg over m mod p,0.9999368777,0.9999368777,1.0000000000,1.0000000000
181,avg over m mod p,0.9999382726,0.9999382726,1.0000000000,1.0000000000
191,avg over m mod p,0.9999445991,0.9999445991,1.0000000000,1.0000000000
193,avg over m mod p,0.9999457473,0.9999457473,1.0000000000,1.0000000000
197,avg over m mod p,0.9999479390,0.9999479390,1.0000000000,1.0000000000
199,avg over m mod p,0.9999489854,0.9999489854,1.0000000000,1.0000000000
211,avg over m mod p,0.9999546490,0.9999546490,1.0000000000,1.0000000000
223,avg over m mod p,0.9999594193,0.9999594193,1.0000000000,1.0000000000
227,avg over m mod p,0.9999608430,0.9999608430,1.0000000000,1.0000000000
229,avg over m mod p,0.9999615270,0.9999615270,1.0000000000,1.0000000000
233,avg over m mod p,0.9999628422,0.9999628422,1.0000000000,1.0000000000
239,avg over m mod p,0.9999646921,0.9999646921,1.0000000000,1.0000000000
241,avg over m mod p,0.9999652781,0.9999652781,1.0000000000,1.0000000000
251,avg over m mod p,0.9999680003,0.9999680003,1.0000000000,1.0000000000
257,avg over m mod p,0.9999694827,0.9999694827,1.0000000000,1.0000000000
263,avg over m mod p,0.9999708644,0.9999708644,1.0000000000,1.0000000000
269,avg over m mod p,0.9999721543,0.9999721543,1.0000000000,1.0000000000
271,avg over m mod p,0.9999725653,0.9999725653,1.0000000000,1.0000000000
277,avg over m mod p,0.9999737452,0.9999737452,1.0000000000,1.0000000000
281,avg over m mod p,0.9999744900,0.9999744900,1.0000000000,1.0000000000
283,avg over m mod p,0.9999748505,0.9999748505,1.0000000000,1.0000000000
293,avg over m mod p,0.9999765436,0.9999765436,1.0000000000,1.0000000000
307,avg over m mod p,0.9999786408,0.9999786408,1.0000000000,1.0000000000
311,avg over m mod p,0.9999791885,0.9999791885,1.0000000000,1.0000000000
313,avg over m mod p,0.9999794544,0.9999794544,1.0000000000,1.0000000000
317,avg over m mod p,0.9999799713,0.9999799713,1.0000000000,1.0000000000
331,avg over m mod p,0.9999816346,0.9999816346,1.0000000000,1.0000000000
337,avg over m mod p,0.9999822847,0.9999822847,1.0000000000,1.0000000000
347,avg over m mod p,0.9999832939,0.9999832939,1.0000000000,1.0000000000
349,avg over m mod p,0.9999834853,0.9999834853,1.0000000000,1.0000000000
353,avg over m mod p,0.9999838585,0.9999838585,1.0000000000,1.0000000000
359,avg over m mod p,0.9999843951,0.9999843951,1.0000000000,1.0000000000
367,avg over m mod p,0.9999850698,0.9999850698,1.0000000000,1.0000000000
373,avg over m mod p,0.9999855475,0.9999855475,1.0000000000,1.0000000000
379,avg over m mod p,0.9999860027,0.9999860027,1.0000000000,1.0000000000
383,avg over m mod p,0.9999862943,0.9999862943,1.0000000000,1.0000000000
389,avg over m mod p,0.9999867149,0.9999867149,1.0000000000,1.0000000000
397,avg over m mod p,0.9999872462,0.9999872462,1.0000000000,1.0000000000
401,avg over m mod p,0.9999875000,0.9999875000,1.0000000000,1.0000000000
409,avg over m mod p,0.9999879854,0.9999879854,1.0000000000,1.0000000000
419,avg over m mod p,0.9999885534,0.9999885534,1.0000000000,1.0000000000
421,avg over m mod p,0.9999886622,0.9999886622,1.0000000000,1.0000000000
431,avg over m mod p,0.9999891834,0.9999891834,1.0000000000,1.0000000000
433,avg over m mod p,0.9999892833,0.9999892833,1.0000000000,1.0000000000
439,avg over m mod p,0.9999895749,0.9999895749,1.0000000000,1.0000000000
443,avg over m mod p,0.9999897627,0.9999897627,1.0000000000,1.0000000000
449,avg over m mod p,0.9999900351,0.9999900351,1.0000000000,1.0000000000
457,avg over m mod p,0.9999903817,0.9999903817,1.0000000000,1.0000000000
461,avg over m mod p,0.9999905482,0.9999905482,1.0000000000,1.0000000000
463,avg over m mod p,0.9999906299,0.9999906299,1.0000000000,1.0000000000
