k,m,"S_4(0,2,m,m+2)"
1,6,4.457051
2,12,11.362720
3,18,8.416031
4,24,5.315833
5,30,16.690703
6,36,4.788768
7,42,15.865864
8,48,8.762334
9,54,6.163299
10,60,13.454990
11,66,5.756986
12,72,11.420716
13,78,10.837439
14,84,7.296112
15,90,14.996852
16,96,5.669057
17,102,10.653542
18,108,9.690136
19,114,6.528590
20,120,12.911877
21,126,7.179969
22,132,12.056949
23,138,13.184477
24,144,4.276878
25,150,13.694516
26,156,7.838935
27,162,8.531609
28,168,15.098675
29,174,5.257965
30,180,18.676412
31,186,4.804977
32,192,8.955620
33,198,14.239555
34,204,4.890466
35,210,23.543897
36,216,4.233403
37,222,13.424244
38,228,10.000062
39,234,5.375005
40,240,20.445714
41,246,4.619298
42,252,13.955938
43,258,9.702164
44,264,7.653822
45,270,13.630239
46,276,4.658876
47,282,11.762546
48,288,10.969005
49,294,7.234597
50,300,12.629966
51,306,7.788580
52,312,10.596286
53,318,8.760002
54,324,5.865240
55,330,16.659325
56,336,7.737632
57,342,10.397126
58,348,12.030940
59,354,4.976543
60,360,12.600445
61,366,6.703358
62,372,11.312221
63,378,15.108918
64,384,4.197098
65,390,20.520857
66,396,5.394491
67,402,8.657582
68,408,13.648048
69,414,5.151417
70,420,25.434403
71,426,4.406383
72,432,11.778656
73,438,9.860181
74,444,5.294337
75,450,16.763415
76,456,4.748570
77,462,19.483578
78,468,10.432585
79,474,6.233234
80,480,12.564026
81,486,4.829250
82,492,13.834138
83,498,8.831130
84,504,8.359989
85,510,14.491693
86,516,6.021013
87,522,10.045006
88,528,10.938422
89,534,6.141012
90,540,12.552004
91,546,9.178442
92,552,10.529500
93,558,11.982298
94,564,4.377183
95,570,18.196760
96,576,6.124021
97,582,8.951262
98,588,14.142801
99,594,5.538923
100,600,19.925999
101,606,4.551633
102,612,9.783463
103,618,13.389718
104,624,5.108531
105,630,21.177844
106,636,5.153649
107,642,11.883030
108,648,10.600608
109,654,4.373499
110,660,21.920189
111,666,4.487482
112,672,14.104245
113,678,10.120408
114,684,7.437241
115,690,14.206059
116,696,4.511014
117,702,15.468201
118,708,8.760879
119,714,8.126052
120,720,13.326016
121,726,7.954558
122,732,8.745394
123,738,9.494295
124,744,6.084861
125,750,15.689547
126,756,8.019078
127,762,9.051239
128,768,12.689169
129,774,4.435922
130,780,17.305616
131,786,5.653235
132,792,10.848216
133,798,15.768327
134,804,4.949312
135,810,17.453209
136,816,5.655923
137,822,8.745535
138,828,12.619732
139,834,5.708111
140,840,20.863290
141,846,4.455929
142,852,12.497068
143,858,13.515851
144,864,4.172095
145,870,18.781130
146,876,4.808822
147,882,18.929534
148,888,8.932617
149,894,5.638889
150,900,14.655372
151,906,4.266828
152,912,13.975533
153,918,10.132276
154,924,8.937466
155,930,13.976805
156,936,6.889568
157,942,8.766101
158,948,10.661103
159,954,6.232585
160,960,14.291691
161,966,8.779333
162,972,8.412007
163,978,11.409775
164,984,4.912450
165,990,19.686684
166,996,5.773425
167,1002,8.441262
168,1008,14.012926
169,1014,6.155472
170,1020,19.482388
171,1026,4.724948
172,1032,10.313745
173,1038,12.827048
174,1044,4.502203
175,1050,21.007574
176,1056,6.276621
177,1062,12.491356
178,1068,9.794714
179,1074,4.282884
180,1080,19.018921
181,1086,4.539562
182,1092,17.110806
183,1098,9.898700
184,1104,6.879307
185,1110,13.359624
186,1116,5.092107
187,1122,16.487391
188,1128,8.787031
189,1134,7.049566
190,1140,14.168957
191,1146,7.298203
192,1152,8.757685
193,1158,9.400377
194,1164,6.679344
195,1170,15.500516
196,1176,7.669051
197,1182,8.802848
198,1188,15.358902
199,1194,4.940557
200,1200,12.499796
201,1206,5.898979
