K,N,H_N,leading,residual,log_N
10,60,94.302798,104.595349,-10.292551,4.094345
20,120,189.965387,209.190698,-19.225311,4.787492
30,180,295.699329,313.786047,-18.086719,5.192957
40,240,405.560556,418.381396,-12.820840,5.480639
50,300,502.335785,522.976745,-20.640960,5.703782
60,360,599.708898,627.572094,-27.863196,5.886104
70,420,715.792557,732.167444,-16.374887,6.040255
80,480,817.319298,836.762793,-19.443494,6.173786
90,540,913.327415,941.358142,-28.030726,6.291569
100,600,1022.234760,1045.953491,-23.718731,6.396930
150,900,1544.658988,1568.930236,-24.271248,6.802395
200,1200,2055.194580,2091.906981,-36.712402,7.090077
250,1500,2586.700555,2614.883727,-28.183172,7.313220
300,1800,3102.069219,3137.860472,-35.791254,7.495542
350,2100,3629.600065,3660.837218,-31.237153,7.649693
400,2400,4150.988603,4183.813963,-32.825360,7.783224
450,2700,4668.760907,4706.790708,-38.029801,7.901007
500,3000,5198.180369,5229.767454,-31.587085,8.006368
550,3300,5711.922265,5752.744199,-40.821934,8.101678
600,3600,6243.172896,6275.720944,-32.548048,8.188689
650,3900,6757.058061,6798.697690,-41.639629,8.268732
700,4200,7285.962495,7321.674435,-35.711941,8.342840
750,4500,7807.356770,7844.651180,-37.294411,8.411833
800,4800,8326.526054,8367.627926,-41.101872,8.476371
850,5100,8854.438875,8890.604671,-36.165797,8.536996
900,5400,9367.563817,9413.581417,-46.017599,8.594154
950,5700,9900.688473,9936.558162,-35.869689,8.648221
1000,6000,10410.189644,10459.534907,-49.345263,8.699515
1500,9000,15641.242972,15689.302361,-48.059389,9.104980
2000,12000,20874.400647,20919.069815,-44.669168,9.392662
2500,15000,26101.092002,26148.837268,-47.745266,9.615805
3000,18000,31321.458842,31378.604722,-57.145880,9.798127
3500,21000,36559.060203,36608.372175,-49.311972,9.952278
4000,24000,41789.031666,41838.139629,-49.107963,10.085809
4500,27000,47009.200827,47067.907083,-58.706256,10.203592
5000,30000,52239.408715,52297.674536,-58.265822,10.308953
5500,33000,57477.506864,57527.441990,-49.935126,10.404263
6000,36000,62702.398852,62757.209444,-54.810592,10.491274
6500,39000,67924.874666,67986.976897,-62.102232,10.571317
7000,42000,73160.881286,73216.744351,-55.863065,10.645425
7500,45000,78389.495218,78446.511805,-57.016586,10.714418
8000,48000,83613.221146,83676.279258,-63.058112,10.778956
8500,51000,88843.882219,88906.046712,-62.164493,10.839581
9000,54000,94081.138282,94135.814165,-54.675884,10.896739
9500,57000,99305.288500,99365.581619,-60.293119,10.950807
10000,60000,104523.855255,104595.349073,-71.493818,11.002100
12500,75000,130681.203199,130744.186341,-62.983141,11.225243
15000,90000,156821.654205,156893.023609,-71.369404,11.407565
17500,105000,182977.508651,183041.860877,-64.352227,11.561716
20000,120000,209120.561772,209190.698145,-70.136373,11.695247
22500,135000,235268.452728,235339.535414,-71.082686,11.813030
25000,150000,261421.786945,261488.372682,-66.585737,11.918391
27500,165000,287564.589484,287637.209950,-72.620466,12.013701
30000,180000,313716.846853,313786.047218,-69.200366,12.100712
32500,195000,339859.147675,339934.884486,-75.736812,12.180755
35000,210000,366013.337740,366083.721755,-70.384015,12.254863
37500,225000,392158.663833,392232.559023,-73.895190,12.323856
40000,240000,418303.143504,418381.396291,-78.252787,12.388394
42500,255000,444461.210716,444530.233559,-69.022843,12.449019
45000,270000,470595.172685,470679.070827,-83.898143,12.506177
47500,285000,496753.213596,496827.908096,-74.694499,12.560244
50000,300000,522893.677029,522976.745364,-83.068335,12.611538
60000,360000,627494.085549,627572.094436,-78.008887,12.793859
70000,420000,732089.946104,732167.443509,-77.497406,12.948010
80000,480000,836668.787713,836762.792582,-94.004869,13.081541
90000,540000,941274.920331,941358.141655,-83.221324,13.199324
100000,600000,1045870.918874,1045953.490727,-82.571854,13.304685
110000,660000,1150463.100481,1150548.839800,-85.739319,13.399995
120000,720000,1255051.667530,1255144.188873,-92.521343,13.487006
130000,780000,1359654.591868,1359739.537946,-84.946078,13.567049
140000,840000,1464250.575024,1464334.887018,-84.311995,13.641157
150000,900000,1568836.567256,1568930.236091,-93.668835,13.710150
160000,960000,1673435.846965,1673525.585164,-89.738199,13.774689
170000,1020000,1778033.562935,1778120.934237,-87.371302,13.835313
180000,1080000,1882629.870524,1882716.283309,-86.412785,13.892472
190000,1140000,1987218.173197,1987311.632382,-93.459185,13.946539
200000,1200000,2091817.466511,2091906.981455,-89.514944,13.997832
