w,K,T_w,leading,Delta,log_w,alpha_emp
305,50,74293.960200,81083.186229,-6789.226030,5.720312,3.891354
605,100,302920.776872,319037.605370,-16116.828498,6.405228,4.159006
1205,200,1228163.090458,1265625.514478,-37462.424020,7.094235,4.382312
1805,300,2778607.876791,2839785.518023,-61177.641231,7.498316,4.520139
3005,500,7759224.354104,7870821.808421,-111597.454317,8.008033,4.637500
4205,700,15245501.486451,15412146.476566,-166644.990114,8.344030,4.749528
6005,1000,31177770.429354,31430924.187055,-253153.757701,8.700348,4.845457
9005,1500,70271801.615177,70680328.926600,-408527.311423,9.105535,4.982323
12005,2000,125045479.539776,125619036.027055,-573556.487278,9.393079,5.086348
18005,3000,281647620.899479,282564357.310697,-916736.411217,9.798405,5.196321
30005,5000,783071197.336129,784726628.208907,-1655430.872778,10.309119,5.351750
45005,7500,1762802796.271348,1765438769.952156,-2635973.680808,10.714529,5.466473
60005,10000,3134710016.527091,3138383470.718170,-3673454.191079,11.002183,5.564272
90005,15000,7055118222.601637,7060970549.318486,-5852326.716849,11.407621,5.699895
120005,20000,12544358050.804205,12552487864.009857,-8129813.205652,11.695289,5.792557
180005,30000,28229448090.202641,28242313201.665764,-12865111.463123,12.100740,5.906321
240005,40000,50190038893.922821,50207859483.685883,-17820589.763062,12.388415,5.993576
300005,50000,78426210280.007675,78449126710.070221,-22916430.062546,12.611554,6.056892
420005,70000,153725338911.237518,153758823995.931549,-33485084.694031,12.948022,6.157345
600005,100000,313741341995.601990,313791277007.455139,-49935011.853149,13.304693,6.255261
900005,150000,705948021893.602173,706026450913.945557,-78429020.343384,13.710156,6.356082
1200005,200000,1255046791532.202881,1255154648429.541260,-107856897.338379,13.997836,6.421019
