w,K,T_w,leading,Delta,log_w,log_log_w,alpha_emp,coef_log_loglog
305,50,74293.804423,81083.129559,-6789.325136,5.720312,1.744023,3.891411,2.231284
605,100,302920.141722,319037.382390,-16117.240668,6.405228,1.857115,4.159113,2.239556
1205,200,1228160.515302,1265624.629915,-37464.114613,7.094235,1.959282,4.382509,2.236793
1805,300,2778602.050734,2839783.533258,-61181.482524,7.498316,2.014678,4.520423,2.243744
3005,500,7759208.084919,7870816.307397,-111608.222478,8.008033,2.080445,4.637948,2.229306
4205,700,15245469.520384,15412135.704807,-166666.184423,8.344030,2.121546,4.750132,2.238995
6005,1000,31177705.057238,31430902.219554,-253197.162317,8.700348,2.163363,4.846288,2.240164
9005,1500,70271654.272492,70680279.527156,-408625.254664,9.105535,2.208882,4.983518,2.256126
12005,2000,125045217.350160,125618948.230200,-573730.880040,9.393079,2.239973,5.087895,2.271409
18005,3000,281647030.353689,282564159.822621,-917129.468932,9.798405,2.282220,5.198549,2.277848
30005,5000,783069555.428424,784726079.752784,-1656524.324360,10.309119,2.333029,5.355285,2.295422
45005,7500,1762799100.107443,1765437536.062967,-2638435.955525,10.714529,2.371601,5.471579,2.307125
60005,10000,3134703443.811177,3138381277.259240,-3677833.448063,11.002183,2.398094,5.570905,2.323056
90005,15000,7055103429.753958,7060965614.310049,-5862184.556091,11.407621,2.434282,5.709496,2.345454
120005,20000,12544331748.370598,12552479090.905214,-8147342.534616,11.695289,2.459186,5.805046,2.360556
180005,30000,28229388899.993233,28242293462.728607,-12904562.735374,12.100740,2.493267,5.924433,2.376173
240005,40000,50189933657.754967,50207824392.729424,-17890734.974457,12.388415,2.516762,6.017168,2.390837
300005,50000,78426045839.532730,78449071880.907639,-23026041.374908,12.611554,2.534613,6.085863,2.401101
420005,70000,153725016587.011871,153758716531.796356,-33699944.784485,12.948022,2.560943,6.196855,2.419755
600005,100000,313740684157.179810,313791057694.460083,-50373537.280273,13.304693,2.588117,6.310194,2.438141
900005,150000,705946541694.217041,706025957462.447876,-79415768.230835,13.710156,2.618137,6.436050,2.458256
1200005,200000,1255044160007.692627,1255153771184.871338,-109611177.178711,13.997836,2.638903,6.525456,2.472791
1500005,250000,1961033857093.028564,1961174498861.729980,-140641768.701416,14.220979,2.654718,6.593137,2.483554
1800005,300000,2823915801223.212402,2824088140493.023926,-172339269.811523,14.403300,2.667457,6.647350,2.492017
2100005,350000,3843690041743.776367,3843894696078.753906,-204654334.977539,14.557450,2.678103,6.694456,2.499701
