   k          A_k   log2A/k  (log2A/k)*ln(k)
   8           13    0.4626           0.9619
  12           16    0.3333           0.8283
  16          106    0.4205           1.1659
  20          121    0.3459           1.0364
  24          227    0.3261           1.0364
  28          640    0.3329           1.1094
  32         3573    0.3688           1.2783
  36         2704    0.3167           1.1349
  40         5704    0.3119           1.1507
  44        19825    0.3244           1.2277
  48        29002    0.3088           1.1955
  52        87438    0.3157           1.2474
  56        93751    0.2949           1.1872
  60        53602    0.2618           1.0720
A_64 = 1581920  log2A/k = 0.3218  (log2A/k)*ln(k) = 1.3382  [5s]
A_80 = 5777381  log2A/k = 0.2808  (log2A/k)*ln(k) = 1.2304  [18s]
