anchor_log10,x_anchor,x,pi_x,R_x,policy,K,pi_K,err,abs_err,sigma_pred,ratio_emp_over_pred
7,10000000,10404983,689699,689758.148384,K=1,1,689736.291777,37.291777,37.291777,inf,nan
7,10000000,10404983,689699,689758.148384,logx,16,689692.711922,-6.288078,6.288078,31.145777,0.201892
7,10000000,10404983,689699,689758.148384,log2x,261,689685.747846,-13.252154,13.252154,15.476801,0.856259
7,10000000,10404983,689699,689758.148384,log3x,4218,689695.436659,-3.563341,3.563341,5.775065,0.617022
7,10000000,10404983,689699,689758.148384,Kmax,8000,689698.012669,-0.987331,0.987331,4.514950,0.218680
7,10000000,10826367,715776,715801.064141,K=1,1,715791.647008,15.647008,15.647008,inf,nan
7,10000000,10826367,715776,715801.064141,logx,16,715806.314503,30.314503,30.314503,31.692325,0.956525
7,10000000,10826367,715776,715801.064141,log2x,262,715777.188959,1.188959,1.188959,15.729108,0.075590
7,10000000,10826367,715776,715801.064141,log3x,4250,715772.611779,-3.388221,3.388221,5.859542,0.578240
7,10000000,10826367,715776,715801.064141,Kmax,8000,715775.640584,-0.359416,0.359416,4.594179,0.078233
7,10000000,11264817,742850,742832.467457,K=1,1,742839.031769,-10.968231,10.968231,inf,nan
7,10000000,11264817,742850,742832.467457,logx,16,742830.472399,-19.527601,19.527601,32.248659,0.605532
7,10000000,11264817,742850,742832.467457,log2x,264,742845.753407,-4.246593,4.246593,15.966254,0.265973
7,10000000,11264817,742850,742832.467457,log3x,4281,742853.283200,3.283200,3.283200,5.945943,0.552175
7,10000000,11264817,742850,742832.467457,Kmax,8000,742860.231975,10.231975,10.231975,4.674826,2.188739
7,10000000,11721023,770915,770889.971770,K=1,1,770911.197534,-3.802466,3.802466,inf,nan
7,10000000,11721023,770915,770889.971770,logx,16,770909.884904,-5.115096,5.115096,32.814954,0.155877
7,10000000,11721023,770915,770889.971770,log2x,265,770916.418968,1.418968,1.418968,16.226938,0.087445
7,10000000,11721023,770915,770889.971770,log3x,4312,770923.540753,8.540753,8.540753,6.033769,1.415492
7,10000000,11721023,770915,770889.971770,Kmax,8000,770921.454099,6.454099,6.454099,4.756917,1.356782
7,10000000,12195705,800032,800012.756445,K=1,1,800042.691434,10.691434,10.691434,inf,nan
7,10000000,12195705,800032,800012.756445,logx,16,800051.196463,19.196463,19.196463,33.391392,0.574893
7,10000000,12195705,800032,800012.756445,log2x,266,800032.090978,0.090978,0.090978,16.492044,0.005516
7,10000000,12195705,800032,800012.756445,log3x,4344,800025.738907,-6.261093,6.261093,6.122508,1.022635
7,10000000,12195705,800032,800012.756445,Kmax,8000,800022.370297,-9.629703,9.629703,4.840479,1.989411
7,10000000,12689610,830287,830241.367962,K=1,1,830271.112771,-15.887229,15.887229,inf,nan
7,10000000,12689610,830287,830241.367962,logx,16,830312.832139,25.832139,25.832139,33.978157,0.760257
7,10000000,12689610,830287,830241.367962,log2x,268,830297.778631,10.778631,10.778631,16.741541,0.643825
7,10000000,12689610,830287,830241.367962,log3x,4376,830290.270390,3.270390,3.270390,6.212713,0.526403
7,10000000,12689610,830287,830241.367962,Kmax,8000,830290.696742,3.696742,3.696742,4.925537,0.750526
7,10000000,13203518,861614,861618.072956,K=1,1,861638.447508,24.447508,24.447508,inf,nan
7,10000000,13203518,861614,861618.072956,logx,16,861628.372369,14.372369,14.372369,34.575437,0.415681
