anchor_log10,x_anchor,x,pi_x,R_x,K_compute,kernel,pi_K_kernel,err,abs_err
7,10000000,10624678,703309,703343.981664,500,hard,703306.535866,-2.464134,2.464134
7,10000000,10624678,703309,703343.981664,500,paired_hann,703311.613285,2.613285,2.613285
7,10000000,10624678,703309,703343.981664,500,paired_triangle,703312.938625,3.938625,3.938625
7,10000000,10624678,703309,703343.981664,500,paired_riesz,703309.223474,0.223474,0.223474
7,10000000,10624678,703309,703343.981664,500,antipair_03,703312.641658,3.641658,3.641658
7,10000000,10624678,703309,703343.981664,500,antipair_05,703316.712186,7.712186,7.712186
7,10000000,10624678,703309,703343.981664,500,half_int,703306.284879,-2.715121,2.715121
7,10000000,10624678,703309,703343.981664,500,boundary_pair,703306.082868,-2.917132,2.917132
7,10000000,10624678,703309,703343.981664,1000,hard,703308.078433,-0.921567,0.921567
7,10000000,10624678,703309,703343.981664,1000,paired_hann,703307.363282,-1.636718,1.636718
7,10000000,10624678,703309,703343.981664,1000,paired_triangle,703309.273606,0.273606,0.273606
7,10000000,10624678,703309,703343.981664,1000,paired_riesz,703306.664763,-2.335237,2.335237
7,10000000,10624678,703309,703343.981664,1000,antipair_03,703312.558945,3.558945,3.558945
7,10000000,10624678,703309,703343.981664,1000,antipair_05,703315.545954,6.545954,6.545954
7,10000000,10624678,703309,703343.981664,1000,half_int,703307.991675,-1.008325,1.008325
7,10000000,10624678,703309,703343.981664,1000,boundary_pair,703307.961651,-1.038349,1.038349
7,10000000,10624678,703309,703343.981664,2000,hard,703305.268837,-3.731163,3.731163
7,10000000,10624678,703309,703343.981664,2000,paired_hann,703305.296395,-3.703605,3.703605
7,10000000,10624678,703309,703343.981664,2000,paired_triangle,703306.505307,-2.494693,2.494693
7,10000000,10624678,703309,703343.981664,2000,paired_riesz,703304.396758,-4.603242,4.603242
7,10000000,10624678,703309,703343.981664,2000,antipair_03,703310.112679,1.112679,1.112679
7,10000000,10624678,703309,703343.981664,2000,antipair_05,703313.341906,4.341906,4.341906
7,10000000,10624678,703309,703343.981664,2000,half_int,703305.200693,-3.799307,3.799307
7,10000000,10624678,703309,703343.981664,2000,boundary_pair,703305.170245,-3.829755,3.829755
7,10000000,10624678,703309,703343.981664,4000,hard,703302.034032,-6.965968,6.965968
7,10000000,10624678,703309,703343.981664,4000,paired_hann,703304.746578,-4.253422,4.253422
7,10000000,10624678,703309,703343.981664,4000,paired_triangle,703305.434512,-3.565488,3.565488
7,10000000,10624678,703309,703343.981664,4000,paired_riesz,703304.195046,-4.804954,4.804954
7,10000000,10624678,703309,703343.981664,4000,antipair_03,703307.396818,-1.603182,1.603182
7,10000000,10624678,703309,703343.981664,4000,antipair_05,703310.972009,1.972009,1.972009
7,10000000,10624678,703309,703343.981664,4000,half_int,703302.064636,-6.935364,6.935364
7,10000000,10624678,703309,703343.981664,4000,boundary_pair,703302.100811,-6.899189,6.899189
7,10000000,11288379,744285,744283.260586,500,hard,744289.690313,4.690313,4.690313
7,10000000,11288379,744285,744283.260586,500,paired_hann,744288.423677,3.423677,3.423677
7,10000000,11288379,744285,744283.260586,500,paired_triangle,744287.870437,2.870437,2.870437
7,10000000,11288379,744285,744283.260586,500,paired_riesz,744287.317063,2.317063,2.317063
7,10000000,11288379,744285,744283.260586,500,antipair_03,744303.196955,18.196955,18.196955
7,10000000,11288379,744285,744283.260586,500,antipair_05,744312.201384,27.201384,27.201384
7,10000000,11288379,744285,744283.260586,500,half_int,744289.597786,4.597786,4.597786
7,10000000,11288379,744285,744283.260586,500,boundary_pair,744289.430603,4.430603,4.430603
7,10000000,11288379,744285,744283.260586,1000,hard,744280.801500,-4.198500,4.198500
7,10000000,11288379,744285,744283.260586,1000,paired_hann,744286.844486,1.844486,1.844486
7,10000000,11288379,744285,744283.260586,1000,paired_triangle,744286.550441,1.550441,1.550441
7,10000000,11288379,744285,744283.260586,1000,paired_riesz,744285.428602,0.428602,0.428602
7,10000000,11288379,744285,744283.260586,1000,antipair_03,744294.427510,9.427510,9.427510
7,10000000,11288379,744285,744283.260586,1000,antipair_05,744303.511517,18.511517,18.511517
7,10000000,11288379,744285,744283.260586,1000,half_int,744280.724813,-4.275187,4.275187
7,10000000,11288379,744285,744283.260586,1000,boundary_pair,744280.614460,-4.385540,4.385540
7,10000000,11288379,744285,744283.260586,2000,hard,744286.502641,1.502641,1.502641
