x,pi_x,R_x,policy,K,pi_K,err,abs_err,sigma_pred,ratio_emp_over_pred,abs_err_over_sqrt_x,sigma_pred_over_sqrt_x
100000,9592,9587.396285,K=1,1,9589.448130,-2.551870,2.551870,inf,nan,8.069720e-03,inf
100000,9592,9587.396285,logx,12,9590.950127,-1.049873,1.049873,4.434747,0.236738,3.319991e-03,1.402390e-02
100000,9592,9587.396285,x14,18,9590.678008,-1.321992,1.321992,4.211792,0.313879,4.180505e-03,1.331885e-02
100000,9592,9587.396285,log2x,133,9591.594908,-0.405092,0.405092,2.621582,0.154522,1.281014e-03,8.290171e-03
100000,9592,9587.396285,x12,316,9590.728120,-1.271880,1.271880,2.001738,0.635388,4.022038e-03,6.330051e-03
100000,9592,9587.396285,log3x,1526,9591.809582,-0.190418,0.190418,1.160113,0.164138,6.021550e-04,3.668598e-03
100000,9592,9587.396285,log4x,8000,9591.704339,-0.295661,0.295661,0.621196,0.475955,9.349628e-04,1.964394e-03
100000,9592,9587.396285,log6x,8000,9591.704339,-0.295661,0.295661,0.621196,0.475955,9.349628e-04,1.964394e-03
1e+06,78498,78527.346621,K=1,1,78522.182475,24.182475,24.182475,inf,nan,2.418248e-02,inf
1e+06,78498,78527.346621,logx,14,78517.047134,19.047134,19.047134,11.490872,1.657588,1.904713e-02,1.149087e-02
1e+06,78498,78527.346621,x14,32,78509.305304,11.305304,11.305304,9.981336,1.132644,1.130530e-02,9.981336e-03
1e+06,78498,78527.346621,log2x,191,78501.118685,3.118685,3.118685,6.191542,0.503701,3.118685e-03,6.191542e-03
1e+06,78498,78527.346621,x12,1000,78500.624992,2.624992,2.624992,3.558813,0.737603,2.624992e-03,3.558813e-03
1e+06,78498,78527.346621,log3x,2637,78499.374383,1.374383,1.374383,2.499170,0.549936,1.374383e-03,2.499170e-03
1e+06,78498,78527.346621,log4x,8000,78498.113412,0.113412,0.113412,1.636995,0.069281,1.134125e-04,1.636995e-03
1e+06,78498,78527.346621,log6x,8000,78498.113412,0.113412,0.113412,1.636995,0.069281,1.134125e-04,1.636995e-03
1e+07,664579,664667.378302,K=1,1,664640.241552,61.241552,61.241552,inf,nan,1.936628e-02,inf
1e+07,664579,664667.378302,logx,16,664619.603798,40.603798,40.603798,30.608839,1.326538,1.284005e-02,9.679365e-03
1e+07,664579,664667.378302,x14,56,664610.034579,31.034579,31.034579,23.753697,1.306516,9.813996e-03,7.511579e-03
1e+07,664579,664667.378302,log2x,260,664594.411318,15.411318,15.411318,15.228697,1.011992,4.873487e-03,4.815737e-03
1e+07,664579,664667.378302,x12,3162,664579.005121,0.005121,0.005121,6.328772,0.000809,1.619519e-06,2.001334e-03
1e+07,664579,664667.378302,log3x,4187,664580.143752,1.143752,1.143752,5.691443,0.200960,3.616861e-04,1.799792e-03
1e+07,664579,664667.378302,log4x,8000,664578.218341,-0.781659,0.781659,4.437115,0.176164,2.471824e-04,1.403139e-03
1e+07,664579,664667.378302,log6x,8000,664578.218341,-0.781659,0.781659,4.437115,0.176164,2.471824e-04,1.403139e-03
1e+08,5761455,5761551.782076,K=1,1,5761524.643044,69.643044,69.643044,inf,nan,6.964304e-03,inf
1e+08,5761455,5761551.782076,logx,18,5761493.329108,38.329108,38.329108,83.242843,0.460449,3.832911e-03,8.324284e-03
1e+08,5761455,5761551.782076,x14,100,5761407.929191,-47.070809,47.070809,56.269770,0.836520,4.707081e-03,5.626977e-03
1e+08,5761455,5761551.782076,log2x,339,5761472.299479,17.299479,17.299479,38.663404,0.447438,1.729948e-03,3.866340e-03
1e+08,5761455,5761551.782076,log3x,6251,5761460.932185,5.932185,5.932185,13.507993,0.439161,5.932185e-04,1.350799e-03
1e+08,5761455,5761551.782076,log4x,8000,5761458.844229,3.844229,3.844229,12.277465,0.313113,3.844229e-04,1.227747e-03
1e+08,5761455,5761551.782076,log6x,8000,5761458.844229,3.844229,3.844229,12.277465,0.313113,3.844229e-04,1.227747e-03
1e+08,5761455,5761551.782076,x12,8000,5761458.844229,3.844229,3.844229,12.277465,0.313113,3.844229e-04,1.227747e-03
1e+10,455052511,455050683.189959,K=1,1,455051261.179158,-1249.820842,1249.820842,inf,nan,1.249821e-02,inf
1e+10,455052511,455050683.189959,logx,23,455052726.755686,215.755686,215.755686,639.089271,0.337599,2.157557e-03,6.390893e-03
1e+10,455052511,455050683.189959,x14,316,455052693.403037,182.403037,182.403037,316.502565,0.576308,1.824030e-03,3.165026e-03
1e+10,455052511,455050683.189959,log2x,530,455052685.270939,174.270939,174.270939,266.347288,0.654300,1.742709e-03,2.663473e-03
1e+10,455052511,455050683.189959,log3x,8000,455052559.126071,48.126071,48.126071,98.219722,0.489984,4.812607e-04,9.821972e-04
1e+10,455052511,455050683.189959,log4x,8000,455052559.126071,48.126071,48.126071,98.219722,0.489984,4.812607e-04,9.821972e-04
1e+10,455052511,455050683.189959,log6x,8000,455052559.126071,48.126071,48.126071,98.219722,0.489984,4.812607e-04,9.821972e-04
1e+10,455052511,455050683.189959,x12,8000,455052559.126071,48.126071,48.126071,98.219722,0.489984,4.812607e-04,9.821972e-04
