anchor_log10,x_anchor,x,pi_x,R_x,K_compute,kernel,pi_K_kernel,err,abs_err
7,10000000,10624678,703309,703343.981664,500,hard,703306.535866,-2.464134,2.464134
7,10000000,10624678,703309,703343.981664,500,triangle,703312.983708,3.983708,3.983708
7,10000000,10624678,703309,703343.981664,500,hann,703311.665855,2.665855,2.665855
7,10000000,10624678,703309,703343.981664,500,hamming,703311.255456,2.255456,2.255456
7,10000000,10624678,703309,703343.981664,500,riesz,703309.245549,0.245549,0.245549
7,10000000,10624678,703309,703343.981664,500,riesz4,703310.970173,1.970173,1.970173
7,10000000,10624678,703309,703343.981664,500,tukey50,703307.371841,-1.628159,1.628159
7,10000000,10624678,703309,703343.981664,500,tukey25,703307.614350,-1.385650,1.385650
7,10000000,10624678,703309,703343.981664,500,cosine,703309.644431,0.644431,0.644431
7,10000000,10624678,703309,703343.981664,1000,hard,703308.078433,-0.921567,0.921567
7,10000000,10624678,703309,703343.981664,1000,triangle,703309.297855,0.297855,0.297855
7,10000000,10624678,703309,703343.981664,1000,hann,703307.377127,-1.622873,1.622873
7,10000000,10624678,703309,703343.981664,1000,hamming,703307.433232,-1.566768,1.566768
7,10000000,10624678,703309,703343.981664,1000,riesz,703306.670096,-2.329904,2.329904
7,10000000,10624678,703309,703343.981664,1000,riesz4,703307.087517,-1.912483,1.912483
7,10000000,10624678,703309,703343.981664,1000,tukey50,703305.539320,-3.460680,3.460680
7,10000000,10624678,703309,703343.981664,1000,tukey25,703306.957643,-2.042357,2.042357
7,10000000,10624678,703309,703343.981664,1000,cosine,703306.771440,-2.228560,2.228560
7,10000000,10624678,703309,703343.981664,2000,hard,703305.268837,-3.731163,3.731163
7,10000000,10624678,703309,703343.981664,2000,triangle,703306.518410,-2.481590,2.481590
7,10000000,10624678,703309,703343.981664,2000,hann,703305.299455,-3.700545,3.700545
7,10000000,10624678,703309,703343.981664,2000,hamming,703305.297006,-3.702994,3.702994
7,10000000,10624678,703309,703343.981664,2000,riesz,703304.399048,-4.600952,4.600952
7,10000000,10624678,703309,703343.981664,2000,riesz4,703305.029736,-3.970264,3.970264
7,10000000,10624678,703309,703343.981664,2000,tukey50,703302.999722,-6.000278,6.000278
7,10000000,10624678,703309,703343.981664,2000,tukey25,703303.595594,-5.404406,5.404406
7,10000000,10624678,703309,703343.981664,2000,cosine,703304.545827,-4.454173,4.454173
7,10000000,10624678,703309,703343.981664,4000,hard,703302.034032,-6.965968,6.965968
7,10000000,10624678,703309,703343.981664,4000,triangle,703305.441141,-3.558859,3.558859
7,10000000,10624678,703309,703343.981664,4000,hann,703304.747466,-4.252534,4.252534
7,10000000,10624678,703309,703343.981664,4000,hamming,703304.530392,-4.469608,4.469608
7,10000000,10624678,703309,703343.981664,4000,riesz,703304.195459,-4.804541,4.804541
7,10000000,10624678,703309,703343.981664,4000,riesz4,703304.677145,-4.322855,4.322855
7,10000000,10624678,703309,703343.981664,4000,tukey50,703304.360858,-4.639142,4.639142
7,10000000,10624678,703309,703343.981664,4000,tukey25,703303.420099,-5.579901,5.579901
7,10000000,10624678,703309,703343.981664,4000,cosine,703304.301932,-4.698068,4.698068
7,10000000,11288379,744285,744283.260586,500,hard,744289.690313,4.690313,4.690313
7,10000000,11288379,744285,744283.260586,500,triangle,744287.912754,2.912754,2.912754
7,10000000,11288379,744285,744283.260586,500,hann,744288.426624,3.426624,3.426624
7,10000000,11288379,744285,744283.260586,500,hamming,744288.527719,3.527719,3.527719
7,10000000,11288379,744285,744283.260586,500,riesz,744287.333881,2.333881,2.333881
7,10000000,11288379,744285,744283.260586,500,riesz4,744288.088272,3.088272,3.088272
7,10000000,11288379,744285,744283.260586,500,tukey50,744285.082238,0.082238,0.082238
7,10000000,11288379,744285,744283.260586,500,tukey25,744286.346569,1.346569,1.346569
7,10000000,11288379,744285,744283.260586,500,cosine,744287.510289,2.510289,2.510289
7,10000000,11288379,744285,744283.260586,1000,hard,744280.801500,-4.198500,4.198500
7,10000000,11288379,744285,744283.260586,1000,triangle,744286.568650,1.568650,1.568650
7,10000000,11288379,744285,744283.260586,1000,hann,744286.848198,1.848198,1.848198
7,10000000,11288379,744285,744283.260586,1000,hamming,744286.364462,1.364462,1.364462
7,10000000,11288379,744285,744283.260586,1000,riesz,744285.428384,0.428384,0.428384
7,10000000,11288379,744285,744283.260586,1000,riesz4,744286.591740,1.591740,1.591740
7,10000000,11288379,744285,744283.260586,1000,tukey50,744284.768989,-0.231011,0.231011
7,10000000,11288379,744285,744283.260586,1000,tukey25,744283.907942,-1.092058,1.092058
7,10000000,11288379,744285,744283.260586,1000,cosine,744285.689149,0.689149,0.689149
7,10000000,11288379,744285,744283.260586,2000,hard,744286.502641,1.502641,1.502641
7,10000000,11288379,744285,744283.260586,2000,triangle,744285.085478,0.085478,0.085478
7,10000000,11288379,744285,744283.260586,2000,hann,744284.129127,-0.870873,0.870873
7,10000000,11288379,744285,744283.260586,2000,hamming,744284.319008,-0.680992,0.680992
7,10000000,11288379,744285,744283.260586,2000,riesz,744284.384320,-0.615680,0.615680
7,10000000,11288379,744285,744283.260586,2000,riesz4,744284.039491,-0.960509,0.960509
7,10000000,11288379,744285,744283.260586,2000,tukey50,744283.795757,-1.204243,1.204243
7,10000000,11288379,744285,744283.260586,2000,tukey25,744286.126273,1.126273,1.126273
7,10000000,11288379,744285,744283.260586,2000,cosine,744284.313487,-0.686513,0.686513
7,10000000,11288379,744285,744283.260586,4000,hard,744283.920071,-1.079929,1.079929
7,10000000,11288379,744285,744283.260586,4000,triangle,744285.318140,0.318140,0.318140
7,10000000,11288379,744285,744283.260586,4000,hann,744285.029380,0.029380,0.029380
7,10000000,11288379,744285,744283.260586,4000,hamming,744284.940635,-0.059365,0.059365
7,10000000,11288379,744285,744283.260586,4000,riesz,744285.208164,0.208164,0.208164
7,10000000,11288379,744285,744283.260586,4000,riesz4,744285.120896,0.120896,0.120896
7,10000000,11288379,744285,744283.260586,4000,tukey50,744285.708481,0.708481,0.708481
7,10000000,11288379,744285,744283.260586,4000,tukey25,744285.364233,0.364233,0.364233
7,10000000,11288379,744285,744283.260586,4000,cosine,744285.185611,0.185611,0.185611
7,10000000,11993539,787674,787618.080047,500,hard,787665.271163,-8.728837,8.728837
7,10000000,11993539,787674,787618.080047,500,triangle,787663.442301,-10.557699,10.557699
7,10000000,11993539,787674,787618.080047,500,hann,787665.277936,-8.722064,8.722064
7,10000000,11993539,787674,787618.080047,500,hamming,787665.277394,-8.722606,8.722606
7,10000000,11993539,787674,787618.080047,500,riesz,787666.131541,-7.868459,7.868459
7,10000000,11993539,787674,787618.080047,500,riesz4,787665.633747,-8.366253,8.366253
7,10000000,11993539,787674,787618.080047,500,tukey50,787667.417066,-6.582934,6.582934
7,10000000,11993539,787674,787618.080047,500,tukey25,787666.150855,-7.849145,7.849145
7,10000000,11993539,787674,787618.080047,500,cosine,787666.010219,-7.989781,7.989781
7,10000000,11993539,787674,787618.080047,1000,hard,787669.015209,-4.984791,4.984791
7,10000000,11993539,787674,787618.080047,1000,triangle,787666.118403,-7.881597,7.881597
7,10000000,11993539,787674,787618.080047,1000,hann,787667.421900,-6.578100,6.578100
7,10000000,11993539,787674,787618.080047,1000,hamming,787667.549365,-6.450635,6.450635
7,10000000,11993539,787674,787618.080047,1000,riesz,787668.126710,-5.873290,5.873290
7,10000000,11993539,787674,787618.080047,1000,riesz4,787667.621880,-6.378120,6.378120
7,10000000,11993539,787674,787618.080047,1000,tukey50,787668.941006,-5.058994,5.058994
7,10000000,11993539,787674,787618.080047,1000,tukey25,787668.731152,-5.268848,5.268848
