anchor     K    kernel    ratio    wins  p_kernel_beats  p_hard_beats
----------------------------------------------------------------------
     7   500      hard    1.000    0/20             nan           nan
     7   500   tukey25    1.035    9/20          0.7483        0.4119
     7   500   tukey50    1.102   11/20          0.4119        0.7483
     7   500    cosine    1.123    9/20          0.7483        0.4119
     7   500     riesz    1.105    9/20          0.7483        0.4119
     7   500  triangle    1.253    6/20          0.9793        0.0577
     7   500    riesz4    1.200    8/20          0.8684        0.2517
     7   500   hamming    1.197    8/20          0.8684        0.2517
     7   500      hann    1.231    7/20          0.9423        0.1316

     7  1000      hard    1.000    0/20             nan           nan
     7  1000   tukey25    0.935   13/20          0.1316        0.9423
     7  1000   tukey50    1.040   11/20          0.4119        0.7483
     7  1000    cosine    1.097   10/20          0.5881        0.5881
     7  1000     riesz    1.072   10/20          0.5881        0.5881
     7  1000  triangle    1.247    9/20          0.7483        0.4119
     7  1000    riesz4    1.193    9/20          0.7483        0.4119
     7  1000   hamming    1.195    8/20          0.8684        0.2517
     7  1000      hann    1.229    8/20          0.8684        0.2517

     7  2000      hard    1.000    0/20             nan           nan
     7  2000   tukey25    1.073    9/20          0.7483        0.4119
     7  2000   tukey50    1.032    9/20          0.7483        0.4119
     7  2000    cosine    1.002    9/20          0.7483        0.4119
     7  2000     riesz    1.002    9/20          0.7483        0.4119
     7  2000  triangle    1.070   11/20          0.4119        0.7483
     7  2000    riesz4    1.016   10/20          0.5881        0.5881
     7  2000   hamming    1.013   11/20          0.4119        0.7483
     7  2000      hann    1.028   11/20          0.4119        0.7483

     7  4000      hard    1.000    0/20             nan           nan
     7  4000   tukey25    0.968   10/20          0.5881        0.5881
     7  4000   tukey50    1.083    8/20          0.8684        0.2517
     7  4000    cosine    1.119    7/20          0.9423        0.1316
     7  4000     riesz    1.099    7/20          0.9423        0.1316
     7  4000  triangle    1.208    8/20          0.8684        0.2517
     7  4000    riesz4    1.203    7/20          0.9423        0.1316
     7  4000   hamming    1.194    7/20          0.9423        0.1316
     7  4000      hann    1.228    7/20          0.9423        0.1316

     8   500      hard    1.000    0/20             nan           nan
     8   500   tukey25    1.027   10/20          0.5881        0.5881
     8   500   tukey50    1.000    9/20          0.7483        0.4119
