anchor_log10,K_compute,kernel,N,sigma_pred,sigma_eff,sigma_eff_hard,ratio_obs_over_hard,median_abs_err,mean_abs_err,ks_D_eff,ks_p_eff
7,500,cosine,20,16.447081746474993,13.33481371662034,11.86995788834712,1.123408679462232,9.90015838528052,10.852673667308409,0.10093851789315827,0.9816573577923681
7,500,hamming,20,16.447081746474993,14.211295454420974,11.86995788834712,1.1972490204343835,10.44074034690857,11.82537337350659,0.1368144186694797,0.8198351095558775
7,500,hann,20,16.447081746474993,14.614879629579256,11.86995788834712,1.2312494927995372,10.550304343923926,12.133459039247828,0.14473659352723542,0.7632915873533512
7,500,hard,20,16.447081746474993,11.86995788834712,11.86995788834712,1.0,9.180754381697625,10.216221063095144,0.22967897759507516,0.21081321730605726
7,500,riesz,20,16.447081746474993,13.122123690002551,11.86995788834712,1.1054903322685499,9.792952968738973,10.581594418233726,0.10124917522539495,0.9810659172213259
7,500,riesz4,20,16.447081746474993,14.240948197804792,11.86995788834712,1.1997471542662592,10.232723908266053,11.773588325537276,0.12168145600992912,0.9105103727022253
7,500,triangle,20,16.447081746474993,14.873381344515561,11.86995788834712,1.2530273051024838,11.899845737032592,12.214284255105303,0.22219572766793277,0.2433457973075565
7,500,tukey25,20,16.447081746474993,12.284126886367188,11.86995788834712,1.034892204497765,8.56009190925397,10.160176184948067,0.14442333230131688,0.7656076267265767
7,500,tukey50,20,16.447081746474993,13.083786009589492,11.86995788834712,1.1022605246505552,8.243501862278208,10.43656533594476,0.10833127127293396,0.9638578587235763
7,1000,cosine,20,12.926979197595465,9.743982511034558,8.885275724834317,1.0966437973106629,5.989967423840426,7.67385172455688,0.13217876762723813,0.8504484518256966
7,1000,hamming,20,12.926979197595465,10.620669515808032,8.885275724834317,1.195311191764516,6.450635315617546,8.494852668448583,0.10799247021726543,0.9648509821658371
7,1000,hann,20,12.926979197595465,10.919236372402406,8.885275724834317,1.2289136218793049,6.5781000626739115,8.80971792304772,0.10287433491404574,0.9777570903796815
7,1000,hard,20,12.926979197595465,8.885275724834317,8.885275724834317,1.0,6.496691777836531,7.4888960062817205,0.20730338720094346,0.3188900457737702
7,1000,riesz,20,12.926979197595465,9.525590535660276,8.885275724834317,1.0720647091497995,5.873289538663812,7.41887329541496,0.10677065014822235,0.9682867193777
7,1000,riesz4,20,12.926979197595465,10.60061817154839,8.885275724834317,1.1930544982323616,6.378120269393548,8.555427323415643,0.11935797156860638,0.9217645792184919
7,1000,triangle,20,12.926979197595465,11.083779152291418,8.885275724834317,1.2474322120710661,8.464462163625285,8.84707096387865,0.12164774104540121,0.9106793566445063
7,1000,tukey25,20,12.926979197595465,8.307201744782065,8.885275724834317,0.9349402316872917,4.700293218484148,6.590062530332943,0.1288335690254898,0.8711050982891386
7,1000,tukey50,20,12.926979197595465,9.240483475824542,8.885275724834317,1.0399771219251441,5.664478584192693,7.472059395356337,0.14298622820782914,0.7761591624633959
7,2000,cosine,20,10.05796842851688,8.466075361467606,8.445182505768619,1.0024739377372502,6.450509205227718,7.383782790700207,0.24789563189168054,0.14560575342465584
7,2000,hamming,20,10.05796842851688,8.55904891063433,8.445182505768619,1.013483001082325,6.172448315774091,7.130624227738008,0.13406109478472197,0.8382776204938361
7,2000,hann,20,10.05796842851688,8.679851483394852,8.445182505768619,1.0277873186832776,6.731653903611004,7.141079474892467,0.08403771307233121,0.9982180881658284
7,2000,hard,20,10.05796842851688,8.445182505768619,8.445182505768619,1.0,6.682295347680338,7.186494603310711,0.16053444980844708,0.6420891142272431
7,2000,riesz,20,10.05796842851688,8.46275142089595,8.445182505768619,1.002080347596435,6.7875327651854604,7.432471362128854,0.27300745704924234,0.08339607469561347
7,2000,riesz4,20,10.05796842851688,8.581083365397781,8.445182505768619,1.0160921163676846,6.724193149246275,7.221685881633311,0.14869046076414502,0.733634779329055
7,2000,triangle,20,10.05796842851688,9.033261468200319,8.445182505768619,1.0696348435371295,7.14336132677272,7.2295660126255825,0.1009822906145779,0.9815748055679951
7,2000,tukey25,20,10.05796842851688,9.065135315457775,8.445182505768619,1.073409048207743,7.5596343574579805,7.905336482462007,0.21522167259500707,0.2769005995365009
7,2000,tukey50,20,10.05796842851688,8.719558262335156,8.445182505768619,1.0324890263033535,7.480080362409353,7.86956047853455,0.30782208259972554,0.03522172604455687
7,4000,cosine,20,7.760625762731245,6.784483440856293,6.061354888661608,1.119301470624558,5.216762320604175,5.669780359766446,0.16135928719905923,0.635669161990162
7,4000,hamming,20,7.760625762731245,7.2400346122812005,6.061354888661608,1.1944581278064472,5.380706077441573,6.186244761763374,0.1629936489503106,0.6229630792970429
7,4000,hann,20,7.760625762731245,7.442740688378904,6.061354888661608,1.2279004983359942,5.364758997922763,6.40627735069138,0.16658905144413616,0.5951351593991713
7,4000,hard,20,7.760625762731245,6.061354888661608,6.061354888661608,1.0,4.610634753247723,4.831581259606173,0.142417900945379,0.7802967857359023
7,4000,riesz,20,7.760625762731245,6.660525366961127,6.061354888661608,1.0988509152335444,5.1578224952099845,5.593856147036422,0.1648739003140488,0.6083835919731301
7,4000,riesz4,20,7.760625762731245,7.289412332895552,6.061354888661608,1.2026044451763007,5.462201382499188,6.23890524780727,0.16111665190026142,0.6375572841822265
7,4000,triangle,20,7.760625762731245,7.323251330900107,6.061354888661608,1.208187190061913,5.543976210057735,6.083228661806788,0.15071153277929022,0.7182237908761541
7,4000,tukey25,20,7.760625762731245,5.870029048605443,6.061354888661608,0.9684351364388745,5.14602790097706,4.940281340893125,0.17649365396336375,0.5202229358907806
