direction,c,n_on_line,n_primes,density,n_quadratics,quadratics,hl_constants,hl_mean,hl_max,predicted_density_x_logN
"(1, -1)",-18,299,121,0.40468227424749165,2,"[(4, 68, 307), (4, 80, 383)]","[2.8409, 4.6815]",3.7611945679501684,4.681475579791103,1.8805972839750842
"(1, -1)",-58,259,109,0.42084942084942084,2,"[(4, 228, 3307), (4, 240, 3543)]","[6.0204, 2.7475]",4.383973390355505,6.020419944731339,2.1919866951777527
"(1, 1)",-40,276,108,0.391304347826087,2,"[(4, 158, 1601), (4, 170, 1767)]","[6.6218, 1.2227]",3.922246166247182,6.6218321146353745,1.961123083123591
"(1, -1)",2,314,105,0.3343949044585987,2,"[(4, 8, 7), (4, 20, 23)]","[2.2271, 3.666]",2.946520123154849,3.6659745901944847,1.4732600615774245
"(1, -1)",-28,289,98,0.3391003460207612,2,"[(4, 108, 757), (4, 120, 873)]","[3.908, 2.7311]",3.3195531217213454,3.90797907381723,1.6597765608606727
"(1, -1)",6,310,98,0.3161290322580645,2,"[(4, 24, 43), (4, 36, 75)]","[3.908, 2.0641]",2.986016670132135,3.90797907381723,1.4930083350660674
"(1, -1)",-4,313,96,0.30670926517571884,2,"[(4, 12, 13), (4, 24, 33)]","[2.7397, 2.7311]",2.7354192655618794,2.7397113614982986,1.3677096327809397
"(1, -1)",8,308,94,0.3051948051948052,2,"[(4, 32, 73), (4, 44, 113)]","[1.8265, 3.666]",2.746224415596674,3.6659745901944847,1.373112207798337
"(1, -1)",24,292,85,0.2910958904109589,2,"[(4, 96, 601), (4, 108, 705)]","[3.6529, 2.0641]",2.8585013742223846,3.6529484819977296,1.4292506871111923
"(1, 1)",-30,286,84,0.2937062937062937,2,"[(4, 118, 901), (4, 130, 1027)]","[2.474, 3.2341]",2.854038967734806,3.2340818121132964,1.427019483867403
"(1, -1)",-42,275,83,0.3018181818181818,2,"[(4, 164, 1723), (4, 176, 1895)]","[2.0896, 3.3352]",2.712355533060245,3.335156161946178,1.3561777665301225
"(1, -1)",12,304,83,0.2730263157894737,2,"[(4, 48, 157), (4, 60, 213)]","[2.5448, 2.7311]",2.637942813433182,2.7311271696254606,1.318971406716591
"(1, 1)",-2,314,83,0.2643312101910828,2,"[(4, 6, 5), (4, 18, 19)]","[1.0121, 3.5149]",2.2634861010103857,3.514885510863132,1.1317430505051929
"(1, 1)",-16,300,82,0.2733333333333333,2,"[(4, 62, 257), (4, 74, 327)]","[4.1605, 1.0138]",2.5871336475456266,4.160474502129204,1.2935668237728133
"(1, -1)",-22,295,81,0.2745762711864407,2,"[(4, 84, 463), (4, 96, 555)]","[3.5014, 1.855]",2.6781826762665126,3.5013769550437415,1.3390913381332563
"(1, -1)",20,296,81,0.27364864864864863,2,"[(4, 80, 421), (4, 92, 509)]","[1.3556, 3.5149]",2.435235090485429,3.514885510863132,1.2176175452427145
"(1, -1)",-34,283,78,0.2756183745583039,2,"[(4, 132, 1123), (4, 144, 1263)]","[1.8931, 3.1753]",2.53423708082453,3.1753393816239046,1.267118540412265
"(1, -1)",-48,269,77,0.2862453531598513,2,"[(4, 188, 2257), (4, 200, 2453)]","[2.2271, 3.5071]",2.867069890405517,3.507074124695821,1.4335349452027586
"(1, -1)",-12,305,77,0.25245901639344265,2,"[(4, 44, 133), (4, 56, 185)]","[2.2271, 2.2725]",2.2497755224262757,2.272485388737338,1.1248877612131378
"(1, -1)",14,302,77,0.25496688741721857,2,"[(4, 56, 211), (4, 68, 275)]","[2.5356, 2.2705]",2.4030729842243423,2.535642613160996,1.2015364921121712
"(1, -1)",62,254,77,0.3031496062992126,2,"[(4, 248, 3907), (4, 260, 4163)]","[2.6053, 3.8326]",3.218958572759229,3.832597762973639,1.6094792863796146
"(1, -1)",32,284,76,0.2676056338028169,2,"[(4, 128, 1057), (4, 140, 1193)]","[1.8226, 3.666]",2.74427836718747,3.6659745901944847,1.372139183593735
"(1, 1)",0,316,76,0.24050632911392406,2,"[(4, -2, 1), (4, 10, 7)]","[2.2271, 2.2271]",2.2270656561152133,2.2270656561152133,1.1135328280576067
"(1, -1)",-6,311,74,0.2379421221864952,2,"[(4, 20, 31), (4, 32, 59)]","[1.4035, 3.5149]",2.459197677631246,3.514885510863132,1.229598838815623
"(1, -1)",42,274,74,0.27007299270072993,2,"[(4, 168, 1807), (4, 180, 1983)]","[3.1994, 2.0387]",2.619019910991015,3.1993693730710535,1.3095099554955074
"(1, -1)",66,250,74,0.296,2,"[(4, 264, 4423), (4, 276, 4695)]","[4.1605, 1.5802]",2.8703269795562627,4.160474502129204,1.4351634897781314
"(1, 1)",-6,310,74,0.23870967741935484,2,"[(4, 22, 37), (4, 34, 67)]","[2.2271, 1.855]",2.0410270268022486,2.2270656561152133,1.0205135134011243
"(1, -1)",-64,253,72,0.2845849802371542,2,"[(4, 252, 4033), (4, 264, 4293)]","[2.7397, 3.0154]",2.8775664124130693,3.01542146332784,1.4387832062065347
"(1, -1)",-88,229,71,0.31004366812227074,2,"[(4, 348, 7657), (4, 360, 8013)]","[3.5014, 2.3856]",2.9434943402687335,3.5013769550437415,1.4717471701343667
"(1, -1)",-78,239,71,0.29707112970711297,2,"[(4, 308, 6007), (4, 320, 6323)]","[3.0081, 3.0553]",3.0317240987400482,3.0553493028235827,1.5158620493700241
"(1, -1)",-16,301,71,0.23588039867109634,2,"[(4, 60, 241), (4, 72, 309)]","[2.7397, 1.8023]",2.2710207067061967,2.7397113614982986,1.1355103533530984
"(1, -1)",38,278,71,0.25539568345323743,2,"[(4, 152, 1483), (4, 164, 1643)]","[1.8918, 3.3004]",2.596127808779263,3.3004390759265254,1.2980639043896316
"(1, 1)",-110,206,71,0.3446601941747573,2,"[(4, 438, 12101), (4, 450, 12547)]","[1.4241, 5.6792]",3.551622337450526,5.679173169812192,1.775811168725263
"(1, -1)",48,268,70,0.26119402985074625,2,"[(4, 192, 2353), (4, 204, 2553)]","[2.3483, 2.7311]",2.5397255968834287,2.7311271696254606,1.2698627984417143
"(1, -1)",-24,293,69,0.2354948805460751,2,"[(4, 92, 553), (4, 104, 653)]","[1.4035, 2.7874]",2.095464789833837,2.7874197352683145,1.0477323949169186
"(1, -1)",36,280,68,0.24285714285714285,2,"[(4, 144, 1333), (4, 156, 1485)]",[4.7395],4.7395283977535545,4.7395283977535545,2.3697641988767773
"(1, 1)",-20,296,68,0.22972972972972974,2,"[(4, 78, 401), (4, 90, 487)]","[0.9694, 3.0553]",2.012399426527734,3.0553493028235827,1.006199713263867
"(1, -1)",-118,199,67,0.33668341708542715,2,"[(4, 468, 13807), (4, 480, 14283)]","[2.5409, 3.2341]",2.8874841105665796,3.2340818121132964,1.4437420552832898
"(1, -1)",68,248,67,0.2701612903225806,2,"[(4, 272, 4693), (4, 284, 4973)]","[1.2135, 4.6815]",2.9474723889339387,4.681475579791103,1.4737361944669694
"(1, -1)",98,218,67,0.3073394495412844,2,"[(4, 392, 9703), (4, 404, 10103)]","[2.0242, 4.3992]",3.2116714452743302,4.399169508233381,1.6058357226371651
"(1, -1)",132,184,67,0.3641304347826087,2,"[(4, 528, 17557), (4, 540, 18093)]","[4.4277, 3.1753]",3.801517518446113,4.427695655268321,1.9007587592230566
"(1, 1)",-44,272,67,0.24632352941176472,2,"[(4, 174, 1937), (4, 186, 2119)]","[0.8094, 4.0336]",2.4214866986171284,4.0335965083275775,1.2107433493085642
"(1, -1)",-46,271,66,0.24354243542435425,2,"[(4, 180, 2071), (4, 192, 2259)]","[2.2873, 2.3433]",2.3152968042382787,2.3432570072420855,1.1576484021191393
"(1, -1)",-30,287,66,0.22996515679442509,2,"[(4, 116, 871), (4, 128, 995)]","[1.7261, 2.233]",1.9795657089173386,2.233003738089629,0.9897828544586693
"(1, -1)",26,290,66,0.22758620689655173,2,"[(4, 104, 703), (4, 116, 815)]","[2.2271, 2.3733]",2.3001977846394697,2.3733299131637255,1.1500988923197348
"(1, -1)",72,244,66,0.27049180327868855,2,"[(4, 288, 5257), (4, 300, 5553)]","[3.0854, 2.444]",2.764704630941386,3.0854262017531173,1.382352315470693
"(1, -1)",-84,233,65,0.27896995708154504,2,"[(4, 332, 6973), (4, 344, 7313)]","[1.3556, 4.2511]",2.803361042326241,4.251137414544756,1.4016805211631205
"(1, -1)",92,224,65,0.29017857142857145,2,"[(4, 368, 8557), (4, 380, 8933)]","[3.3654, 2.7874]",3.076413677398805,3.365407619529296,1.5382068386994026
"(1, 1)",-10,306,65,0.21241830065359477,2,"[(4, 38, 101), (4, 50, 147)]","[3.1994, 1.2398]",2.21957794663075,3.1993693730710535,1.109788973315375
"(1, -1)",56,260,64,0.24615384615384617,2,"[(4, 224, 3193), (4, 236, 3425)]","[2.505, 2.2705]",2.387752918258605,2.5050024812295213,1.1938764591293025
"(1, 1)",-74,242,63,0.2603305785123967,2,"[(4, 294, 5477), (4, 306, 5779)]","[0.6214, 4.9422]",2.7818066567748025,4.942205212674635,1.3909033283874013
"(1, -1)",-100,217,62,0.2857142857142857,2,"[(4, 396, 9901), (4, 408, 10305)]","[3.6529, 1.515]",2.5839693705779774,3.6529484819977296,1.2919846852889887
"(1, -1)",-36,281,62,0.2206405693950178,2,"[(4, 140, 1261), (4, 152, 1409)]","[1.8265, 2.6462]",2.2363250217290798,2.646175802459296,1.1181625108645399
"(1, -1)",122,194,62,0.31958762886597936,2,"[(4, 488, 15007), (4, 500, 15503)]","[2.474, 4.2732]",3.3736180087894856,4.273239894222655,1.6868090043947428
"(1, 1)",-66,250,62,0.248,2,"[(4, 262, 4357), (4, 274, 4627)]","[3.8643, 1.4887]",2.676508964717605,3.8643487707087907,1.3382544823588025
"(1, -1)",18,298,61,0.20469798657718122,2,"[(4, 72, 343), (4, 84, 423)]","[1.8775, 2.444]",2.1607534995381026,2.4439830601296544,1.0803767497690513
"(1, 1)",-100,216,61,0.2824074074074074,2,"[(4, 398, 10001), (4, 410, 10407)]","[5.1234, 1.2767]",3.200038839966586,5.1234224517775795,1.600019419983293
"(1, 1)",-46,270,61,0.22592592592592592,2,"[(4, 182, 2117), (4, 194, 2307)]","[3.349, 0.8812]",2.11510750989273,3.348995810512286,1.057553754946365
"(1, -1)",30,286,60,0.2097902097902098,2,"[(4, 120, 931), (4, 132, 1059)]","[2.4541, 1.7074]",2.0807699806377764,2.454120198046684,1.0403849903188882
"(1, -1)",80,236,60,0.2542372881355932,2,"[(4, 320, 6481), (4, 332, 6809)]","[1.8265, 3.5149]",2.6706798759309978,3.514885510863132,1.3353399379654989
"(1, -1)",96,220,60,0.2727272727272727,2,"[(4, 384, 9313), (4, 396, 9705)]","[3.652, 2.0641]",2.8580437430638477,3.6520332196806558,1.4290218715319238
"(1, -1)",162,153,60,0.39215686274509803,2,"[(4, 648, 26407), (4, 660, 27063)]","[6.6218, 2.444]",4.532907587382514,6.6218321146353745,2.266453793691257
"(1, 1)",-58,258,60,0.23255813953488372,2,"[(4, 230, 3365), (4, 242, 3603)]","[3.8254, 0.88]",2.3526687298898623,3.8253694733721337,1.1763343649449312
"(1, 1)",-36,280,60,0.21428571428571427,2,"[(4, 142, 1297), (4, 154, 1447)]","[2.6725, 1.3842]",2.0283471196138105,2.6724787873382554,1.0141735598069053
"(1, 1)",-12,304,60,0.19736842105263158,2,"[(4, 46, 145), (4, 58, 199)]","[1.421, 2.3433]",1.882123918609736,2.3432570072420855,0.941061959304868
"(1, -1)",54,262,59,0.22519083969465647,2,"[(4, 216, 2971), (4, 228, 3195)]","[2.5762, 2.0641]",2.320124272947227,2.576194279447414,1.1600621364736134
"(1, -1)",84,232,59,0.2543103448275862,2,"[(4, 336, 7141), (4, 348, 7485)]","[3.3524, 1.855]",2.603691703749434,3.3523950100095843,1.301845851874717
"(1, 1)",-50,266,59,0.22180451127819548,2,"[(4, 198, 2501), (4, 210, 2707)]","[1.1649, 3.1707]",2.1677681056792153,3.170656011665169,1.0838840528396076
"(1, 1)",-32,284,59,0.20774647887323944,2,"[(4, 126, 1025), (4, 138, 1159)]","[0.66, 3.5149]",2.0874391261999676,3.514885510863132,1.0437195630999838
"(1, -1)",44,272,58,0.21323529411764705,2,"[(4, 176, 1981), (4, 188, 2165)]","[2.1214, 2.2725]",2.1969198411744033,2.272485388737338,1.0984599205872017
"(1, -1)",50,266,58,0.21804511278195488,2,"[(4, 200, 2551), (4, 212, 2759)]","[1.421, 2.9328]",2.176885251066487,2.9327796721555877,1.0884426255332436
"(1, 1)",-106,210,58,0.2761904761904762,2,"[(4, 422, 11237), (4, 434, 11667)]","[5.2063, 0.7137]",2.9599750077065883,5.20626372648138,1.4799875038532941
"(1, -1)",-148,169,57,0.33727810650887574,2,"[(4, 588, 21757), (4, 600, 22353)]","[4.7395, 2.341]",3.540247271573402,4.7395283977535545,1.770123635786701
"(1, 1)",-60,256,57,0.22265625,2,"[(4, 238, 3601), (4, 250, 3847)]","[2.2271, 2.4258]",2.3264571404158954,2.4258486247165774,1.1632285702079477
"(1, 1)",-18,298,57,0.1912751677852349,2,"[(4, 70, 325), (4, 82, 403)]","[1.7817, 1.6174]",1.6995063596896132,1.7816525248921706,0.8497531798448066
"(1, -1)",-130,187,56,0.2994652406417112,2,"[(4, 516, 16771), (4, 528, 17295)]","[4.3309, 2.0938]",3.2123706587958107,4.33094619812476,1.6061853293979054
"(1, -1)",-72,245,56,0.22857142857142856,2,"[(4, 284, 5113), (4, 296, 5405)]","[2.8409, 1.9762]",2.408567196887001,2.8409135561092334,1.2042835984435005
"(1, 1)",-8,308,56,0.18181818181818182,2,"[(4, 30, 65), (4, 42, 103)]","[0.9241, 2.233]",1.5785432605982659,2.233003738089629,0.7892716302991329
"(1, -1)",-60,257,55,0.2140077821011673,2,"[(4, 236, 3541), (4, 248, 3785)]","[2.5356, 2.3434]",2.439543996975519,2.535642613160996,1.2197719984877595
"(1, 1)",-4,312,55,0.1762820512820513,2,"[(4, 14, 17), (4, 26, 39)]","[1.8775, 1.617]",1.7472824225015993,1.8775239389465506,0.8736412112507996
"(1, -1)",-108,209,54,0.2583732057416268,2,"[(4, 428, 11557), (4, 440, 11993)]","[2.2271, 3.07]",2.6485355651771494,3.070005474239085,1.3242677825885747
"(1, -1)",-102,215,54,0.25116279069767444,2,"[(4, 404, 10303), (4, 416, 10715)]","[3.55, 2.3995]",2.9747300929253573,3.5500067078315642,1.4873650464626786
"(1, -1)",-70,247,54,0.21862348178137653,2,"[(4, 276, 4831), (4, 288, 5115)]","[3.0244, 1.6174]",2.320880667443664,3.0244011404002724,1.160440333721832
"(1, -1)",78,238,54,0.226890756302521,2,"[(4, 312, 6163), (4, 324, 6483)]","[2.4001, 1.9029]",2.151494544380789,2.400069963013545,1.0757472721903945
"(1, -1)",-144,173,53,0.3063583815028902,2,"[(4, 572, 20593), (4, 584, 21173)]","[1.8265, 4.5839]",3.205183315547037,4.58389239009521,1.6025916577735184
"(1, -1)",-66,251,53,0.21115537848605578,2,"[(4, 260, 4291), (4, 272, 4559)]","[1.1727, 3.2248]",2.1987080256245677,3.2247586732491884,1.0993540128122838
"(1, 1)",-24,292,53,0.1815068493150685,2,"[(4, 94, 577), (4, 106, 679)]","[2.0242, 1.9237]",1.9739379043750787,2.0241733823152797,0.9869689521875393
"(1, 1)",-14,302,53,0.17549668874172186,2,"[(4, 54, 197), (4, 66, 259)]","[0.744, 2.7829]",1.7634356064862637,2.782850748063283,0.8817178032431319
"(1, -1)",-142,175,52,0.29714285714285715,2,"[(4, 564, 20023), (4, 576, 20595)]","[4.5388, 1.3842]",2.9615074423503724,4.538799432811379,1.4807537211751862
"(1, -1)",-54,263,51,0.19391634980988592,2,"[(4, 212, 2863), (4, 224, 3083)]","[1.4035, 2.7829]",2.0931802962313215,2.782850748063283,1.0465901481156608
"(1, -1)",-40,277,51,0.18411552346570398,2,"[(4, 156, 1561), (4, 168, 1725)]","[2.1738, 1.4455]",1.8096191856424064,2.173787084182187,0.9048095928212032
"(1, -1)",-126,191,50,0.2617801047120419,2,"[(4, 500, 15751), (4, 512, 16259)]","[1.6652, 3.5149]",2.5900441079047205,3.514885510863132,1.2950220539523603
"(1, -1)",-52,265,50,0.18867924528301888,2,"[(4, 204, 2653), (4, 216, 2865)]","[2.5448, 1.4137]",1.979216265776334,2.544758457240903,0.989608132888167
"(1, -1)",-8,309,50,0.16181229773462782,2,"[(4, 28, 57), (4, 40, 93)]","[1.4205, 1.5077]",1.464083754859268,1.50771073166392,0.732041877429634
"(1, -1)",0,316,50,0.15822784810126583,2,"[(4, 0, 1), (4, 12, 9)]",[2.7397],2.7397113614982986,2.7397113614982986,1.3698556807491493
"(1, 1)",-80,236,50,0.211864406779661,2,"[(4, 318, 6401), (4, 330, 6727)]","[1.5369, 2.9758]",2.2563660765107665,2.9757852978333488,1.1281830382553832
"(1, -1)",-168,149,49,0.3288590604026846,2,"[(4, 668, 28057), (4, 680, 28733)]","[2.0896, 5.5142]",3.801892447740407,5.514229991306502,1.9009462238702035
"(1, -1)",-114,203,49,0.2413793103448276,2,"[(4, 452, 12883), (4, 464, 13343)]","[1.6122, 3.2548]",2.4335324277101487,3.254815876627292,1.2167662138550743
"(1, -1)",-112,205,49,0.23902439024390243,2,"[(4, 444, 12433), (4, 456, 12885)]","[3.908, 1.5504]",2.7292005697413777,3.90797907381723,1.3646002848706889
"(1, -1)",90,226,49,0.2168141592920354,2,"[(4, 360, 8191), (4, 372, 8559)]","[2.1176, 2.6852]",2.4014017495570457,2.685249497488182,1.2007008747785228
"(1, -1)",108,208,49,0.23557692307692307,2,"[(4, 432, 11773), (4, 444, 12213)]","[2.338, 2.7311]",2.5345430395022785,2.7311271696254606,1.2672715197511393
"(1, 1)",-170,146,49,0.3356164383561644,2,"[(4, 678, 28901), (4, 690, 29587)]","[1.8249, 5.3889]",3.606913734985691,5.3888882662864495,1.8034568674928455
"(1, 1)",-26,290,49,0.16896551724137931,2,"[(4, 102, 677), (4, 114, 787)]","[1.1264, 2.3995]",1.7629327071815553,2.3994534780191508,0.8814663535907776
"(1, -1)",-106,211,48,0.22748815165876776,2,"[(4, 420, 11131), (4, 432, 11559)]","[2.3084, 2.3356]",2.3220088378951305,2.33564863252243,1.1610044189475652
"(1, -1)",-76,241,48,0.1991701244813278,2,"[(4, 300, 5701), (4, 312, 6009)]","[1.8775, 2.1849]",2.031212837323458,2.184901735700366,1.015606418661729
"(1, -1)",74,242,48,0.19834710743801653,2,"[(4, 296, 5551), (4, 308, 5855)]","[1.7817, 2.0163]",1.8989641572848925,2.0162757896776147,0.9494820786424463
"(1, 1)",-94,222,48,0.21621621621621623,2,"[(4, 374, 8837), (4, 386, 9219)]","[3.0036, 1.0587]",2.031185050418242,3.00364331168771,1.015592525209121
"(1, 1)",-62,254,48,0.1889763779527559,2,"[(4, 246, 3845), (4, 258, 4099)]","[0.6685, 3.0128]",1.8406220896182528,3.012759009311256,0.9203110448091264
"(1, -1)",-90,227,47,0.20704845814977973,2,"[(4, 356, 8011), (4, 368, 8375)]","[1.4492, 2.8946]",2.171906170436287,2.894620951417783,1.0859530852181436
"(1, -1)",102,214,47,0.21962616822429906,2,"[(4, 408, 10507), (4, 420, 10923)]","[2.9478, 1.8911]",2.4194579529211278,2.9478385967644143,1.2097289764605639
"(1, -1)",192,123,47,0.3821138211382114,2,"[(4, 768, 37057), (4, 780, 37833)]","[5.2727, 2.7311]",4.001898160951185,5.272669152276908,2.0009490804755923
"(1, 1)",-84,232,47,0.2025862068965517,2,"[(4, 334, 7057), (4, 346, 7399)]","[1.1515, 2.4796]",1.8155544004288575,2.4795730403808913,0.9077772002144288
"(1, 1)",-76,240,47,0.19583333333333333,2,"[(4, 302, 5777), (4, 314, 6087)]","[2.7656, 0.8227]",1.7941729853182027,2.765630845017879,0.8970864926591013
"(1, 1)",-70,246,47,0.1910569105691057,2,"[(4, 278, 4901), (4, 290, 5187)]","[2.6082, 1.0652]",1.8367185067715974,2.6082151672395133,0.9183592533857987
"(1, 1)",-38,278,47,0.16906474820143885,2,"[(4, 150, 1445), (4, 162, 1603)]","[0.9872, 2.0518]",1.519505426101348,2.0518439597573006,0.759752713050674
"(1, 1)",-28,288,47,0.16319444444444445,2,"[(4, 110, 785), (4, 122, 903)]","[2.4762, 0.8555]",1.6658595695898284,2.4762103914702838,0.8329297847949142
"(1, -1)",146,169,46,0.27218934911242604,2,"[(4, 584, 21463), (4, 596, 22055)]","[2.6725, 2.2154]",2.4439408785479575,2.6724787873382554,1.2219704392739787
"(1, 1)",-114,202,46,0.22772277227722773,2,"[(4, 454, 12997), (4, 466, 13459)]","[1.421, 3.0484]",2.2346789672772074,3.0483671045770286,1.1173394836386037
"(1, 1)",-54,262,46,0.17557251908396945,2,"[(4, 214, 2917), (4, 226, 3139)]","[1.4668, 2.2985]",1.8826510272123673,2.298549762983257,0.9413255136061837
"(1, 1)",-82,234,45,0.19230769230769232,2,"[(4, 326, 6725), (4, 338, 7059)]","[2.789, 1.2936]",2.0413051380857072,2.788977551326096,1.0206525690428536
"(1, -1)",22,294,44,0.14965986394557823,2,"[(4, 88, 507), (4, 100, 603)]","[1.6165, 1.1756]",1.3960640152598471,1.6164831418198162,0.6980320076299236
"(1, 1)",-72,244,44,0.18032786885245902,2,"[(4, 286, 5185), (4, 298, 5479)]","[1.738, 2.0093]",1.8736519178912396,2.009311600132946,0.9368259589456198
"(1, -1)",-190,127,43,0.33858267716535434,2,"[(4, 756, 35911), (4, 768, 36675)]","[5.0923, 1.855]",3.473667108120122,5.09234581875096,1.736833554060061
"(1, -1)",-132,185,43,0.23243243243243245,2,"[(4, 524, 17293), (4, 536, 17825)]","[1.8226, 2.4403]",2.1314211210085725,2.4402600978366893,1.0657105605042863
"(1, -1)",-94,223,43,0.19282511210762332,2,"[(4, 372, 8743), (4, 384, 9123)]","[1.5168, 1.9237]",1.7202602925140602,1.9237024264348779,0.8601301462570301
"(1, -1)",86,230,43,0.18695652173913044,2,"[(4, 344, 7483), (4, 356, 7835)]","[1.9644, 1.9211]",1.9427039644799362,1.9643534773726983,0.9713519822399681
"(1, -1)",128,188,43,0.22872340425531915,2,"[(4, 512, 16513), (4, 524, 17033)]","[1.0782, 3.666]",2.3720922299026377,3.6659745901944847,1.1860461149513188
"(1, -1)",140,176,43,0.24431818181818182,2,"[(4, 560, 19741), (4, 572, 20309)]","[1.8231, 2.6462]",2.234637586103922,2.646175802459296,1.117318793051961
"(1, 1)",-96,220,43,0.19545454545454546,2,"[(4, 382, 9217), (4, 394, 9607)]","[2.1329, 1.6218]",1.8773631425348443,2.1329129153807003,0.9386815712674221
"(1, 1)",-90,226,43,0.1902654867256637,2,"[(4, 358, 8101), (4, 370, 8467)]","[2.0246, 2.1771]",2.100828196563354,2.177051251203787,1.050414098281677
"(1, 1)",-86,230,43,0.18695652173913044,2,"[(4, 342, 7397), (4, 354, 7747)]","[1.2297, 2.3079]",1.7688143577072637,2.307912408975285,0.8844071788536318
"(1, 1)",-22,294,43,0.14625850340136054,2,"[(4, 86, 485), (4, 98, 579)]","[2.1176, 1.0167]",1.5671381628985346,2.117554001625909,0.7835690814492673
"(1, -1)",-162,155,42,0.2709677419354839,2,"[(4, 644, 26083), (4, 656, 26735)]","[2.8409, 2.6584]",2.7496345554516974,2.8409135561092334,1.3748172777258487
