name,embedding,p,N,pi_N,K,L_primes,L_random_mean,L_random_std,n_baseline_trials,L_p_over_L_r,z_score
residue_p2,residue_class,2,10000,1229,5,2,2.00,0.00,5,1.0000,NA
poly_p2,polynomial_image,2,10000,1229,5,2,2.00,0.00,5,1.0000,NA
residue_p3,residue_class,3,10000,1229,5,3,3.00,0.00,5,1.0000,NA
poly_p3,polynomial_image,3,10000,1229,5,2,2.00,0.00,5,1.0000,NA
residue_p5,residue_class,5,10000,1229,5,5,5.00,0.00,5,1.0000,NA
poly_p5,polynomial_image,5,10000,1229,5,3,3.00,0.00,5,1.0000,NA
residue_p7,residue_class,7,10000,1229,5,7,7.00,0.00,5,1.0000,NA
poly_p7,polynomial_image,7,10000,1229,5,4,4.00,0.00,5,1.0000,NA
residue_p11,residue_class,11,10000,1229,5,11,11.00,0.00,5,1.0000,NA
poly_p11,polynomial_image,11,10000,1229,5,6,6.00,0.00,5,1.0000,NA
