name,N,rank,a,b,intercept,prime_count
residue_p2,10000,1,0,1,1,1228
poly_p2,10000,1,1,0,-1,1228
residue_p3,10000,1,0,1,2,617
residue_p3,10000,2,0,1,1,611
poly_p3,10000,1,1,0,-1,1228
residue_p5,10000,1,0,1,3,310
residue_p5,10000,2,0,1,2,309
residue_p5,10000,3,0,1,1,306
residue_p5,10000,4,0,1,4,303
poly_p5,10000,1,1,0,-4,619
poly_p5,10000,2,1,0,-1,609
residue_p7,10000,1,0,1,5,211
residue_p7,10000,2,0,1,3,209
residue_p7,10000,3,0,1,1,203
residue_p7,10000,4,0,1,2,203
residue_p7,10000,5,0,1,4,202
residue_p7,10000,6,0,1,6,200
poly_p7,10000,1,1,0,-4,414
poly_p7,10000,2,1,0,-2,411
poly_p7,10000,3,1,0,-1,403
residue_p11,10000,1,0,1,9,126
residue_p11,10000,2,0,1,1,125
residue_p11,10000,3,0,1,6,125
residue_p11,10000,4,0,1,7,124
residue_p11,10000,5,0,1,8,124
residue_p11,10000,6,0,1,10,123
residue_p11,10000,7,0,1,3,122
residue_p11,10000,8,0,1,5,121
residue_p11,10000,9,0,1,2,120
residue_p11,10000,10,0,1,4,118
poly_p11,10000,1,1,0,-1,248
poly_p11,10000,2,1,0,-9,246
poly_p11,10000,3,1,0,-4,246
poly_p11,10000,4,1,0,-3,246
poly_p11,10000,5,1,0,-5,242
