W=2, d=4, N=16: E2.1 match=True, max_deficit=0, CP-LB=3, HT-half-cut=3, PEPS-min=3
W=2, d=6, N=64: E2.1 match=True, max_deficit=0, CP-LB=5, HT-half-cut=5, PEPS-min=5
W=2, d=8, N=256: E2.1 match=True, max_deficit=0, CP-LB=9, HT-half-cut=9, PEPS-min=9
W=2, d=10, N=1024: E2.1 match=True, max_deficit=0, CP-LB=17, HT-half-cut=17, PEPS-min=17
W=2, d=12, N=4096: E2.1 match=True, max_deficit=0, CP-LB=33, HT-half-cut=33, PEPS-min=33
W=3, d=4, N=81: E2.1 match=True, max_deficit=0, CP-LB=7, HT-half-cut=7, PEPS-min=7
W=3, d=6, N=729: E2.1 match=True, max_deficit=0, CP-LB=19, HT-half-cut=19, PEPS-min=19
W=3, d=8, N=6561: E2.1 match=True, max_deficit=0, CP-LB=55, HT-half-cut=55, PEPS-min=55
W=3, d=10, N=59049: E2.1 match=True, max_deficit=0, CP-LB=163, HT-half-cut=163, PEPS-min=163
W=3, d=12, N=531441: E2.1 match=True, max_deficit=0, CP-LB=487, HT-half-cut=487, PEPS-min=487
W=4, d=4, N=256: E2.1 match=True, max_deficit=0, CP-LB=9, HT-half-cut=9, PEPS-min=9
W=4, d=6, N=4096: E2.1 match=True, max_deficit=0, CP-LB=33, HT-half-cut=33, PEPS-min=33
W=4, d=8, N=65536: E2.1 match=True, max_deficit=0, CP-LB=129, HT-half-cut=129, PEPS-min=129
W=4, d=10, N=1048576: E2.1 match=True, max_deficit=0, CP-LB=513, HT-half-cut=513, PEPS-min=513
W=5, d=4, N=625: E2.1 match=False, max_deficit=1, CP-LB=20, HT-half-cut=20, PEPS-min=20
W=5, d=6, N=15625: E2.1 match=True, max_deficit=0, CP-LB=101, HT-half-cut=101, PEPS-min=101
W=5, d=8, N=390625: E2.1 match=True, max_deficit=0, CP-LB=501, HT-half-cut=501, PEPS-min=501
W=6, d=4, N=1296: E2.1 match=True, max_deficit=0, CP-LB=13, HT-half-cut=13, PEPS-min=13
W=6, d=6, N=46656: E2.1 match=True, max_deficit=0, CP-LB=73, HT-half-cut=73, PEPS-min=73
W=6, d=8, N=1679616: E2.1 match=True, max_deficit=0, CP-LB=433, HT-half-cut=433, PEPS-min=433
W=7, d=4, N=2401: E2.1 match=True, max_deficit=0, CP-LB=43, HT-half-cut=43, PEPS-min=43
W=7, d=6, N=117649: E2.1 match=True, max_deficit=0, CP-LB=295, HT-half-cut=295, PEPS-min=295

Wrote /apps/aplikacijos/prime-research/experiments/constructions/tensor_compression_family_closure/tensor_compression_family_results.json
