Leading-row triangulation enumeration for E2.1 orthogonal corner
Range scanned: W in [2, 72]; R_cap = 22

  W |  phi |   R | result
--------------------------------------------------
  2 |    1 |   2 | FOUND (dead=1, max_diag=3) *
  3 |    2 |   3 | FOUND (dead=2, max_diag=7) *
  4 |    2 |   3 | FOUND (dead=1, max_diag=13) *
  5 |    4 |   5 | FOUND (dead=4, max_diag=23) *
  6 |    2 |   3 | FOUND (dead=1, max_diag=31) *
  7 |    6 |   7 | OBSTRUCTED
  8 |    4 |   5 | FOUND (dead=1, max_diag=37) *
  9 |    6 |   7 | OBSTRUCTED
 10 |    4 |   5 | FOUND (dead=1, max_diag=97)
 11 |   10 |  11 | OBSTRUCTED
 12 |    4 |   5 | FOUND (dead=1, max_diag=109) *
 13 |   12 |  13 | OBSTRUCTED
 14 |    6 |   7 | OBSTRUCTED
 15 |    8 |   9 | OBSTRUCTED
 16 |    8 |   9 | OBSTRUCTED
 17 |   16 |  17 | OBSTRUCTED
 18 |    6 |   7 | FOUND (dead=1, max_diag=293) *
 19 |   18 |  19 | OBSTRUCTED
 20 |    8 |   9 | FOUND (dead=1, max_diag=337) *
 21 |   12 |  13 | OBSTRUCTED
 22 |   10 |  11 | OBSTRUCTED
 23 |   22 |  23 | SKIP (R > 22)
 24 |    8 |   9 | OBSTRUCTED
 25 |   20 |  21 | OBSTRUCTED
 26 |   12 |  13 | OBSTRUCTED
 27 |   18 |  19 | OBSTRUCTED
 28 |   12 |  13 | OBSTRUCTED
 29 |   28 |  29 | SKIP (R > 22)
 30 |    8 |   9 | OBSTRUCTED
 31 |   30 |  31 | SKIP (R > 22)
 32 |   16 |  17 | OBSTRUCTED
 33 |   20 |  21 | OBSTRUCTED
 34 |   16 |  17 | OBSTRUCTED
 35 |   24 |  25 | SKIP (R > 22)
 36 |   12 |  13 | OBSTRUCTED
 37 |   36 |  37 | SKIP (R > 22)
 38 |   18 |  19 | OBSTRUCTED
 39 |   24 |  25 | SKIP (R > 22)
 40 |   16 |  17 | OBSTRUCTED
 41 |   40 |  41 | SKIP (R > 22)
 42 |   12 |  13 | OBSTRUCTED
 43 |   42 |  43 | SKIP (R > 22)
 44 |   20 |  21 | OBSTRUCTED
 45 |   24 |  25 | SKIP (R > 22)
 46 |   22 |  23 | SKIP (R > 22)
 47 |   46 |  47 | SKIP (R > 22)
 48 |   16 |  17 | OBSTRUCTED
 49 |   42 |  43 | SKIP (R > 22)
 50 |   20 |  21 | OBSTRUCTED
 51 |   32 |  33 | SKIP (R > 22)
 52 |   24 |  25 | SKIP (R > 22)
 53 |   52 |  53 | SKIP (R > 22)
 54 |   18 |  19 | OBSTRUCTED
 55 |   40 |  41 | SKIP (R > 22)
 56 |   24 |  25 | SKIP (R > 22)
 57 |   36 |  37 | SKIP (R > 22)
 58 |   28 |  29 | SKIP (R > 22)
 59 |   58 |  59 | SKIP (R > 22)
 60 |   16 |  17 | OBSTRUCTED
 61 |   60 |  61 | SKIP (R > 22)
 62 |   30 |  31 | SKIP (R > 22)
 63 |   36 |  37 | SKIP (R > 22)
 64 |   32 |  33 | SKIP (R > 22)
 65 |   48 |  49 | SKIP (R > 22)
 66 |   20 |  21 | OBSTRUCTED
 67 |   66 |  67 | SKIP (R > 22)
 68 |   32 |  33 | SKIP (R > 22)
 69 |   44 |  45 | SKIP (R > 22)
 70 |   24 |  25 | SKIP (R > 22)
 71 |   70 |  71 | SKIP (R > 22)
 72 |   24 |  25 | SKIP (R > 22)

Closed in Lean (S98..S143): [2, 3, 4, 5, 6, 8, 12, 18, 20]
Algorithmically reachable: [2, 3, 4, 5, 6, 8, 10, 12, 18, 20]
Structurally obstructed:   [7, 9, 11, 13, 14, 15, 16, 17, 19, 21, 22, 24, 25, 26, 27, 28, 30, 32, 33, 34, 36, 38, 40, 42, 44, 48, 50, 54, 60, 66]
Skipped (R > 22):          [23, 29, 31, 35, 37, 39, 41, 43, 45, 46, 47, 49, 51, 52, 53, 55, 56, 57, 58, 59, 61, 62, 63, 64, 65, 67, 68, 69, 70, 71, 72]

NEW obstructions from S144 search: [13, 17, 19, 21, 22, 25, 26, 27, 28, 32, 33, 34, 36, 38, 40, 42, 44, 48, 50, 54, 60, 66]
