x=250, total primes=53, large primes p in (x/2, x]: 23, small: 30

  k | eig    | ratio | m_large | m_small | nonprime_mass
  10 | +0.791 |  1.52 | 0.000  | 0.323  | 0.677
  11 | +0.786 |  1.54 | 0.000  | 0.326  | 0.673
  12 | +0.783 |  1.64 | 0.000  | 0.348  | 0.652
  13 | +0.776 |  1.77 | 0.002  | 0.372  | 0.626
  14 | +0.768 |  1.98 | 0.000  | 0.420  | 0.580
  15 | +0.766 |  1.90 | 0.000  | 0.402  | 0.597
  16 | +0.764 |  1.88 | 0.000  | 0.398  | 0.602
  17 | +0.764 |  1.88 | 0.000  | 0.398  | 0.602
  18 | +0.748 |  2.11 | 0.006  | 0.441  | 0.553
  19 | +0.736 |  2.36 | 0.000  | 0.500  | 0.500
  20 | +0.736 |  2.36 | 0.000  | 0.500  | 0.500
  21 | +0.736 |  2.36 | 0.000  | 0.500  | 0.500
  22 | +0.736 |  2.36 | 0.000  | 0.500  | 0.500
  25 | +0.704 |  2.36 | 0.000  | 0.500  | 0.500
  26 | +0.704 |  2.36 | 0.000  | 0.500  | 0.500
  27 | +0.704 |  2.36 | 0.000  | 0.500  | 0.500
  28 | +0.704 |  2.36 | 0.000  | 0.500  | 0.500
  29 | +0.704 |  2.36 | 0.000  | 0.500  | 0.500
  30 | +0.704 |  2.36 | 0.000  | 0.500  | 0.500

  #eigenvalues with |eig|<0.01: 0
  high-ratio eigvecs: mean large-prime mass = 0.001, mean small-prime mass = 0.495
  --> NO: high-ratio eigvecs concentrate on LARGE PRIMES (graph leaves).
